key,cz,en,ch
arab_city1_1,本,Ben-,本
arab_city1_2,宾特,Bint-,宾特
arab_city1_3,阿布,Abu-,阿布
arab_city1_4,乌姆,Umm-,乌姆
arab_city1_5,丁,Din-,丁
arab_city1_6,道莱,Dawla-,道莱
arab_city1_7,伊斯兰,Islam-,伊斯兰
arab_city1_8,阿拉,Allah-,阿拉
arab_city1_9,巴德,Bad-,巴德
arab_city1_10,布尔,Bur-,布尔
arab_city1_11,哈克,Haq-,哈克
arab_city1_12,哈格,Haqq-,哈格
arab_city1_13,侯达,Huda-,侯达
arab_city1_14,努尔,Nur-,努尔
arab_city1_15,拉赫曼,Rahman-,拉赫曼
arab_city1_16,赛义德,Sayyid-,赛义德
arab_city1_17,沙姆斯,Shams-,沙姆斯
arab_city1_18,阿齐兹,Aziz-,阿齐兹
arab_city1_19,阿明,Amin-,阿明
arab_city1_20,卡西姆,Qasim-,卡西姆
arab_city1_21,马吉德,Majid-,马吉德
arab_city1_22,纳赛尔,Nasser-,纳赛尔
arab_city1_23,拉希德,Rashid-,拉希德
arab_city1_24,萨拉赫,Salah-,萨拉赫
arab_city1_25,扎希尔,Zahir-,扎希尔
arab_city1_26,塔吉,Taji-,塔吉
arab_city1_27,米尔,Mir-,米尔
arab_city1_28,帕夏,Pasha-,帕夏
arab_city1_29,贝伊,Bey-,贝伊
arab_city1_30,汗,Khan-,汗
arab_city1_31,沙,Shah-,沙
arab_city1_32,沙阿,Shah-,沙阿
arab_city1_33,扎达,Zada-,扎达
arab_city1_34,普尔,Pur-,普尔
arab_city1_35,阿巴德,Abad-,阿巴德
arab_city1_36,加尔,Gar-,加尔
arab_city1_37,斯坦,Stan-,斯坦
arab_city1_38,卡拉,Kara-,卡拉
arab_city1_39,奥卢,Oglu-,奥卢
arab_city1_40,扎伊,Zai-,扎伊
arab_city1_41,法特,Fat-,法特
arab_city1_42,穆罕默德,Muhammad-,穆罕默德
arab_city1_43,阿里,Ali-,阿里
arab_city1_44,侯赛因,Hussein-,侯赛因
arab_city1_45,哈桑,Hassan-,哈桑
arab_city1_46,里达,Rida-,里达
arab_city1_47,贾法尔,Jafar-,贾法尔
arab_city1_48,穆萨,Musa-,穆萨
arab_city1_49,马赫迪,Mahdi-,马赫迪
arab_city1_50,阿巴斯,Abbas-,阿巴斯
arab_city1_51,哈姆扎,Hamza-,哈姆扎
arab_city1_52,亚辛,Yasin-,亚辛
arab_city1_53,贾瓦德,Jawad-,贾瓦德
arab_city1_54,塔基,Taqi-,塔基
arab_city1_55,纳基,Naqi-,纳基
arab_city1_56,哈迪,Hadi-,哈迪
arab_city1_57,阿斯卡里,Askari-,阿斯卡里
arab_city1_58,迈赫迪,Mehdi-,迈赫迪
arab_city1_59,蒙塔泽尔,Montazer-,蒙塔泽尔
arab_city1_60,卡迪姆,Kadhim-,卡迪姆
arab_city1_61,巴基尔,Baqir-,巴基尔
arab_city1_62,萨迪克,Sadiq-,萨迪克
arab_city1_63,卡齐姆,Kazim-,卡齐姆
arab_city1_64,巴哈尔,Bahar-,巴哈尔
arab_city1_65,尼扎尔,Nizar-,尼扎尔
arab_city1_66,穆斯塔法,Mustafa-,穆斯塔法
arab_city1_67,塔希尔,Tahir-,塔希尔
arab_city1_68,卡米尔,Kamil-,卡米尔
arab_city1_69,萨利姆,Salim-,萨利姆
arab_city1_70,阿迪尔,Adil-,阿迪尔
arab_city1_71,拉希姆,Rahim-,拉希姆
arab_city1_72,卡里姆,Karim-,卡里姆
arab_city1_73,贾利勒,Jalil-,贾利勒
arab_city1_74,哈基姆,Hakim-,哈基姆
arab_city1_75,卡迪尔,Qadir-,卡迪尔
arab_city1_76,瓦杜德,Wadud-,瓦杜德
arab_city1_77,萨马德,Samad-,萨马德
arab_city1_78,穆希,Muhi-,穆希
arab_city1_79,贾巴尔,Jabbar-,贾巴尔
arab_city1_80,穆塔卡比尔,Mutakabbir-,穆塔卡比尔
arab_city1_81,拉乌夫,Rauf-,拉乌夫
arab_city1_82,瓦希德,Wahid-,瓦希德
arab_city1_83,阿哈德,Ahad-,阿哈德
arab_city1_84,卡哈尔,Qahar-,卡哈尔
arab_city1_85,巴塔尔,Batar-,巴塔尔
arab_city1_86,法塔赫,Fatah-,法塔赫
arab_city1_87,纳西尔,Nasir-,纳西尔·
