key,cz,en,ch
arab_country1_1,本,Ben-,本
arab_country1_2,宾特,Bint-,宾特
arab_country1_3,阿布,Abu-,阿布
arab_country1_4,乌姆,Umm-,乌姆
arab_country1_5,丁,Din-,丁
arab_country1_6,道莱,Dawla-,道莱
arab_country1_7,伊斯兰,Islam-,伊斯兰
arab_country1_8,阿拉,Allah-,阿拉
arab_country1_9,巴德,Bad-,巴德
arab_country1_10,布尔,Bur-,布尔
arab_country1_11,哈克,Haq-,哈克
arab_country1_12,哈格,Haqq-,哈格
arab_country1_13,侯达,Huda-,侯达
arab_country1_14,努尔,Nur-,努尔
arab_country1_15,拉赫曼,Rahman-,拉赫曼
arab_country1_16,赛义德,Sayyid-,赛义德
arab_country1_17,沙姆斯,Shams-,沙姆斯
arab_country1_18,阿齐兹,Aziz-,阿齐兹
arab_country1_19,阿明,Amin-,阿明
arab_country1_20,卡西姆,Qasim-,卡西姆
arab_country1_21,马吉德,Majid-,马吉德
arab_country1_22,纳赛尔,Nasser-,纳赛尔
arab_country1_23,拉希德,Rashid-,拉希德
arab_country1_24,萨拉赫,Salah-,萨拉赫
arab_country1_25,扎希尔,Zahir-,扎希尔
arab_country1_26,塔吉,Taji-,塔吉
arab_country1_27,米尔,Mir-,米尔
arab_country1_28,帕夏,Pasha-,帕夏
arab_country1_29,贝伊,Bey-,贝伊
arab_country1_30,汗,Khan-,汗
arab_country1_31,沙,Shah-,沙
arab_country1_32,沙阿,Shah-,沙阿
arab_country1_33,扎达,Zada-,扎达
arab_country1_34,普尔,Pur-,普尔
arab_country1_35,阿巴德,Abad-,阿巴德
arab_country1_36,加尔,Gar-,加尔
arab_country1_37,斯坦,Stan-,斯坦
arab_country1_38,卡拉,Kara-,卡拉
arab_country1_39,奥卢,Oglu-,奥卢
arab_country1_40,扎伊,Zai-,扎伊
arab_country1_41,法特,Fat-,法特
arab_country1_42,穆罕默德,Muhammad-,穆罕默德
arab_country1_43,阿里,Ali-,阿里
arab_country1_44,侯赛因,Hussein-,侯赛因
arab_country1_45,哈桑,Hassan-,哈桑
arab_country1_46,里达,Rida-,里达
arab_country1_47,贾法尔,Jafar-,贾法尔
arab_country1_48,穆萨,Musa-,穆萨
arab_country1_49,马赫迪,Mahdi-,马赫迪
arab_country1_50,阿巴斯,Abbas-,阿巴斯
arab_country1_51,哈姆扎,Hamza-,哈姆扎
arab_country1_52,亚辛,Yasin-,亚辛
arab_country1_53,贾瓦德,Jawad-,贾瓦德
arab_country1_54,塔基,Taqi-,塔基
arab_country1_55,纳基,Naqi-,纳基
arab_country1_56,哈迪,Hadi-,哈迪
arab_country1_57,阿斯卡里,Askari-,阿斯卡里
arab_country1_58,迈赫迪,Mehdi-,迈赫迪
arab_country1_59,蒙塔泽尔,Montazer-,蒙塔泽尔
arab_country1_60,卡迪姆,Kadhim-,卡迪姆
arab_country1_61,巴基尔,Baqir-,巴基尔
arab_country1_62,萨迪克,Sadiq-,萨迪克
arab_country1_63,卡齐姆,Kazim-,卡齐姆
arab_country1_64,巴哈尔,Bahar-,巴哈尔
arab_country1_65,尼扎尔,Nizar-,尼扎尔
arab_country1_66,穆斯塔法,Mustafa-,穆斯塔法
arab_country1_67,塔希尔,Tahir-,塔希尔
arab_country1_68,卡米尔,Kamil-,卡米尔
arab_country1_69,萨利姆,Salim-,萨利姆
arab_country1_70,阿迪尔,Adil-,阿迪尔
arab_country1_71,拉希姆,Rahim-,拉希姆
arab_country1_72,卡里姆,Karim-,卡里姆
arab_country1_73,贾利勒,Jalil-,贾利勒
arab_country1_74,哈基姆,Hakim-,哈基姆
arab_country1_75,卡迪尔,Qadir-,卡迪尔
arab_country1_76,瓦杜德,Wadud-,瓦杜德
arab_country1_77,萨马德,Samad-,萨马德
arab_country1_78,穆希,Muhi-,穆希
arab_country1_79,贾巴尔,Jabbar-,贾巴尔
arab_country1_80,穆塔卡比尔,Mutakabbir-,穆塔卡比尔
arab_country1_81,拉乌夫,Rauf-,拉乌夫
arab_country1_82,瓦希德,Wahid-,瓦希德
arab_country1_83,阿哈德,Ahad-,阿哈德
arab_country1_84,卡哈尔,Qahar-,卡哈尔
arab_country1_85,巴塔尔,Batar-,巴塔尔
arab_country1_86,法塔赫,Fatah-,法塔赫
arab_country1_87,纳西尔,Nasir-,纳西尔·
