key,cz,en,ch
arab_religion_1,逊尼派,Sunni,遜尼派
arab_religion_2,什叶派,Shia,什葉派
arab_religion_3,哈瓦利吉派,Kharijite,哈瓦利吉派
arab_religion_4,伊巴迪派,Ibadi,伊巴迪派
arab_religion_5,哈乃斐派,Hanafi,哈乃斐派
arab_religion_6,马立克派,Maliki,馬立克派
arab_religion_7,沙斐仪派,Shafi'i,沙斐儀派
arab_religion_8,罕百里派,Hanbali,罕百里派
arab_religion_9,瓦哈比派,Wahhabi,瓦哈比派
arab_religion_10,十二伊玛目派,Twelver,十二伊瑪目派
arab_religion_11,伊斯玛仪派,Ismaili,伊斯瑪儀派
arab_religion_12,栽德派,Zaydi,栽德派
arab_religion_13,阿拉维派,Alawite,阿拉維派
arab_religion_14,德鲁兹派,Druze,德魯茲派
arab_religion_15,苏菲派,Sufi,蘇菲派
arab_religion_16,穆尔吉亚派,Murji'ah,穆爾吉亞派
arab_religion_17,穆尔太齐赖派,Mu'tazila,穆爾太齊賴派
arab_religion_18,卡尔马特派,Qarmatian,卡爾馬特派
arab_religion_19,阿赫迈底亚派,Ahmadiyya,阿赫邁底亞派
arab_religion_20,巴布派,Babism,巴布派
