key,cz,en,ch
arab_male1_1,艾哈迈德,Ahmad,艾哈迈德
arab_male1_2,穆罕默德,Muhammad,穆罕默德
arab_male1_3,马哈茂德,Mahmood,马哈茂德
arab_male1_4,哈桑,Hasan,哈桑
arab_male1_5,侯赛因,Hussein,侯赛因
arab_male1_6,阿里,Ali,阿里
arab_male1_7,奥马尔,Omar,奥马尔
arab_male1_8,哈立德,Khalid,哈立德
arab_male1_9,易卜拉欣,Ibrahim,易卜拉欣
arab_male1_10,优素福,Yusuf,优素福
arab_male1_11,塔里克,Tariq,塔里克
arab_male1_12,卡里姆,Karim,卡里姆
arab_male1_13,贾迈勒,Jamal,贾迈勒
arab_male1_14,萨米尔,Samir,萨米尔
arab_male1_15,巴希尔,Bashir,巴希尔
arab_male1_16,法赫德,Fahd,法赫德
arab_male1_17,拉希德,Rashid,拉希德
arab_male1_18,萨利赫,Saleh,萨利赫
arab_male1_19,阿迪勒,Adel,阿迪勒
arab_male1_20,纳赛尔,Nasser,纳赛尔
arab_male1_21,瓦西姆,Wasim,瓦西姆
arab_male1_22,亚西尔,Yasser,亚西尔
arab_male1_23,扎耶德,Zayed,扎耶德
arab_male1_24,阿米尔,Amir,阿米尔
arab_male1_25,法鲁克,Farouk,法鲁克
arab_male1_26,哈尼,Hani,哈尼
arab_male1_27,伊萨,Isa,伊萨
arab_male1_28,贾西姆,Jassim,贾西姆
arab_male1_29,卡迈勒,Kamal,卡迈勒
arab_male1_30,拉米,Rami,拉米
arab_male1_31,马吉德,Majid,马吉德
arab_male1_32,纳迪尔,Nadir,纳迪尔
arab_male1_33,拉米兹,Rameez,拉米兹
arab_male1_34,萨义德,Saeed,萨义德
arab_male1_35,塔米姆,Tamim,塔米姆
arab_male1_36,瓦利德,Walid,瓦利德
arab_male1_37,亚辛,Yassin,亚辛
arab_male1_38,扎卡里亚,Zakaria,扎卡里亚
arab_male1_39,阿巴斯,Abbas,阿巴斯
arab_male1_40,阿卜杜勒,Abdul,阿卜杜勒
arab_male1_41,阿迪卜,Adib,阿迪卜
arab_male1_42,阿菲夫,Afif,阿菲夫
arab_male1_43,阿基尔,Aqeel,阿基尔
arab_male1_44,阿拉,Allah,阿拉
arab_male1_45,阿明,Amin,阿明
arab_male1_46,阿什拉夫,Ashraf,阿什拉夫
arab_male1_47,阿兹哈尔,Azhar,阿兹哈尔
arab_male1_48,巴德尔,Badr,巴德尔
arab_male1_49,巴萨姆,Bassam,巴萨姆
arab_male1_50,巴西姆,Basim,巴西姆
