key,cz,en,ch
aztec_city2_1,肯瑟玛,Kensema,肯瑟瑪
aztec_city2_2,博卡努姆,Bocanum,博卡努姆
aztec_city2_3,伊姆卡玛,Imkama,伊姆卡瑪
aztec_city2_4,普洛格马特,Progmat,普洛格馬特
aztec_city2_5,塔塔龙,Tatalon,塔塔龍
aztec_city2_6,芭克,Bak,芭克
aztec_city2_7,伊腊杜娜,Iraduna,伊臘杜娜
aztec_city2_8,科波克,Copoc,科波克
aztec_city2_9,希斯米亚,Hismia,希斯米亞
aztec_city2_10,拉克,Lak,拉克
aztec_city2_11,波什玛特,Boshmat,波什瑪特
aztec_city2_12,伊姆玛昆,Immakun,伊姆瑪昆
aztec_city2_13,多洛萨,Dolosa,多洛薩
aztec_city2_14,提拉科,Tilaco,提拉科
aztec_city2_15,波克,Bok,波克
aztec_city2_16,穆克,Muk,穆克
aztec_city2_17,马拉索尔,Marasol,馬拉索爾
aztec_city2_18,沃加斯,Vargas,沃加斯
aztec_city2_19,伊科努姆,Ikonum,伊科努姆
aztec_city2_20,波顿,Boton,波頓
aztec_city2_21,利库姆,Likum,利庫姆
aztec_city2_22,沃伊芳,Voyfang,沃伊芳
aztec_city2_23,图克,Tuk,圖克
aztec_city2_24,洛芳,Lofang,洛芳
aztec_city2_25,波芳,Pofang,波芳
aztec_city2_26,恩尼克,Ennik,恩尼克
aztec_city2_27,托图斯,Totus,托圖斯
aztec_city2_28,图兰,Tulan,圖蘭
aztec_city2_29,拉丹,Ladan,拉丹
aztec_city2_30,洛斯克,Losk,洛斯克
aztec_city2_31,乌克,Uuk,烏克
aztec_city2_32,瓦克,Wak,瓦克
aztec_city2_33,雷斯托克,Restok,雷斯托克
aztec_city2_34,得拉蒙,Delamon,得拉蒙
aztec_city2_35,皮米戎,Pimiron,皮米戎
aztec_city2_36,伊尔东,Irdon,伊爾東
aztec_city2_37,瓦顿,Waton,瓦頓
aztec_city2_38,伏东,Fudong,伏東
aztec_city2_39,露尔蒙,Lurmong,露爾蒙
aztec_city2_40,伊科马,Ikoma,伊科馬
aztec_city2_41,特拉索姆,Trasom,特拉索姆
aztec_city2_42,努尔蒙,Numong,努爾蒙
aztec_city2_43,尼迦姆,Nikam,尼迦姆
aztec_city2_44,洛克,Rock,洛克
aztec_city2_45,沃刻雅,Wokeya,沃刻雅
aztec_city2_46,耶孔,Yekong,耶孔
aztec_city2_47,托巴科,Tobako,托巴科
aztec_city2_48,尼斯克,Nisk,尼斯克
aztec_city2_49,特里肯,Trikan,特里肯
aztec_city2_50,沃,Vor,沃
aztec_city2_51,希科拉,Hikora,希科拉
aztec_city2_52,图鲁斯,Tulus,圖魯斯
aztec_city2_53,伊克兰,Ikran,伊克蘭
aztec_city2_54,丝克,Sik,絲克
aztec_city2_55,伊尔肯,Irken,伊爾肯
aztec_city2_56,滕基,Tenki,滕基
aztec_city2_57,奥卡,Oka,奧卡
aztec_city2_58,托科穆,Tokomu,托科穆
aztec_city2_59,维克里姆,Vikrim,維克里姆
aztec_city2_60,吉达尔,Jidar,吉達爾
aztec_city2_61,邦同,Bangtong,邦同
aztec_city2_62,索托克,Sotok,索托克
aztec_city2_63,特斯克,Tesk,特斯克
aztec_city2_64,品塔,Pinta,品塔
aztec_city2_65,伊芙克,Evk,伊芙克
aztec_city2_66,厄克,Ehk,厄克
aztec_city2_67,巴伐克,Bavak,巴伐克
aztec_city2_68,伊提克,Itik,伊提克
aztec_city2_69,寇尔波,Korbo,寇爾波
aztec_city2_70,维基斯克,Vikisk,維基斯克
aztec_city2_71,斯巴,Spa,斯巴
aztec_city2_72,努吉尔,Nugir,努吉爾
aztec_city2_73,奥列斯克,Olesk,奧列斯克
aztec_city2_74,奥巴萨,Obasa,奧巴薩
aztec_city2_75,托罗尔,Torol,托羅爾
aztec_city2_76,速彭,Supeng,速彭
aztec_city2_77,维蒙,Vimon,維蒙
aztec_city2_78,图蒙,Tumong,圖蒙
aztec_city2_79,普尔龙,Pulron,普爾龍
aztec_city2_80,乌里龙,Urilon,烏里龍
aztec_city2_81,库姆普克,Kumpuk,庫姆普克
aztec_city2_82,瓦尔鲁克,Varruk,瓦爾魯克
aztec_city2_83,伊蒙,Imon,伊蒙
aztec_city2_84,乌彭,Wupeng,烏彭
aztec_city2_85,波印努,Boyinnu,波印努
aztec_city2_86,拉克,Lark,拉克
aztec_city2_87,塔蒙,Tamon,塔蒙
aztec_city2_88,费顿,Feidon,費頓
aztec_city2_89,莫拉顿,Moradon,莫拉頓
aztec_city2_90,穆尔,Mur,穆爾
aztec_city2_91,托什卡,Toska,托什卡
aztec_city2_92,海森特,Haisent,海森特
aztec_city2_93,蒙哥,Mongge,蒙哥
aztec_city2_94,泡伦,Paolun,泡倫
aztec_city2_95,洛丹姆,Lodam,洛丹姆
aztec_city2_96,冈嘉尔,Gangar,岡嘉爾
aztec_city2_97,伽然,Jaran,伽然
aztec_city2_98,帕塔尔,Patarr,帕塔爾
aztec_city2_99,博瓦姆,Bovam,博瓦姆
aztec_city2_100,图尔,Tur,圖爾
aztec_city2_101,伍尔,Wur,伍爾
aztec_city2_102,布尔,Bur,布爾
aztec_city2_103,保时坎,Baoshikan,保時坎
aztec_city2_104,托托兰,Totolan,托托蘭
aztec_city2_105,罗巴斯克,Robask,羅巴斯克
aztec_city2_106,辛奈特,Sinnert,辛奈特
aztec_city2_107,图马拉,Tumala,圖馬拉
aztec_city2_108,露尔,Lur,露爾
aztec_city2_109,洛然,Luoran,洛然
aztec_city2_110,匹什科特,Pishkot,匹什科特
aztec_city2_111,哈奈塔,Haneta,哈奈塔
aztec_city2_112,佩特洛伊萨尔,Petroisal,佩特洛伊薩爾
aztec_city2_113,伊托尔,Itor,伊托爾
aztec_city2_114,霍法尔,Hofar,霍法爾
aztec_city2_115,绷托斯克,Bengtorsk,繃托斯克
aztec_city2_116,佩拉托尔,Perator,佩拉托爾
aztec_city2_117,荣,Rong,榮
aztec_city2_118,聪,Cong,聰
aztec_city2_119,索荣,Suorong,索榮
aztec_city2_120,哈塔特,Hatat,哈塔特
aztec_city2_121,维亚姆,Viyam,維亞姆
aztec_city2_122,奥弗祖尔,Ofzur,奧弗祖爾
aztec_city2_123,克尔维玛,Kervima,克爾維瑪
aztec_city2_124,特拉苏尔,Trasur,特拉蘇爾
aztec_city2_125,伊门瑟拉,Imensera,伊門瑟拉
aztec_city2_126,多瓦瑞斯,Dovaris,多瓦瑞斯
aztec_city2_127,穆尔基纳,Murkina,穆爾基納
aztec_city2_128,伏拉塔克,Volatak,伏拉塔克
aztec_city2_129,森帕拉达,Semporada,森帕拉達
aztec_city2_130,巴拉威克纳,Baraweikna,巴拉威克納
aztec_city2_131,多威梅斯,Dovimes,多威梅斯
aztec_city2_132,甘多拉尔,Gandolar,甘多拉爾
