key,cz,en,ch
aztec_country_1,塞尔瓦,Selva,塞爾瓦
aztec_country_2,玛尔,Mae,瑪爾
aztec_country_3,德西埃托,Desierto,德西埃托
aztec_country_4,奥西斯,Oasis,奧西斯
aztec_country_5,利亚努拉,Llanura,利亞努拉
aztec_country_6,科迪勒拉,Cordillera,科迪勒拉
aztec_country_7,西埃纳加,Cienaga,西埃納加
aztec_country_8,安塞斯特罗,Ancestro,安塞斯特羅
aztec_country_9,里奥格兰德,Rio Grande,里奧格蘭德
aztec_country_10,索尔,Sorl,索爾
aztec_country_11,卢娜,Lunna,盧娜
aztec_country_12,埃斯特雷亚,Estrella,埃斯特雷亞
aztec_country_13,康斯特拉西翁,Constelacion,康斯特拉西翁
aztec_country_14,奥罗拉,Aurora,奧羅拉
aztec_country_15,希埃洛-伊-涅夫,Hielo Y Nieve,希埃洛-伊-涅夫
aztec_country_16,特雷诺,Trueno,特雷諾
aztec_country_17,托尔门塔,Tormenta,托爾門塔
aztec_country_18,纳图拉莱萨,Naturaleza,納圖拉萊薩
aztec_country_19,贝斯蒂亚-萨格拉达,Bestia Sagrada,貝斯蒂亞-薩格拉達
aztec_country_20,托泰姆,Totem,托泰姆
aztec_country_21,萨比杜里亚,Sabiduria,薩比杜里亞
aztec_country_22,科诺西米恩托,Conocimiento,科諾西米恩托
aztec_country_23,普罗费塔,Profeta,普羅費塔
aztec_country_24,拉松,Razon,拉鬆
aztec_country_25,梅塔尔,Metal,梅塔爾
aztec_country_26,奥赫托,Objeto,奧赫托
aztec_country_27,埃克斯特拉泰斯特雷,Extraterrestre,埃克斯特拉泰斯特雷
aztec_country_28,富埃戈,Fuego,富埃戈
aztec_country_29,富埃戈-萨格拉多,Fuego Sagrado,富埃戈-薩格拉多
aztec_country_30,苏弗里米恩托,Sufrimiento,蘇弗里米恩托
aztec_country_31,玛德雷-蒂埃拉,Madre Tierra,瑪德雷-蒂埃拉
aztec_country_32,伊斯托里亚,Historia,伊斯托里亞
aztec_country_33,卢斯,Luz,盧斯
aztec_country_34,因弗拉蒙多,Inframundo,因弗拉蒙多
aztec_country_35,穆埃尔泰,Muerte,穆埃爾泰
aztec_country_36,维达,Vida,維達
aztec_country_37,阿尔玛,Alma,阿爾瑪
aztec_country_38,蒙特萨格拉多,Monte Sagrado,蒙特薩格拉多
aztec_country_39,阿尔博尔萨格拉多,Arbol Sagrado,阿爾博爾薩格拉多
aztec_country_40,蒙塔纳斯-伊-里奥斯,Montanas Y Rios,蒙塔納斯-伊-里奧斯
aztec_country_41,埃斯皮里图,Espiritu,埃斯皮里圖
aztec_country_42,科拉松,Corazon,科拉鬆
aztec_country_43,玛吉亚,Magia,瑪吉亞
aztec_country_44,布鲁赫利亚,Brujeria,布魯赫利亞
aztec_country_45,埃内尔吉亚-埃斯皮里图阿尔,Energia Espiritual,埃內爾吉亞-埃斯皮里圖阿爾
aztec_country_46,阿曼内塞尔,Amanecer,阿曼內塞爾
aztec_country_47,维亚-拉克泰亚,Via Lactea,維亞-拉克泰亞
aztec_country_48,蒙多-迪维诺,Mundo Divino,蒙多-迪維諾
aztec_country_49,埃罗埃-萨格拉多,Heroe Sagrado,埃羅埃-薩格拉多
aztec_country_50,迪奥斯-安蒂古奥,Dios Antiguo,迪奧斯-安蒂古奧
aztec_country_51,迪奥斯-埃克斯特朗杰罗,Dios Extranjero,迪奧斯-埃克斯特朗傑羅
aztec_country_52,迪亚斯-帕萨多斯,Dias Pasados,迪亞斯-帕薩多斯
aztec_country_53,埃斯特雷亚斯-穆尔蒂普莱斯,Estrellas Multiples,埃斯特雷亞斯-穆爾蒂普萊斯
aztec_country_54,阿尔特,Arte,阿爾特
aztec_country_55,安蒂格埃达德,Antiguedad,安蒂格埃達德
aztec_country_56,鲁伊纳,Ruina,魯伊納
aztec_country_57,蒙斯特罗-马里诺,Monstruo Marino,蒙斯特羅-馬里諾
aztec_country_58,西埃洛,Cielo,西埃洛
aztec_country_59,蒙塔纳-内华达,Montana Nevada,蒙塔納-內華達
aztec_country_60,埃泰尔纳-维达,Eterna Vida,埃泰爾納-維達
aztec_country_61,苏埃诺,Sueno,蘇埃諾
aztec_country_62,门特,Mente,門特
aztec_country_63,布恩-苏埃诺,Buen Sueno,布恩-蘇埃諾
aztec_country_64,克雷亚西翁,Creacion,克萊亞西翁
aztec_country_65,因斯廷托-阿尼马尔,Instinto Animal,因斯廷托-阿尼馬爾
aztec_country_66,阿莫尔,Amor,阿莫爾
aztec_country_67,迪费伦西亚,Diferencia,迪費倫西亞
aztec_country_68,埃斯特蒂卡,Estetica,埃斯特蒂卡
aztec_country_69,西维利扎西翁,Civilizacion,西維利扎西翁
aztec_country_70,德沃西翁,Devocion,德沃西翁
aztec_country_71,埃奎利布里奥,Equilibrio,埃奎利佈里奧
aztec_country_72,苏佩尔维维恩西亚,Supervivencia,蘇佩爾維維恩西亞
aztec_country_73,阿达普塔西翁,Adaptacion,阿達普塔西翁
aztec_country_74,富尔萨,Fuerza,富爾薩
aztec_country_75,维奥伦西亚,Violencia,維奧倫西亞
aztec_country_76,奥图里达德,Autoridad,奧圖里達德
aztec_country_77,坎比奥,Cambio,坎比奧
aztec_country_78,苏佩拉西翁,Superacion,蘇佩拉西翁
aztec_country_79,特兰斯福马西翁,Transformacion,特蘭斯福馬西翁
aztec_country_80,埃罗尔,Error,埃羅爾
aztec_country_81,塔布,Tabu,塔佈
aztec_country_82,阿塔德塞尔,Atardecer,阿塔德塞爾
aztec_country_83,纳达,Nada,納達
aztec_country_84,米拉格罗,Milagro,米拉格羅
aztec_country_85,皮埃德拉-内格拉,Piedra Negra,皮埃德拉-內格拉
