key,cz,en,ch
aztec_male_1,阿卡马皮奇特利,Acamapichtli,阿卡馬皮奇特利
aztec_male_2,伊茨科阿特尔,Itzcoatl,伊茨科阿特爾
aztec_male_3,阿萨亚卡特,Axayacatl,阿薩亞卡特
aztec_male_4,蒂佐克,Tizoc,蒂佐克
aztec_male_5,阿维佐特尔,Ahuitzotl,阿維佐特爾
aztec_male_6,蒙特祖马,Moctezuma,蒙特祖馬
aztec_male_7,库奥特莫克,Cuauhtemoc,庫奧特莫克
aztec_male_8,奎特拉瓦克,Cuitlahuac,奎特拉瓦克
aztec_male_9,内扎华尔科约特尔,Netzahualcoyotl,內扎華爾科約特爾
aztec_male_10,维齐洛波奇特利,Huitzilopochtli,維齊洛波奇特利
aztec_male_11,特诺奇,Tenoch,特諾奇
aztec_male_12,奇马尔波波卡,Chimalpopoca,奇馬爾波波卡
aztec_male_13,维齐利维特尔,Huitzilihuitl,維齊利維特爾
aztec_male_14,特拉卡埃莱尔,Tlacaelel,特拉卡埃萊爾
aztec_male_15,阿兹塔米特,Aztamitl,阿茲塔米特
aztec_male_16,阿兹塔特尔,Azcatl,阿茲塔特爾
aztec_male_17,卡卡梅津,Cacamatzin,卡卡梅津
aztec_male_18,阿托托斯特利,Atotoztli,阿托托斯特利
aztec_male_19,伊兹特利,Iztli,伊茲特利
aztec_male_20,夸乌特利,Cuauhtli,夸烏特利
aztec_male_21,托纳蒂,Tonati,托納蒂
aztec_male_22,科阿特尔,Coatl,科阿特爾
aztec_male_23,特特尔,Tetl,特特爾
aztec_male_24,休特尔,Xiuhtl,休特爾
aztec_male_25,西特拉尔,Citlal,西特拉爾
aztec_male_26,约华尔,Yohual,約華爾
aztec_male_27,埃赫卡特,Ehecatl,埃赫卡特
aztec_male_28,奎扎尔,Quetzal,奎扎爾
aztec_male_29,特拉洛克,Tlaloc,特拉洛克
aztec_male_30,米克特利,Mictli,米克特利
aztec_male_31,肖科约特尔,Xocoyotl,肖科約特爾
aztec_male_32,阿特利,Atli,阿特利
aztec_male_33,阿特拉华,Atlahua,阿特拉華
aztec_male_34,阿特兹尔,Atlzil,阿特茲爾
aztec_male_35,阿特津,Atltzin,阿特津
aztec_male_36,阿特米纳,Atlmina,阿特米納
aztec_male_37,夸乌希休特尔,Cuauhxiuhtl,夸烏希休特爾
aztec_male_38,夸乌津,Cuauhtzin,夸烏津
aztec_male_39,夸乌哈特,Cuauhatl,夸烏哈特
aztec_male_40,托纳蒂乌希特尔,Tonatiuhitl,托納蒂烏希特爾
aztec_male_41,托纳尔津,Tonaltzin,托納爾津
aztec_male_42,托纳蒂亚特,Tonatiatl,托納蒂亞特
aztec_male_43,科阿特林,Coatlin,科阿特林
aztec_male_44,科阿特兰特利,Coatlantli,科阿特蘭特利
aztec_male_45,科阿特尔津,Coatltzin,科阿特爾津
aztec_male_46,特特勒,Tetle,特特勒
