key,cz,en,ch
China_city_1,北京,Beijing,北京
China_city_2,天津,Tianjin,天津
China_city_3,上海,Shanghai,上海
China_city_4,重庆,Chongqing,重慶
China_city_5,香港,Xianggang,香港
China_city_6,澳门,Aomen,澳門
China_city_7,石家庄,Shijiazhuang,石家莊
China_city_8,唐山,Tangshan,唐山
China_city_9,秦皇岛,Qinhuangdao,秦皇島
China_city_10,邯郸,Handan,邯鄲
China_city_11,邢台,Xingtai,邢台
China_city_12,保定,Baoding,保定
China_city_13,张家口,Zhangjiakou,張家口
China_city_14,承德,Chengde,承德
China_city_15,沧州,Cangzhou,滄州
China_city_16,廊坊,Langfang,廊坊
China_city_17,衡水,Hengshui,衡水
China_city_18,井陉,Jingxing,井陘
China_city_19,正定,Zhengding,正定
China_city_20,行唐,Xingtang,行唐
China_city_21,灵寿,Lingshou,靈壽
China_city_22,高邑,Gaoyi,高邑
China_city_23,深泽,Shenze,深澤
China_city_24,赞皇,Zanhuang,贊皇
China_city_25,无极,Wuji,無極
China_city_26,平山,Pingshan,平山
China_city_27,元氏,Yuanshi,元氏
China_city_28,赵,Zhaoxian,趙
China_city_29,滦南,Luannan,灤南
China_city_30,乐亭,Laoting,樂亭
China_city_31,迁西,Qianxi,遷西
China_city_32,玉田,Yutian,玉田
China_city_33,滦,Luan,灤
China_city_34,青龙,Qinglong,青龍
China_city_35,昌黎,Changli,昌黎
China_city_36,抚宁,Funing,撫寧
China_city_37,卢龙,Lulong,盧龍
China_city_38,临漳,Linzhang,臨漳
China_city_39,成安,Chengan,成安
China_city_40,大名,Daming,大名
China_city_41,涉,Shexian,涉
China_city_42,磁,Cixian,磁
China_city_43,肥乡,Feixiang,肥鄉
China_city_44,永年,Yongnian,永年
China_city_45,邱,Qiu,邱
China_city_46,鸡泽,Jize,雞澤
China_city_47,广平,Guangping,廣平
China_city_48,馆陶,Guantao,館陶
China_city_49,魏,Weixian,魏
China_city_50,曲周,Quzhou,曲周
China_city_51,临城,Lincheng,臨城
China_city_52,内丘,Neiqiu,內丘
China_city_53,柏乡,Baixiang,柏鄉
China_city_54,隆尧,Longyao,隆堯
China_city_55,任,Renxian,任
China_city_56,南和,Nanhe,南和
China_city_57,宁晋,Ningjin,寧晉
China_city_58,巨鹿,Julu,巨鹿
China_city_59,新河,Xinhe,新河
China_city_60,广宗,Guangzong,廣宗
China_city_61,平乡,Pingxiang,平鄉
China_city_62,威,Weixian,威
China_city_63,清河,Qinghe,清河
China_city_64,临西,Linxi,臨西
China_city_65,满城,Manyang,滿城
China_city_66,清苑,Qingyuan,清苑
China_city_67,涞水,Laishui,淶水
China_city_68,阜平,Fuping,阜平
China_city_69,徐水,Xushui,徐水
China_city_70,定兴,Dingxing,定興
China_city_71,唐,Tangxian,唐
China_city_72,高阳,Gaoyang,高陽
China_city_73,容城,Rongcheng,容城
China_city_74,涞源,Laiyuan,淶源
China_city_75,望都,Wangdu,望都
China_city_76,安新,Anxin,安新
China_city_77,易,Yixian,易
China_city_78,曲阳,Quyang,曲陽
China_city_79,蠡,Lixian,蠡
China_city_80,顺平,Shunping,順平
China_city_81,博野,Boye,博野
China_city_82,雄,Xiongxian,雄
China_city_83,万全,Wanquan,萬全
China_city_84,宣化,Xuanhua,宣化
China_city_85,张北,Zhangbei,張北
China_city_86,康保,Kangbao,康保
China_city_87,沽源,Guyuan,沽源
China_city_88,尚义,Shangyi,尚義
China_city_89,蔚,Yuxian,蔚
China_city_90,阳原,Yangyuan,陽原
China_city_91,怀安,Huaian,懷安
China_city_92,涿鹿,Zhuolu,涿鹿
China_city_93,赤城,Chicheng,赤城
China_city_94,崇礼,Chongli,崇禮
China_city_95,承德,Chengde,承德
China_city_96,兴隆,Xinglong,興隆
China_city_97,平泉,Pingquan,平泉
China_city_98,滦平,Luanping,灤平
China_city_99,隆化,Longhua,隆化
China_city_100,丰宁,Fengning,豐寧
China_city_101,宽城,Kuancheng,寬城
China_city_102,围场,Weichang,圍場
China_city_103,沧,Cangxian,滄
China_city_104,青,Qingxian,青
China_city_105,东光,Dongguang,東光
China_city_106,海兴,Haixing,海興
China_city_107,盐山,Yanshan,鹽山
China_city_108,肃宁,Suning,肅寧
China_city_109,南皮,Nanpi,南皮
China_city_110,吴桥,Wuqiao,吳橋
China_city_111,献,Xianxian,獻
China_city_112,孟村,Mengcun,孟村
China_city_113,固安,Guan,固安
China_city_114,永清,Yongqing,永清
China_city_115,香河,Xianghe,香河
China_city_116,大城,Dacheng,大城
China_city_117,文安,Wenan,文安
China_city_118,大厂,Dachang,大廠
China_city_119,枣强,Zaoqiang,棗強
China_city_120,武邑,Wuyi,武邑
China_city_121,武强,Wuqiang,武強
China_city_122,饶阳,Raoyang,饒陽
China_city_123,安平,Anping,安平
China_city_124,故城,Gucheng,故城
China_city_125,景,Jingxian,景
China_city_126,阜城,Fucheng,阜城
China_city_127,太原,Taiyuan,太原
China_city_128,大同,Datong,大同
China_city_129,阳泉,Yangquan,陽泉
China_city_130,长治,Changzhi,長治
China_city_131,晋城,Jincheng,晉城
China_city_132,朔州,Shuozhou,朔州
China_city_133,晋中,Jinzhong,晉中
China_city_134,运城,Yuncheng,運城
China_city_135,忻州,Xinzhou,忻州
China_city_136,临汾,Linfen,臨汾
China_city_137,吕梁,Luliang,呂梁
China_city_138,清徐,Qingxu,清徐
China_city_139,阳曲,Yangqu,陽曲
China_city_140,娄烦,Loufan,婁煩
China_city_141,阳高,Yanggao,陽高
China_city_142,天镇,Tianzhen,天鎮
China_city_143,广灵,Guangling,廣靈
China_city_144,灵丘,Lingqiu,靈丘
China_city_145,浑源,Hunyuan,渾源
China_city_146,左云,Zuoyun,左雲
China_city_147,平定,Pingding,平定
China_city_148,盂,Yuxian,盂
China_city_149,长治,Changzhi,長治
China_city_150,襄垣,Xiangyuan,襄垣
China_city_151,屯留,Tunliu,屯留
China_city_152,平顺,Pingshun,平順
China_city_153,黎城,Licheng,黎城
China_city_154,壶关,Huguan,壺關
China_city_155,长子,Zhangzi,長子
China_city_156,武乡,Wuxiang,武鄉
China_city_157,沁,Qinxian,沁
China_city_158,沁源,Qinyuan,沁源
China_city_159,阳城,Yangcheng,陽城
China_city_160,陵川,Lingchuan,陵川
China_city_161,泽州,Zezhou,澤州
China_city_162,平鲁,Pinglu,平魯
China_city_163,山阴,Shanyin,山陰
China_city_164,应,Yingxian,應
China_city_165,右玉,Youyu,右玉
China_city_166,怀仁,Huairen,懷仁
China_city_167,榆次,Yuci,榆次
China_city_168,榆社,Yushe,榆社
China_city_169,左权,Zuoquan,左權
China_city_170,和顺,Heshun,和順
China_city_171,昔阳,Xiyang,昔陽
China_city_172,寿阳,Shouyang,壽陽
China_city_173,太谷,Taigu,太谷
China_city_174,祁,Qixian,祁
China_city_175,平遥,Pingyao,平遙
China_city_176,灵石,Lingshi,靈石
China_city_177,临猗,Linyi,臨猗
China_city_178,万荣,Wanrong,萬榮
China_city_179,闻喜,Wenxi,聞喜
China_city_180,稷山,Jishan,稷山
China_city_181,新绛,Xinjiang,新絳
China_city_182,绛,Jiangxian,絳
China_city_183,垣曲,Yuanqu,垣曲
China_city_184,夏,Xiaxian,夏
China_city_185,平陆,Pinglu,平陸
China_city_186,芮城,Ruicheng,芮城
China_city_187,忻府,Xinfu,忻府
China_city_188,定襄,Dingxiang,定襄
China_city_189,五台,Wutai,五台
China_city_190,代,Daixian,代
China_city_191,繁峙,Fanshi,繁峙
China_city_192,宁武,Ningwu,寧武
China_city_193,静乐,Jingle,靜樂
China_city_194,神池,Shenchi,神池
China_city_195,五寨,Wuzhai,五寨
China_city_196,岢岚,Kelan,岢嵐
China_city_197,河曲,Hequ,河曲
China_city_198,保德,Baode,保德
China_city_199,偏关,Pianguan,偏關
China_city_200,尧都,Yindu,堯都
China_city_201,曲沃,Quwo,曲沃
China_city_202,翼城,Yicheng,翼城
China_city_203,襄汾,Xiangfen,襄汾
China_city_204,洪洞,Hongtong,洪洞
China_city_205,古,Guxian,古
China_city_206,安泽,Anze,安澤
China_city_207,浮山,Fushan,浮山
China_city_208,吉,Jixian,吉
China_city_209,乡宁,Xiangning,鄉寧
China_city_210,大宁,Daning,大寧
China_city_211,隰,Xixian,隰
China_city_212,永和,Yonghe,永和
China_city_213,蒲,Puxian,蒲
China_city_214,汾西,Fenxi,汾西
China_city_215,离石,Lishi,離石
China_city_216,文水,Wenshui,文水
China_city_217,交城,Jiaocheng,交城
China_city_218,兴,Xingxian,興
China_city_219,临,Linxian,臨
China_city_220,柳林,Liulin,柳林
China_city_221,石楼,Shilou,石樓
China_city_222,岚,Lanxian,嵐
China_city_223,方山,Fangshan,方山
China_city_224,中阳,Zhongyang,中陽
China_city_225,交口,Jiaokou,交口
China_city_226,郑州,Zhengzhou,鄭州
China_city_227,开封,Kaifeng,開封
China_city_228,洛阳,Luoyang,洛陽
China_city_229,平顶山,Pingdingshan,平頂山
China_city_230,安阳,Anyang,安陽
