key,cz,en,ch
China_country_1,华夏,Huaxia,華夏
China_country_2,诸夏,Zhuxia,諸夏
China_country_3,殷商,Yinshang,殷商
China_country_4,宗周,Zongzhou,宗周
China_country_5,祖秦,Zuqin,祖秦
China_country_6,天汉,Tianhan,天漢
China_country_7,逸晋,Yijin,逸晉
China_country_8,武唐,Wutang,武唐
China_country_9,文宋,Wensong,文宋
China_country_10,同辽,Tongliao,同遼
China_country_11,和林,Helin,和林
China_country_12,燕明,Yanming,燕明
China_country_13,长顺,Changshun,長順
China_country_14,洪福,Hongfu,洪福
China_country_15,太平,Taiping,太平
China_country_16,中华,Zhonghua,中華
China_country_17,中土,Zhongtu,中土
China_country_18,赤县,Chixian,赤縣
China_country_19,神州,Shenzhou,神州
China_country_20,九州,Jiuzhou,九州
China_country_21,太初,Taichu,太初
China_country_22,坤梁,Kunliang,坤梁
China_country_23,幽赵,Youzhao,幽趙
China_country_24,齐鲁,Qilu,齊魯
China_country_25,吴越,Wuyue,吳越
China_country_26,湘楚,Xiangchu,湘楚
China_country_27,汉昌,Hanchang,漢昌
China_country_28,青川,Qingchuan,青川
China_country_29,珠湾,Zhuwan,珠灣
China_country_30,玉疆,Yujiang,玉疆
China_country_31,昆仑,Kunlun,崑崙
China_country_32,长云,Changyun,長雲
China_country_33,海康,Haikang,海康
China_country_34,辽岭,Liaoling,遼嶺
China_country_35,玄江,Xuanjiang,玄江
China_country_36,龙台,Longtai,龍臺
China_country_37,流求,Liuqiu,流求
China_country_38,烟洋,Yanyang,煙洋
China_country_39,三韩,Sanhan,三韓
China_country_40,朝鲜,Chaoxian,朝鮮
China_country_41,林邑,Linyi,林邑
China_country_42,越南,Yuenan,越南
China_country_43,兰芳,Lanfang,蘭芳
China_country_44,澳宋,Aosong,澳宋
China_country_45,旧港,Jiugang,舊港
China_country_46,星城,Xingcheng,星城
China_country_47,蓬莱,Penglai,蓬萊
China_country_48,瀛洲,Yingzhou,瀛洲
China_country_49,方丈,Fangzhang,方丈
China_country_50,炎洲,Yanzhou,炎洲
China_country_51,凤麟,Fenglin,鳳麟
China_country_52,沧海,Canghai,滄海
China_country_53,扶桑,Fusang,扶桑
China_country_54,桃源,Taoyuan,桃源
China_country_55,紫府,Zifu,紫府
China_country_56,五岳,Wuling,五嶽
China_country_57,东煌,Donghuang,東煌
China_country_58,璃月,Liyue,璃月
China_country_59,仙洲,Xianzhou,仙洲
China_country_60,今州,Jinzhou,今州
China_country_61,大炎,Dayan,大炎
China_country_62,延夏,Yanxia,延夏
China_country_63,泛亚,Fanya,泛亞
