key,cz,en,ch
China_religion_1,唯意志论,Voluntarism,唯意志論
China_religion_2,权力意志论,Will to Power Theory,權力意志論
China_religion_3,生命直觉主义,Life Intuitionism,生命直覺主義
China_religion_4,创化论,Creationism,創化論
China_religion_5,精神科学生命哲学,Psychiatric Philosophy of Life,精神科學生命哲學
China_religion_6,生机论生命哲学,Vitalist Philosophy of Life,生機論生命哲學
China_religion_7,孔德实证哲学,Comte's Positivist Philosophy,孔德實證哲學
China_religion_8,马赫经验批判主义, Mach's Empirical Criticism,馬赫經驗批判主義
China_religion_9,逻辑实证主义,Logical Positivism,邏輯實證主義
China_religion_10,激进功利主义,Radical Utilitarianism,激進功利主義
China_religion_11,改良功利主义,Reform Utilitarianism,改良功利主義
China_religion_12,规则功利主义,Rule Utilitarianism,規則功利主義
China_religion_13,行为功利主义,Act Utilitarianism,行為功利主義
China_religion_14,辩证唯物主义,Dialectical Materialism,辯證唯物主義
China_religion_15,历史唯物主义,Historical Materialism,歷史唯物主義
China_religion_16,西方马克思主义,Western Marxism,西方馬克思主義
China_religion_17,斯大林主义,Stalinism,史達林主義
China_religion_18,毛泽东主义,Maoism,毛澤東主義
China_religion_19,马堡学派,Marburg School,馬堡學派
China_religion_20,弗莱堡学派,Freiburg School,弗萊堡學派
China_religion_21,生理学学派,Physiological School,生理學學派
China_religion_22,新黑格尔主义,Neo-Hegelianism,新黑格爾主義
China_religion_23,先验现象学,Transcendental Phenomenology,先驗現象學
China_religion_24,存在论现象学,Ontological Phenomenology,存在論現象學
China_religion_25,质料价值现象学,Husserl's Material Value Phenomenology,質料價值現象學
China_religion_26,解释学现象学,Hermeneutic Phenomenology,解釋學現象學
China_religion_27,基础存在论,Fundamental Ontology,基礎存在論
China_religion_28,人学存在主义,Anthropological Existentialism,人學存在主義
China_religion_29,荒诞存在主义,Absurdist Existentialism,荒誕存在主義
China_religion_30,生存哲学,Philosophy of Existence,生存哲學
China_religion_31,逻辑原子主义,Logical Atomism,邏輯原子主義
China_religion_32,日常语言学派,Ordinary Language School,日常語言學派
China_religion_33,批判理性主义,Critical Rationalism,批判理性主義
China_religion_34,科学哲学历史主义学派,Historicist School of Philosophy of Science,科學哲學歷史主義學派
China_religion_35,实效主义,Pragmatism,實效主義
China_religion_36,彻底经验主义,Radical Empiricism,徹底經驗主義
China_religion_37,工具主义,Instrumentalism,工具主義
China_religion_38,新实用主义,Neo-Pragmatism,新實用主義
China_religion_39,结构语言学哲学,Structural Linguistic Philosophy,結構語言學哲學
China_religion_40,结构人类学哲学,Structural Anthropological Philosophy,結構人類學哲學
China_religion_41,结构马克思主义,Structural Marxism,結構馬克思主義
China_religion_42,结构精神分析哲学,Structural Psychoanalytic Philosophy,結構精神分析哲學
China_religion_43,解构主义,Deconstructionism,解構主義
China_religion_44,知识考古学与谱系学,Archaeology and Genealogy of Knowledge,知識考古學與譜系學
China_religion_45,差异哲学,Philosophy of Difference,差異哲學
China_religion_46,后现代状况理论,Theory of the Postmodern Condition,後現代狀況理論
China_religion_47,后现代女权主义哲学,Postmodern Feminist Philosophy,後現代女權主義哲學
China_religion_48,后现代科学哲学,Postmodern Philosophy of Science,後現代科學哲學
China_religion_49,后殖民主义哲学,Postcolonialist Philosophy,後殖民主義哲學
China_religion_50,晚期资本主义文化批判理论,Critical Theory of Late Capitalist Culture,晚期資本主義文化批判理論
China_religion_51,机体哲学,Philosophy of Organism,機體哲學
China_religion_52,过程神学哲学,Process Theological Philosophy,過程神學哲學
China_religion_53,一般解释学,General Hermeneutics,一般解釋學
China_religion_54,生命解释学,Life Hermeneutics,生命解釋學
China_religion_55,哲学解释学,Philosophical Hermeneutics,哲學解釋學
China_religion_56,反思解释学,Reflective Hermeneutics,反思解釋學
China_religion_57,自由主义女权主义,Liberal Feminist,自由主義女權主義
China_religion_58,激进女权主义,Radical Feminist,激進女權主義
China_religion_59,社会主义女权主义,Socialist Feminist,社會主義女權主義
China_religion_60,生态女权主义,Ecofeminist,生態女權主義
China_religion_61,法兰克福学派,Frankfurt School,法蘭克福學派
China_religion_62,交往行动理论,Theory of Communicative Action,交往行動理論
China_religion_63,承认理论,Theory of Recognition,承認理論
China_religion_64,生态批判理论,Ecological Critical Theory,生態批判理論
