key,cz,en,ch
clan_1,明洛斯,Minlos,明洛斯
clan_2,莫尔都因,Mordun,莫爾都因
clan_3,卡兰洪,Kalanhong,卡蘭洪
clan_4,克瑞斯吉尔,Crisgill,克瑞斯吉爾
clan_5,图尔加尔,Turgal,圖爾加爾
clan_6,米斯林,Mislin,米斯林
clan_7,安诺尔,Annor,安諾爾
clan_8,梅内尔,Menel,梅內爾
clan_9,加尔诺斯,Garnos,加爾諾斯
clan_10,林拉顿,Linlaton,林拉頓
clan_11,杜伊洛斯,Duilos,杜伊洛斯
clan_12,埃兰迪尔,Elandil,埃蘭迪爾
clan_13,洛斯洛林,Loslorin,洛斯洛林
clan_14,阿蒙兰,Amonlan,阿蒙蘭
clan_15,卡拉斯隆,Kalaslong,卡拉斯隆
clan_16,埃瑞洛斯,Erelos,埃瑞洛斯
clan_17,宁洛德尔,Ninglodel,寧洛德爾
clan_18,吉尔多斯,Gildos,吉爾多斯
clan_19,安法拉斯,Anfalas,安法拉斯
clan_20,罗瓦尼尔,Rowarnil,羅瓦尼爾
clan_21,辛达墨,Sindamor,辛達墨
clan_22,图尔纳斯,Turnas,圖爾納斯
clan_23,欧洛斐尔,Orolphir,歐洛斐爾
clan_24,贝烈戈斯,Belegos,貝烈戈斯
clan_25,阿塞兰,Aselan,阿塞蘭
clan_26,埃斯特林,Estlin,埃斯特林
clan_27,诺多尼尔,Nodoril,諾多尼爾
clan_28,伊西利安,Isilian,伊西利安
clan_29,佩拉诺尔,Pelanor,佩拉諾爾
clan_30,卡兰迪尔,Calandil,卡蘭迪爾
clan_31,多尔吉斯,Dorgis,多爾吉斯
clan_32,哈隆德尔,Harondel,哈隆德爾
clan_33,伊宁瓦尔,Ininwar,伊寧瓦爾
clan_34,埃雷德恩,Eleden,埃雷德恩
clan_35,米那斯提,Minasthi,米那斯提
clan_36,贝烈格莫,Belegmo,貝烈格莫
clan_37,欧尔法斯,Orfas,歐爾法斯
clan_38,阿蒙苏尔,Amonsur,阿蒙蘇爾
clan_39,辛达洛斯,Sindalos,辛達洛斯
clan_40,法洛斯提,Falosti,法洛斯提
clan_41,埃瑞德林,Eredlin,埃瑞德林
clan_42,宁格罗德,Ningrod,寧格羅德
clan_43,安格洛斯,Angelos,安格洛斯
clan_44,多尔安罗,Doranro,多爾安羅
clan_45,奥斯吉兰,Osgilan,奧斯吉蘭
clan_46,佛诺斯特,Fornost,佛諾斯特
clan_47,阿切兰特,Achelant,阿切蘭特
clan_48,伊姆拉斯,Imras,伊姆拉斯
clan_49,辛达墨瑞,Sindamore,辛達墨瑞
clan_50,埃雷德鲁,Eredru,埃雷德魯
clan_51,林顿,Lindon,林頓
clan_52,菲尔德,Field,菲爾德
clan_53,威勒,Wheeler,威勒
clan_54,霍尔特,Holt,霍爾特
clan_55,格雷森,Grayson,格雷森
clan_56,艾尔伍德,Elwood,艾爾伍德
clan_57,温斯顿,Winston,溫斯頓
clan_58,卡文迪,Cavend,卡文迪
clan_59,布兰登,Brandon,布蘭登
clan_60,哈洛威,Halloway,哈洛威
clan_61,谢尔曼,Sherman,謝爾曼
clan_62,兰德尔,Randall,蘭德爾
clan_63,普雷斯顿,Preston,普雷斯頓
clan_64,考德威尔,Caldwell,考德威爾
clan_65,桑德斯,Sanders,桑德斯
clan_66,霍克斯,Hawkes,霍克斯
clan_67,奥德利,Audley,奧德利
clan_68,切斯特,Chester,切斯特
clan_69,温特斯,Winters,溫特斯
clan_70,斯通,Stone,斯通
clan_71,海伍德,Haywood,海伍德
clan_72,阿什比,Ashby,阿什比
clan_73,雷德蒙,Redmond,雷德蒙
clan_74,哈珀,Harper,哈珀
clan_75,洛厄尔,Lowell,洛厄爾
clan_76,伯吉斯,Burgess,伯吉斯
clan_77,克劳福德,Crawford,克勞福德
clan_78,梅特卡夫,Metcalf,梅特卡夫
clan_79,欧文斯,Owens,歐文斯
clan_80,布拉德肖,Bradshaw,布拉德肖
clan_81,科尔曼,Coleman,科爾曼
clan_82,弗罗斯特,Frost,弗羅斯特
clan_83,温赖特,Wainwright,溫賴特
clan_84,霍利斯,Hollis,霍利斯
clan_85,埃弗顿,Everton,埃弗頓
clan_86,柯林斯,Collins,柯林斯
clan_87,巴洛,Barlow,巴洛
clan_88,兰开斯特,Lancaster,蘭開斯特
clan_89,温斯洛,Winslow,溫斯洛
clan_90,伍德曼,Woodman,伍德曼
clan_91,罗森,Rosen,羅森
clan_92,莱斯特,Lester,萊斯特
clan_93,克罗利,Crowley,克羅利
clan_94,班尼特,Bennett,班尼特
clan_95,卡莱尔,Carlisle,卡萊爾
clan_96,黑斯廷斯,Hastings,黑斯廷斯
clan_97,埃利斯,Ellis,埃利斯
clan_98,碧海,Azure,碧海
clan_99,暮刃,Dusk,暮刃
clan_100,龙痕,Dragon,龍痕
clan_101,黑曜,Obsidian,黑曜
clan_102,银沙,Silver,銀沙
clan_103,耀星,Star,耀星
clan_104,破晓,Dawn,破曉
clan_105,铁壁,Iron,鐵壁
clan_106,烈阳,Sun,烈陽
clan_107,苍穹,Sky,蒼穹
clan_108,雷鸣,Thunder,雷鳴
clan_109,浪歌,Wave,浪歌
clan_110,赤焰,Blaze,赤焰
clan_111,赤锋,Crimson,赤鋒
clan_112,冰凰,Frost,冰凰
clan_114,云影,Cloud,雲影
clan_116,风暴,Storm,風暴
clan_117,暗焰,Dark,暗焰
clan_118,光辉,Light,光輝
clan_120,金锋,Gold,金鋒
clan_122,无声,Silent,無聲
clan_123,破风,Wind,破風
clan_124,烈火,Fire,烈火
clan_126,流焰,Flame,流焰
clan_127,苍影,Shadow,蒼影
clan_130,夜风,Night,夜風
clan_131,苍月,Moon,蒼月
clan_132,青焰,Green,青焰
clan_135,紫羽,Purple,紫羽
clan_137,狼影,Wolf,狼影
clan_139,雾影,Mist,霧影
clan_140,冰河,Glacier,冰河
clan_142,黑云,Black,黑雲
clan_145,深渊,Abyss,深淵
clan_146,冰刃,Ice,冰刃
clan_151,银雪,Snow,銀雪
clan_152,赤月,Red,赤月
clan_169,烈风,Gale,烈風
clan_170,血月,Blood,血月
clan_179,深蓝,Blue,深藍
clan_182,灼鳞,Scale,灼鱗
clan_183,钢羽,Steel,鋼羽
clan_185,潮汐,Tide,潮汐
clan_193,黑棘,Thorn,黑棘
clan_195,烈羽,Feather,烈羽
clan_203,海誓,Sea,海誓
clan_210,玄光,Mystic,玄光
clan_211,苍藤,Vine,蒼藤
clan_212,虹辉,Rainbow,虹輝
clan_218,岁守,Year,歲守
clan_221,恒誓,Eternal,恆誓
clan_223,穹宇,Firmament,穹宇
clan_227,历旅,Travel,歷旅
clan_228,织梦,Weave,織夢
clan_232,飓崖,Cliff,颶崖
clan_Britain1,史密斯,Smith,史密斯
