key,cz,en,ch
corporate_country_1,沃尔玛,Walmart,沃爾瑪
corporate_country_2,石油化工集团,SINOPEC-Group,石油化工集團
corporate_country_3,国家电网,State-Grid,國家電網
corporate_country_4,石油天然气集团,National-Petroleum,石油天然氣集團
corporate_country_5,皇家壳牌石油,Royal-Dutch-Shell,皇家殼牌石油
corporate_country_6,阿美,Saudi-Aramco,阿美
corporate_country_7,大众,Volkswagen-Group,大眾
corporate_country_8,石油,Petroleum,石油
corporate_country_9,亚马逊,Amazon,亞馬遜
corporate_country_10,丰田汽车,Toyota-Motor,豐田汽車
corporate_country_11,埃克森美孚,ExxonMobil,埃克森美孚
corporate_country_12,苹果,Apple,蘋果
corporate_country_13,西维氏健康,CVS-Health,西維士健康
corporate_country_14,伯克希尔-哈撒韦,Berkshire-Hathaway,伯克希爾-哈撒韋
corporate_country_15,联合健康集团,UnitedHealth-Group,聯合健康集團
corporate_country_16,麦克森,McKesson,麥克森
corporate_country_17,嘉能可,Glencore,嘉能可
corporate_country_18,建筑集团,State-Construction-Engineering,建築集團
corporate_country_19,三星电子,Samsung-Electronics,三星電子
corporate_country_20,戴姆勒,Daimler,戴姆勒
corporate_country_21,平安保险,Ping-An-Insurance,平安保險
corporate_country_22,电话电报,AT&T,電話電報
corporate_country_23,美源伯根,AmerisourceBergen,美源伯根
corporate_country_24,工商银行,Industrial&Commercial-Bank,工商銀行
corporate_country_25,道达尔,Total,道達爾
corporate_country_26,鸿海精密工业,Hon-Hai-Precision-Industry,鴻海精密工業
corporate_country_27,托克集团,Trafigura-Group,托克集團
corporate_country_28,EXOR集团,Exor-Group,EXOR集團
corporate_country_29,字母系统,Alphabet,字母系統
corporate_country_30,建设银行,Construction-Bank,建設銀行
corporate_country_31,福特汽车,Ford-Motor,福特汽車
corporate_country_32,信诺,Cigna,信諾
corporate_country_33,开市客,Costco-Wholesale,開市客
corporate_country_34,安盛,Axa,安盛
corporate_country_35,农业银行,Agricultural-Bank,農業銀行
corporate_country_36,雪佛龙,Chevron,雪佛龍
corporate_country_37,嘉德诺,Cardinal-Health,嘉德諾
corporate_country_38,摩根大通,JPMorgan-Chase,摩根大通
corporate_country_39,本田汽车,Honda-Motor,本田汽車
corporate_country_40,通用汽车,General-Motors,通用汽車
corporate_country_41,沃博联,Walgreens-Boots-Alliance,沃博聯
corporate_country_42,三菱商事株式会社,Mitsubishi,三菱商事株式會社
corporate_country_43,银行,Bank,銀行
corporate_country_44,威瑞森电信,Verizon-Communications,威瑞森電信
corporate_country_45,人寿保险,Life-Insurance,人壽保險
corporate_country_46,安联保险集团,Allianz,安聯保險集團
corporate_country_47,微软,Microsoft,微軟
corporate_country_48,马拉松原油,Marathon-Petroleum,馬拉松原油
corporate_country_49,华为投资控股,Huawei-Investment&Holding,華為投資控股
corporate_country_50,铁路工程集团,Railway-Engineering-Group,鐵路工程集團
corporate_country_51,克罗格,Kroger,克羅格
corporate_country_52,上海汽车集团,SAIC-Motor,上海汽車集團
corporate_country_53,房利美,Fannie-Mae,房利美
corporate_country_54,铁道建筑集团,Railway-Construction,鐵道建築集團
corporate_country_55,俄罗斯天然气工业,Gazprom,俄羅斯天然氣工業
corporate_country_56,宝马集团,BMW-Group,寶馬集團
corporate_country_57,卢克石油,Lukoil,盧克石油
corporate_country_58,银行,Bank-of-America,銀行
corporate_country_59,家得宝,Home-Depot,家得寶
corporate_country_60,邮政控股,Japan-Post-Holdings,郵政控股
corporate_country_61,菲利普斯66,Phillips-66,菲利普斯66
corporate_country_62,电报电话,Nippon-Telegraph-and-Telephone,電報電話
corporate_country_63,康卡斯特电信,Comcast,康卡斯特電信
corporate_country_64,海洋石油总,National-Offshore-Oil,海洋石油總
corporate_country_65,移动通信集团,Mobile-Communications,移動通信集團
corporate_country_66,意大利忠利保险,Assicurazioni-Generali,意大利忠利保險
