key,cz,en,ch
corporate_religion_1,人民币崇拜,RMB Worship,人民幣崇拜
corporate_religion_2,美元崇拜,US Dollar Worship,美元崇拜
corporate_religion_3,欧元崇拜,Euro Worship,歐元崇拜
corporate_religion_4,英镑崇拜,Pound Sterling Worship,英鎊崇拜
corporate_religion_5,日元崇拜,Yen Worship,日圓崇拜
corporate_religion_6,韩元崇拜,Won Worship,韓元崇拜
corporate_religion_7,澳元崇拜,Aussie Dollar Worship,澳元崇拜
corporate_religion_8,加元崇拜,Loonie Worship,加元崇拜
corporate_religion_9,法郎崇拜,Franc Worship,法郎崇拜
corporate_religion_10,港元崇拜,Hong Kong Dollar Worship,港元崇拜
corporate_religion_11,新加坡元崇拜,Sing Dollar Worship,新加坡元崇拜
corporate_religion_12,新西兰元崇拜,Kiwi Dollar Worship,紐西蘭元崇拜
corporate_religion_13,卢比崇拜,Rupee Worship,盧比崇拜
corporate_religion_14,雷亚尔崇拜,Real Worship,雷亞爾崇拜
corporate_religion_15,卢布崇拜,Ruble Worship,盧布崇拜
corporate_religion_16,兰特崇拜,Rand Worship,蘭特崇拜
corporate_religion_17,比索崇拜,Peso Worship,比索崇拜
corporate_religion_18,铢崇拜,Baht Worship,銖崇拜
corporate_religion_19,里拉崇拜,Lira Worship,里拉崇拜
corporate_religion_20,盾崇拜,Rupiah Worship,盾崇拜
corporate_religion_21,林吉特崇拜,Ringgit Worship,令吉特崇拜
corporate_religion_22,兹罗提崇拜,Zloty Worship,茲羅提崇拜
corporate_religion_23,克朗崇拜,Krona Worship,克朗崇拜
corporate_religion_24,福林崇拜,Forint Worship,福林崇拜
corporate_religion_25,列伊崇拜,Leu Worship,列伊崇拜
corporate_religion_26,第纳尔崇拜,Dinar Worship,第納爾崇拜
corporate_religion_27,谢克尔崇拜,Shekel Worship,謝克爾崇拜
corporate_religion_28,坚戈崇拜,Tenge Worship,堅戈崇拜
corporate_religion_29,索尔崇拜,Sol Worship,索爾崇拜
corporate_religion_30,科朗崇拜,Colon Worship,科朗崇拜
