key,cz,en,ch
egypt_city_1,孟菲斯,Memphis,孟斐斯
egypt_city_2,底比斯,Thebes,底比斯
egypt_city_3,亚历山大港,Alexandria,亞歷山大港
egypt_city_4,赫利奥波利斯,Heliopolis,赫利奧波利斯
egypt_city_5,卢克索,Luxor,盧克索
egypt_city_6,阿拜多斯,Abydos,阿拜多斯
egypt_city_7,孟斐斯,Meni-Nefer,孟斐斯
egypt_city_8,阿玛纳,Amarna,阿瑪納
egypt_city_9,法尤姆,Faiyum,法尤姆
egypt_city_10,坦尼斯,Tanis,坦尼斯
egypt_city_11,阿瓦里斯,Avaris,阿瓦里斯
egypt_city_12,布巴斯提斯,Bubastis,布巴斯提斯
egypt_city_13,塞易斯,Sais,塞易斯
egypt_city_14,科普托斯,Coptos,科普托斯
egypt_city_15,埃德夫,Edfu,埃德夫
egypt_city_16,科翁坡,Kom Ombo,科翁坡
egypt_city_17,阿斯旺,Aswan,阿斯旺
egypt_city_18,象岛,Elephantine,象島
egypt_city_19,菲莱,Philae,菲萊
egypt_city_20,基纳,Qena,基納
egypt_city_21,伊斯纳,Esna,伊斯納
egypt_city_22,埃尔卡布,El Kab,埃爾卡布
egypt_city_23,杰拉,Jerusalem,傑拉
egypt_city_24,阿赫米姆,Akhmim,阿赫米姆
egypt_city_25,苏伊士,Suez,蘇伊士
egypt_city_26,达曼胡尔,Damanhur,達曼胡爾
egypt_city_27,舍易斯,Sais,舍易斯
egypt_city_28,赫尔摩波利斯,Hermopolis,赫爾摩波利斯
egypt_city_29,莱翁托波利斯,Leontopolis,萊翁托波利斯
egypt_city_30,克索伊斯,Xois,克索伊斯
egypt_city_31,塔尼斯,Djanet,塔尼斯
egypt_city_32,门德斯,Mendes,門德斯
egypt_city_33,布托,Buto,布托
egypt_city_34,塞本尼托斯,Sebennytos,塞本尼托斯
egypt_city_35,塔波西里斯马格纳,Taposiris Magna,塔波西里斯馬格納
egypt_city_36,赫拉克利翁,Heracleion,赫拉克利翁
egypt_city_37,瑙克拉提斯,Naucratis,瑙克拉提斯
egypt_city_38,佩鲁西姆,Pelusium,佩魯西姆
egypt_city_39,布巴斯提斯,Per-Bastet,布巴斯提斯
egypt_city_40,塞易斯,Zau,塞易斯
egypt_city_41,坦尼斯,Djanet,坦尼斯
egypt_city_42,阿瓦里斯,Avaris,阿瓦里斯
egypt_city_43,孟斐斯,Meni-Nefer,孟斐斯
egypt_city_44,底比斯,Waset,底比斯
egypt_city_45,卢克索,Waset,盧克索
egypt_city_46,阿拜多斯,Abdju,阿拜多斯
egypt_city_47,科普托斯,Gebtu,科普托斯
egypt_city_48,埃德夫,Behdet,埃德夫
egypt_city_49,科翁坡,Nubt,科翁坡
egypt_city_50,阿斯旺,Abu,阿斯旺
egypt_city_51,象岛,Yebu,象島
egypt_city_52,菲莱,Pilak,菲萊
egypt_city_53,基纳,Qena,基納
egypt_city_54,伊斯纳,Iuny,伊斯納
egypt_city_55,埃尔卡布,Nekheb,埃爾卡布
egypt_city_56,杰拉,Ger,傑拉
egypt_city_57,阿赫米姆,Apu,阿赫米姆
egypt_city_58,苏伊士,Suez,蘇伊士
egypt_city_59,达曼胡尔,Damanhur,達曼胡爾
egypt_city_60,舍易斯,Sais,舍易斯
egypt_city_61,赫尔摩波利斯,Khmunu,赫爾摩波利斯
egypt_city_62,莱翁托波利斯,Taremu,萊翁托波利斯
egypt_city_63,克索伊斯,Khasut,克索伊斯
egypt_city_64,塔尼斯,Djanet,塔尼斯
egypt_city_65,门德斯,Anpet,門德斯
egypt_city_66,布托,Per-Wadjet,布托
egypt_city_67,塞本尼托斯,Tjebnutjer,塞本尼托斯
egypt_city_68,塔波西里斯马格纳,Taposiris Magna,塔波西里斯馬格納
egypt_city_69,赫拉克利翁,Thonis,赫拉克利翁
egypt_city_70,瑙克拉提斯,Naucratis,瑙克拉提斯
egypt_city_71,佩鲁西姆,Pi-Tjeku,佩魯西姆
egypt_city_72,布巴斯提斯,Bubastis,布巴斯提斯
egypt_city_73,塞易斯,Zau,塞易斯
egypt_city_74,坦尼斯,Djanet,坦尼斯
egypt_city_75,阿瓦里斯,Avaris,阿瓦里斯
egypt_city_76,孟斐斯,Meni-Nefer,孟斐斯
egypt_city_77,底比斯,Waset,底比斯
egypt_city_78,卢克索,Waset,盧克索
egypt_city_79,阿拜多斯,Abdju,阿拜多斯
egypt_city_80,科普托斯,Gebtu,科普托斯
egypt_city_81,埃德夫,Behdet,埃德夫
egypt_city_82,科翁坡,Nubt,科翁坡
egypt_city_83,阿斯旺,Abu,阿斯旺
egypt_city_84,象岛,Yebu,象島
egypt_city_85,菲莱,Pilak,菲萊
egypt_city_86,基纳,Qena,基納
egypt_city_87,伊斯纳,Iuny,伊斯納
egypt_city_88,埃尔卡布,Nekheb,埃爾卡布
egypt_city_89,杰拉,Ger,傑拉
egypt_city_90,阿赫米姆,Apu,阿赫米姆
egypt_city_91,苏伊士,Suez,蘇伊士
egypt_city_92,达曼胡尔,Damanhur,達曼胡爾
egypt_city_93,舍易斯,Sais,舍易斯
egypt_city_94,赫尔摩波利斯,Khmunu,赫爾摩波利斯
egypt_city_95,莱翁托波利斯,Taremu,萊翁托波利斯
egypt_city_96,克索伊斯,Khasut,克索伊斯
egypt_city_97,塔尼斯,Djanet,塔尼斯
egypt_city_98,门德斯,Anpet,門德斯
egypt_city_99,布托,Per-Wadjet,布托
egypt_city_100,塞本尼托斯,Tjebnutjer,塞本尼托斯
egypt_city_101,塔波西里斯马格纳,Taposiris Magna,塔波西里斯馬格納
egypt_city_102,赫拉克利翁,Thonis,赫拉克利翁
egypt_city_103,瑙克拉提斯,Naucratis,瑙克拉提斯
egypt_city_104,佩鲁西姆,Pi-Tjeku,佩魯西姆
egypt_city_105,布巴斯提斯,Bubastis,布巴斯提斯
egypt_city_106,塞易斯,Zau,塞易斯
egypt_city_107,坦尼斯,Djanet,坦尼斯
egypt_city_108,阿瓦里斯,Avaris,阿瓦里斯
egypt_city_109,孟斐斯,Meni-Nefer,孟斐斯
egypt_city_110,底比斯,Waset,底比斯
egypt_city_111,卢克索,Waset,盧克索
egypt_city_112,阿拜多斯,Abdju,阿拜多斯
egypt_city_113,科普托斯,Gebtu,科普托斯
egypt_city_114,埃德夫,Behdet,埃德夫
egypt_city_115,科翁坡,Nubt,科翁坡
