key,cz,en,ch
egypt_family_1,拉,Ra,拉
egypt_family_2,阿蒙,Amun,阿蒙
egypt_family_3,奥西里斯,Osiris,奧西里斯
egypt_family_4,伊西斯,Isis,伊西斯
egypt_family_5,透特,Thoth,透特
egypt_family_6,荷鲁斯,Horus,荷魯斯
egypt_family_7,赛特,Seth,賽特
egypt_family_8,努特,Nut,努特
egypt_family_9,盖布,Geb,蓋布
egypt_family_10,巴斯泰特,Bastet,巴斯泰特
egypt_family_11,索贝克,Sobek,索貝克
egypt_family_12,阿努比斯,Anubis,阿努比斯
egypt_family_13,穆特,Mut,穆特
egypt_family_14,孔苏,Khonsu,孔蘇
egypt_family_15,阿吞,Aten,阿吞
egypt_family_16,哈托尔,Hathor,哈托爾
egypt_family_17,阿蒙霍特普,Amenhotep,阿蒙霍特普
egypt_family_18,图特摩斯,Thutmose,圖特摩斯
egypt_family_19,拉美西斯,Ramesses,拉美西斯
egypt_family_20,阿赫那吞,Akhenaten,阿赫那吞
egypt_family_21,图坦卡蒙,Tutankhamun,圖坦卡蒙
egypt_family_22,内费雷提蒂,Nefertiti,內費雷提蒂
egypt_family_23,克利奥帕特拉,Cleopatra,克麗奧帕特拉
egypt_family_24,托勒密,Ptolemy,托勒密
egypt_family_25,底比斯,Thebes,底比斯
egypt_family_26,孟菲斯,Memphis,孟菲斯
egypt_family_27,赫利奥波利斯,Heliopolis,赫利奧波利斯
egypt_family_28,希拉康波利斯,Hierakonpolis,希拉康波利斯
egypt_family_29,阿拜多斯,Abydos,阿拜多斯
egypt_family_30,丹德拉,Dendera,丹德拉
egypt_family_31,埃德夫,Edfu,埃德夫
egypt_family_32,菲莱,Philae,菲萊
egypt_family_33,卡纳克,Karnak,卡納克
egypt_family_34,卢克索,Luxor,盧克索
egypt_family_35,代尔巴哈里,Deir el-Bahari,代爾巴哈里
egypt_family_36,阿玛纳,Amarna,阿瑪納
egypt_family_37,吉萨,Giza,吉薩
egypt_family_38,萨卡拉,Saqqara,薩卡拉
egypt_family_39,达舒尔,Dashur,達舒爾
egypt_family_40,布巴斯提斯,Bubastis,布巴斯提斯
egypt_family_41,坦尼斯,Tanis,坦尼斯
egypt_family_42,塞易斯,Sais,塞易斯
egypt_family_43,梅里拉,Meryra,梅里拉
egypt_family_44,阿伊,Ay,阿伊
egypt_family_45,霍伦海布,Horemheb,霍倫海布
egypt_family_46,塞提,Seti,塞提
egypt_family_47,麦伦普塔赫,Merenptah,麥倫普塔赫
egypt_family_48,塞肯内拉,Seqenenre,塞肯內拉
egypt_family_49,卡莫斯,Kamose,卡莫斯
egypt_family_50,内弗尔卡拉,Neferkare,內費爾卡拉
egypt_family_51,佩皮,Pepi,佩皮
egypt_family_52,尼托克丽丝,Nitocris,尼托克麗絲
egypt_family_53,塞舍舍特,Sesheshet,塞舍舍特
egypt_family_54,肯特卡乌斯,Khentkaus,肯特卡烏斯
egypt_family_55,梅雷桑克,Meresankh,梅雷桑克
egypt_family_56,安克姗帕顿,Ankhesenpaaten,安克姍帕頓
egypt_family_57,基亚,Kiya,基亞
egypt_family_58,穆特诺杰姆特,Mutnodjmet,穆特諾傑姆特
egypt_family_59,海特菲勒斯,Hetepheres,海特菲勒斯
egypt_family_60,安克姗佩皮,Ankhesenpepi,安克姍佩皮
egypt_family_61,西塔蒙,Sitamun,西塔蒙
egypt_family_62,内贝塔,Nebetah,內貝塔
egypt_family_63,克努梅特,Khnumet,克努梅特
egypt_family_64,泰娅,Teya,泰婭
egypt_family_65,萨蒂亚,Satiah,薩蒂亞
egypt_family_66,穆特姆维娅,Mutemwiya,穆特姆維婭
egypt_family_67,内费鲁阿顿,Neferuaten,內費魯阿頓
egypt_family_68,贝克特,Baket,貝克特
egypt_family_69,赫努特,Henut,赫努特
egypt_family_70,梅里特,Merit,梅里特
egypt_family_71,内费尔特,Nefert,內費爾特
egypt_family_72,穆特内费尔特,Mutneferet,穆特內費爾特
