key,cz,en,ch
egypt_religion_1,拉信仰,Ra Religion,拉信仰
egypt_religion_2,奥西里斯信仰,Osiris Religion,歐西里斯信仰
egypt_religion_3,伊西斯信仰,Isis Religion,伊西斯信仰
egypt_religion_4,荷鲁斯信仰,Horus Religion,荷魯斯信仰
egypt_religion_5,透特信仰,Thoth Religion,透特
egypt_religion_6,阿努比斯信仰,Anubis Religion,阿努比斯信仰
egypt_religion_7,赛特信仰,Seth Religion,賽特信仰
egypt_religion_8,哈托尔信仰,Hathor Religion,哈托爾信仰
egypt_religion_9,阿蒙信仰,Amun Religion,阿蒙信仰
egypt_religion_10,阿蒙-拉信仰,Amun-Ra Religion,阿蒙-拉信仰
egypt_religion_11,玛特信仰,Ma'at Religion,瑪特信仰
egypt_religion_12,努恩信仰,Nu Religion,努恩信仰
egypt_religion_13,努内特信仰,Nunet Religion,努內特信仰
egypt_religion_14,盖布信仰,Geb Religion,蓋布信仰
egypt_religion_15,努特信仰,Nut Religion,努特信仰
egypt_religion_16,舒信仰,Shu Religion,舒信仰
egypt_religion_17,泰芙努特信仰,Tefnut Religion,泰芙努特信仰
egypt_religion_18,巴斯特信仰,Bastet Religion,巴斯特信仰
egypt_religion_19,塞尔凯特信仰,Serket Religion,塞爾凱特信仰
egypt_religion_20,普塔信仰,Ptah Religion,普塔信仰
egypt_religion_21,塞赫麦特信仰,Sekhmet Religion,塞赫麥特信仰
egypt_religion_22,阿图姆信仰,Atum Religion,阿圖姆信仰
egypt_religion_23,孔苏信仰,Khonsu Religion,孔蘇信仰
egypt_religion_24,伊姆霍特普信仰,Imhotep Religion,伊姆霍特普信仰
egypt_religion_25,蒙图信仰,Montu Religion,蒙圖信仰
egypt_religion_26,阿顿信仰,Aten Religion,阿頓信仰
egypt_religion_27,梅里特塞盖尔信仰,Mertseger Religion,梅里特塞蓋爾信仰
egypt_religion_28,瓦吉特信仰,Wadjet Religion,瓦吉特信仰
egypt_religion_29,奈芙蒂斯信仰,Nephthys Religion,奈芙蒂斯信仰
egypt_religion_30,贝斯信仰,Bes Religion,貝斯信仰
egypt_religion_31,哈波奎特斯信仰,Harpocrates Religion,哈波奎特斯信仰
egypt_religion_32,阿佩普信仰,Apep Religion,阿佩普信仰
egypt_religion_33,涅斐尔图姆信仰,Nefertum Religion,涅斐爾圖姆信仰
egypt_religion_34,索贝克信仰,Sobek Religion,索貝克信仰
egypt_religion_35,图特摩斯信仰,Thutmose Religion,圖特摩斯信仰
egypt_religion_36,阿肯那顿信仰,Akhenaten Religion,阿肯那頓信仰
egypt_religion_37,瓦班努斯信仰,Wepwawet Religion,瓦班努斯信仰
