key,cz,en,ch
egypt_femalename_1,妮斐尔泰丽,Nefertari,妮斐爾泰麗
egypt_femalename_2,泰伊,Tiye,泰伊
egypt_femalename_3,妮斐尔提提,Nefertiti,妮斐爾提提
egypt_femalename_4,梅莉塔蒙,Meritamen,梅莉塔蒙
egypt_femalename_5,赫努特美伊特,Henutmire,赫努特美伊特
egypt_femalename_6,伊西斯诺弗蕾特,Isisnofret,伊西斯諾弗蕾特
egypt_femalename_7,穆特诺杰梅特,Mutnodjmet,穆特諾傑梅特
egypt_femalename_8,阿赫霍特普,Ahhotep,阿赫霍特普
egypt_femalename_9,雅赫摩斯,Ahmose,雅赫摩斯
egypt_femalename_10,哈特谢普苏特,Hatshepsut,哈特謝普蘇特
egypt_femalename_11,梅莉特拉,Meritaten,梅莉特拉
egypt_femalename_12,克亚,Kiya,克亞
egypt_femalename_13,梅里桑克,Meresankh,梅里桑克
egypt_femalename_14,赫特菲莉斯,Hetepheres,赫特菲莉斯
egypt_femalename_15,赫努森,Henutsen,赫努森
egypt_femalename_16,内费尔特,Neferet,內費爾特
egypt_femalename_17,梅雷桑克,Meretankh,梅雷桑克
egypt_femalename_18,肯特卡威斯,Khentkaus,肯特卡威斯
egypt_femalename_19,赫特佩赫雷斯,Hetepheret,赫特佩赫雷斯
egypt_femalename_20,梅里提提斯,Meritites,梅里提提斯
egypt_femalename_21,贝赫努,Behenu,貝赫努
egypt_femalename_22,妮贝特,Nebet,妮貝特
egypt_femalename_23,赫努特,Henut,赫努特
egypt_femalename_24,塞内特,Senet,塞內特
egypt_femalename_25,伊妮特,Inet,伊妮特
egypt_femalename_26,卡薇特,Kawit,卡薇特
egypt_femalename_27,塞舍舍特,Sesheshet,塞舍舍特
egypt_femalename_28,内布特,Nebt,內布特
egypt_femalename_29,塔维瑞特,Taweret,塔維瑞特
egypt_femalename_30,梅里特,Merit,梅里特
egypt_femalename_31,巴凯特,Baket,巴凱特
egypt_femalename_32,塔内费尔,Tanefret,塔內費爾
egypt_femalename_33,妮斐尔玛特,Nefermat,妮斐爾瑪特
egypt_femalename_34,伊塞西,Iset,伊塞西
egypt_femalename_35,安赫森佩皮,Ankhesenpepi,安赫森佩皮
egypt_femalename_36,奈贝特,Nebett,奈貝特
egypt_femalename_37,韦普瓦韦特,Wepwawet,韋普瓦韋特
egypt_femalename_38,蕾内费尔,Renefet,蕾內費爾
egypt_femalename_39,塞佩特,Sepet,塞佩特
egypt_femalename_40,赫努特塔维,Henuttawy,赫努特塔維
egypt_femalename_41,妮特,Neith,妮特
egypt_femalename_42,塞贝克奈弗鲁,Sobekneferu,塞貝克奈弗魯
egypt_femalename_43,梅里特塞洁,Meritseger,梅里特塞潔
egypt_femalename_44,赫努特米拉,Henutmila,赫努特米拉
egypt_femalename_45,妮斐尔卡拉,Neferkara,妮斐爾卡拉
egypt_femalename_46,梅里拉,Merira,梅里拉
egypt_femalename_47,妮斐尔霍特普,Neferhotep,妮斐爾霍特普
egypt_femalename_48,梅里特普塔,Meritptah,梅里特普塔
