key,cz,en,ch
egypt_malename_1,拉美西斯,Ramesses,拉美西斯
egypt_malename_2,阿蒙霍特普,Amenhotep,阿蒙霍特普
egypt_malename_3,图特摩斯,Thutmose,圖特摩斯
egypt_malename_4,塞提,Seti,塞提
egypt_malename_5,美楞普塔,Merneptah,美楞普塔
egypt_malename_6,哈伦海布,Horemheb,哈倫海布
egypt_malename_7,阿伊,Ay,阿伊
egypt_malename_8,荷伦希布,Haremhab,荷倫希布
egypt_malename_9,詹赫雷,Djehuty,詹赫雷
egypt_malename_10,卡摩斯,Kamose,卡摩斯
egypt_malename_11,雅赫摩斯,Ahmose,雅赫摩斯
egypt_malename_12,辛努塞尔特,Senusret,辛努塞爾特
egypt_malename_13,佩皮,Pepi,佩皮
egypt_malename_14,乌纳斯,Unas,烏納斯
egypt_malename_15,特提,Teti,特提
egypt_malename_16,左塞尔,Djoser,左塞爾
egypt_malename_17,斯尼夫鲁,Sneferu,斯尼夫魯
egypt_malename_18,胡夫,Khufu,胡夫
egypt_malename_19,哈夫拉,Khafre,哈夫拉
egypt_malename_20,门卡乌拉,Menkaure,門卡烏拉
egypt_malename_21,萨胡拉,Sahure,薩胡拉
egypt_malename_22,纽塞拉,Nyuserre,紐塞拉
egypt_malename_23,杰德卡拉,Djedkare,傑德卡拉
egypt_malename_24,佩皮,Pepi,佩皮
egypt_malename_25,因提夫,Intef,因提夫
egypt_malename_26,蒙图霍特普,Mentuhotep,蒙圖霍特普
egypt_malename_27,安特夫,Antef,安特夫
egypt_malename_28,塞贝克霍特普,Sobekhotep,塞貝克霍特普
egypt_malename_29,尼布极,Nebka,尼布卡
egypt_malename_30,巴凯,Baka,巴凱
egypt_malename_31,赫提,Kheti,赫提
egypt_malename_32,伊比,Ibi,伊比
egypt_malename_33,卡杰姆尼,Kagemni,卡傑姆尼
egypt_malename_34,普塔霍特普,Ptahhotep,普塔霍特普
egypt_malename_35,卡盖姆尼,Kagemny,卡蓋姆尼
egypt_malename_36,梅里拉,Merira,梅里拉
egypt_malename_37,尼安赫努姆,Niankhnum,尼安赫努姆
egypt_malename_38,克努姆霍特普,Khnumhotep,克努姆霍特普
egypt_malename_39,赫米乌努,Hemiunu,赫米烏努
egypt_malename_40,瓦赫卡,Wahka,瓦赫卡
egypt_malename_41,奈费尔,Nefer,奈費爾
egypt_malename_42,佩里布森,Peribsen,佩里布森
egypt_malename_43,卡塞凯姆,Khasekhem,卡塞凱姆
egypt_malename_44,拉内布,Raneb,拉內布
egypt_malename_45,哈塞海姆,Khasekhemwy,哈塞海姆
egypt_malename_46,塞赫米布,Sekhemib,塞赫米布
egypt_malename_47,卡塞凯姆威,Khasekhemwi,卡塞凱姆威
egypt_malename_48,萨纳赫特,Sanakht,薩納赫特
egypt_malename_49,内布卡,Nebkau,內布卡
egypt_malename_50,胡尼,Huni,胡尼
egypt_malename_51,斯内夫鲁,Snofru,斯內夫魯
egypt_malename_52,杰德夫拉,Djedefre,傑德夫拉
egypt_malename_53,乌瑟卡夫,Userkaf,烏瑟卡夫
egypt_malename_54,内弗里尔卡拉,Neferirkare,內弗裏爾卡拉
egypt_malename_55,谢普塞斯卡拉,Shepseskare,謝普塞斯卡拉
egypt_malename_56,尼乌塞拉,Nyuserra,尼烏塞拉
egypt_malename_57,门考霍尔,Menkauhor,門考霍爾
egypt_malename_58,梅伦拉,Merenre,梅倫拉
egypt_malename_59,门卡拉,Menkare,門卡拉
egypt_malename_60,伊塞西,Isesi,伊塞西
egypt_malename_61,韦尼斯,Wenis,韋尼斯
egypt_malename_62,门图霍特普,Mentuhotep the Second,門圖霍特普
egypt_malename_63,塞赫特皮布拉,Sekhetepibre,塞赫特皮布拉
egypt_malename_64,塞瓦杰卡拉,Sewadjkare,塞瓦傑卡拉
egypt_malename_65,内布杰特拉,Nebdjefare,內布傑特拉
egypt_malename_66,索贝克霍特普,Sobekhotepi,索貝克霍特普
egypt_malename_67,荷尔,Hor,荷爾
egypt_malename_68,阿维布拉,Awibre,阿維布拉
egypt_malename_69,内杰里卡拉,Neferirkare Kakai,內傑裏卡拉
egypt_malename_70,内布赫佩特拉,Nebhepetre,內布赫佩特拉
egypt_malename_71,塞贝克姆萨夫,Sobekemsaf,塞貝克姆薩夫
egypt_malename_72,塞赫姆拉,Sekhemre,塞赫姆拉
egypt_malename_73,内布杰佩拉,Nebdjefare the Second,內布傑佩拉
egypt_malename_74,瓦杰卡拉,Wadjkare,瓦傑卡拉
egypt_malename_75,梅伦霍尔,Merenhor,梅倫霍爾
egypt_malename_76,内比,Neby,內比
egypt_malename_77,特利,Teri,特利
egypt_malename_78,内弗尔卡拉,Neferkare,內弗爾卡拉
egypt_malename_79,塞赫卡拉,Sekhekare,塞赫卡拉
