key,cz,en,ch
ElfFancy_city2_1,蜜露,Honey-Dew,蜜露
ElfFancy_city2_2,橄榄,Olive,橄欖
ElfFancy_city2_3,常青,Evergreen,常青
ElfFancy_city2_4,霜冻,Frost,霜凍
ElfFancy_city2_5,冷夜,Cold-Night,冷夜
ElfFancy_city2_6,靛蓝,Indigo,靛藍
ElfFancy_city2_7,浮花,Floating-Flower,浮花
ElfFancy_city2_8,绿林,Greenwood,綠林
ElfFancy_city2_9,绿野,Green-Field,綠野
ElfFancy_city2_10,干叶,Dry-Leaf,乾葉
ElfFancy_city2_11,白银,Silver,白銀
ElfFancy_city2_12,翡翠,Jadeite,翡翠
ElfFancy_city2_13,黄金,Gold,黃金
ElfFancy_city2_14,钢铁,Steel,鋼鐵
ElfFancy_city2_15,玉石,Jade,玉石
ElfFancy_city2_16,穿刺,Pierce,穿刺
ElfFancy_city2_17,玉石,Jade,玉石
ElfFancy_city2_18,亘古,Ancient,亙古
ElfFancy_city2_19,命运,Fate,命運
ElfFancy_city2_20,天命,Destiny,天命
ElfFancy_city2_21,漂流,Drift,漂流
ElfFancy_city2_22,寻觅,Seek,尋覓
ElfFancy_city2_23,飘扬,Flutter,飄揚
ElfFancy_city2_24,翱翔,Soar,翱翔
ElfFancy_city2_25,盛开,Bloom,盛開
ElfFancy_city2_26,繁荣,Prosperity,繁榮
ElfFancy_city2_27,征服,Conquer,征服
ElfFancy_city2_28,漩涡,Vortex,漩渦
ElfFancy_city2_29,萌发,Germinate,萌發
ElfFancy_city2_30,希望,Hope,希望
ElfFancy_city2_31,萌芽,Bud,萌芽
ElfFancy_city2_32,希望,Hope,希望
ElfFancy_city2_33,轻柔,Gentle,輕柔
ElfFancy_city2_34,远方,Distant,遠方
ElfFancy_city2_35,多风,Windy,多風
ElfFancy_city2_36,金色,Golden,金色
ElfFancy_city2_37,繁茂,Lush,繁茂
ElfFancy_city2_38,独孤,Solitary,獨孤
ElfFancy_city2_39,云雾,Cloud-Mist,雲霧
ElfFancy_city2_40,热带,Tropical,熱帶
ElfFancy_city2_41,永恒,Eternal,永恆
ElfFancy_city2_42,迷雾,Mist,迷霧
ElfFancy_city2_43,桃源,Peachland,桃源
ElfFancy_city2_44,愚行,Folly,愚行
ElfFancy_city2_45,原野,Wilderness,原野
ElfFancy_city2_46,诚信,Integrity,誠信
ElfFancy_city2_47,迷幻,Psychedelic,迷幻
ElfFancy_city2_48,北风,North-Wind,北風
ElfFancy_city2_49,银装,Silver-Clad,銀裝
ElfFancy_city2_50,王冠,Crown,王冠
ElfFancy_city2_51,日光,Sunlight,日光
ElfFancy_city2_52,月光,Moonlight,月光
ElfFancy_city2_53,星辰,Stars,星辰
ElfFancy_city2_54,晨曦,Dawn,晨曦
ElfFancy_city2_55,黎明,Daybreak,黎明
ElfFancy_city2_56,月影,Moon-Shadow,月影
ElfFancy_city2_57,魔法,Magic,魔法
ElfFancy_city2_58,落叶,Fallen-Leaves,落葉
ElfFancy_city2_59,晓月,Morning-Moon,曉月
ElfFancy_city2_60,湖畔,Lakeside,湖畔
ElfFancy_city2_61,羽翼,Wings,羽翼
ElfFancy_city2_62,苍鹭,Grey-Heron,蒼鷺
ElfFancy_city2_63,枫苑,Maple-Garden,楓苑
ElfFancy_city2_64,翡翠,Jadeite,翡翠
ElfFancy_city2_65,紫晶,Amethyst,紫晶
ElfFancy_city2_66,秘银,Mithril,秘銀
