key,cz,en,ch
ElfFancy_clan_1,火红,Red,火紅
ElfFancy_clan_2,亮橙,Orange,亮橙
ElfFancy_clan_3,鹅黄,Yellow,鵝黃
ElfFancy_clan_4,翠绿,Emerald,翠綠
ElfFancy_clan_5,群青,Ultramarine,群青
ElfFancy_clan_6,天蓝,Blue,天藍
ElfFancy_clan_7,绛紫,Purple,絳紫
ElfFancy_clan_8,星银,Silver,星銀
ElfFancy_clan_9,浅灰,Gray,淺灰
ElfFancy_clan_10,深黑,Black,深黑
ElfFancy_clan_11,苍白,Pale,蒼白
ElfFancy_clan_12,米黄,Rice,米黃
ElfFancy_clan_13,月白,Moon,月白
ElfFancy_clan_14,绯红,Scarlet,緋紅
ElfFancy_clan_15,品红,Magenta,品紅
ElfFancy_clan_16,桃红,Pink,桃紅
ElfFancy_clan_17,湖蓝,Lake,湖藍
ElfFancy_clan_18,宝蓝,Sapphire,寶藍
ElfFancy_clan_19,天青,Sky,天青
ElfFancy_clan_20,深青,Cyan,深青
ElfFancy_clan_21,亮黄,Bright,亮黃
ElfFancy_clan_22,橘黄,Orange,橘黃
ElfFancy_clan_23,米白,White,米白
ElfFancy_clan_24,黑檀,Ebony,黑檀
ElfFancy_clan_25,黑棕,Brown,黑棕
ElfFancy_clan_26,鸭绿,Green,鴨綠
ElfFancy_clan_27,叶绿,Leaf,葉綠
ElfFancy_clan_28,海蓝,Sea,海藍
ElfFancy_clan_29,洋红,Carmine,洋紅
