key,cz,en,ch
ElfFancy_country_1,绿叶,Green Leaf,綠葉
ElfFancy_country_2,星辉,Starlight,星輝
ElfFancy_country_3,月影,Moon Shadow,月影
ElfFancy_country_4,翡翠,Emerald,翡翠
ElfFancy_country_5,风歌,Wind Song,風歌
ElfFancy_country_6,银月,Silver Moon,銀月
ElfFancy_country_7,晨曦,Dawn,晨曦
ElfFancy_country_8,梦境,Dreamland,夢境
ElfFancy_country_9,星辰,Stars,星辰
ElfFancy_country_10,碧波,Blue Waves,碧波
ElfFancy_country_11,幽谷,Quiet Valley,幽谷
ElfFancy_country_12,月光,Moonlight,月光
ElfFancy_country_13,森林,Forest,森林
ElfFancy_country_14,幻影,Phantom,幻影
ElfFancy_country_15,永恒,Eternal,永恆
ElfFancy_country_16,星河,Star River,星河
ElfFancy_country_17,月华,Moon Glory,月華
ElfFancy_country_18,翠绿,Verdant,翠綠
ElfFancy_country_19,梦境,Dreamland,夢境
ElfFancy_country_20,星界,Star Realm,星界
ElfFancy_country_21,星辉,Starlight,星輝
ElfFancy_country_22,月神,Moon Goddess,月神
ElfFancy_country_23,森林,Forest,森林
ElfFancy_country_24,星河,Star River,星河
ElfFancy_country_25,月影,Moon Shadow,月影
ElfFancy_country_26,精灵,Elf,精靈
ElfFancy_country_27,碧空,Blue Sky,碧空
ElfFancy_country_28,晨露,Morning Dew,晨露
ElfFancy_country_29,幽光,Faint Light,幽光
ElfFancy_country_30,银月,Silver Moon,銀月
ElfFancy_country_31,晨星,Morning Star,晨星
ElfFancy_country_32,翡翠,Emerald,翡翠
ElfFancy_country_33,月影,Moon Shadow,月影
ElfFancy_country_34,霜林,Frost Forest,霜林
ElfFancy_country_35,自然,Nature,自然
ElfFancy_country_36,碧溪,Jade Stream,碧溪
ElfFancy_country_37,荷光,Lotus Light,荷光
ElfFancy_country_38,绿影,Green Shadow,綠影
ElfFancy_country_39,翠竹,Green Bamboo,翠竹
ElfFancy_country_40,星落,Star Fall,星落
ElfFancy_country_41,曦光,Dawn Light,曦光
ElfFancy_country_42,月华,Moon Glory,月華
ElfFancy_country_43,精灵,Elf,精靈
ElfFancy_country_44,翠叶,Jade Leaf,翠葉
ElfFancy_country_45,霜羽,Frost Feather,霜羽
