key,cz,en,ch
ElfFancy_family_1,火红,Red,火紅
ElfFancy_family_2,亮橙,Orange,亮橙
ElfFancy_family_3,鹅黄,Yellow,鵝黃
ElfFancy_family_4,翠绿,Emerald,翠綠
ElfFancy_family_5,群青,Ultramarine,群青
ElfFancy_family_6,天蓝,Blue,天藍
ElfFancy_family_7,绛紫,Purple,絳紫
ElfFancy_family_8,星银,Silver,星銀
ElfFancy_family_9,浅灰,Gray,淺灰
ElfFancy_family_10,深黑,Black,深黑
ElfFancy_family_11,苍白,Pale,蒼白
ElfFancy_family_12,米黄,Rice,米黃
ElfFancy_family_13,月白,Moon,月白
ElfFancy_family_14,绯红,Scarlet,緋紅
ElfFancy_family_15,品红,Magenta,品紅
ElfFancy_family_16,桃红,Pink,桃紅
ElfFancy_family_17,湖蓝,Lake,湖藍
ElfFancy_family_18,宝蓝,Sapphire,寶藍
ElfFancy_family_19,天青,Sky,天青
ElfFancy_family_20,深青,Cyan,深青
ElfFancy_family_21,亮黄,Bright,亮黃
ElfFancy_family_22,橘黄,Orange,橘黃
ElfFancy_family_23,米白,White,米白
ElfFancy_family_24,黑檀,Ebony,黑檀
ElfFancy_family_25,黑棕,Brown,黑棕
ElfFancy_family_26,鸭绿,Green,鴨綠
ElfFancy_family_27,叶绿,Leaf,葉綠
ElfFancy_family_28,海蓝,Sea,海藍
ElfFancy_family_29,洋红,Carmine,洋紅
