key,cz,en,ch
ElfFancy_midden_clan_1,白银,Silver,白銀
ElfFancy_midden_clan_2,翡翠,Jadeite,翡翠
ElfFancy_midden_clan_3,黄金,Gold,黃金
ElfFancy_midden_clan_4,钢铁,Steel,鋼鐵
ElfFancy_midden_clan_5,玉石,Jade,玉石
ElfFancy_midden_clan_6,穿刺,Pierce,穿刺
ElfFancy_midden_clan_7,宝石,Gemstone,寶石
ElfFancy_midden_clan_8,亘古,Ancient,亙古
ElfFancy_midden_clan_9,命运,Fate,命運
ElfFancy_midden_clan_10,天命,Destiny,天命
ElfFancy_midden_clan_11,漂流,Drift,漂流
ElfFancy_midden_clan_12,寻觅,Seek,尋覓
ElfFancy_midden_clan_13,飘扬,Flutter,飄揚
ElfFancy_midden_clan_14,翱翔,Soar,翱翔
ElfFancy_midden_clan_15,盛开,Bloom,盛開
ElfFancy_midden_clan_16,繁荣,Prosperity,繁榮
ElfFancy_midden_clan_17,冠冕,Crown,冠冕
ElfFancy_midden_clan_18,漩涡,Vortex,漩渦
ElfFancy_midden_clan_19,萌发,Germinate,萌發
ElfFancy_midden_clan_20,希望,Hope,希望
ElfFancy_midden_clan_21,萌芽,Bud,萌芽
ElfFancy_midden_clan_22,希望,Hope,希望
ElfFancy_midden_clan_23,轻柔,Gentle,輕柔
ElfFancy_midden_clan_24,远方,Distant,遠方
ElfFancy_midden_clan_25,多风,Windy,多風
ElfFancy_midden_clan_26,金色,Golden,金色
ElfFancy_midden_clan_27,繁茂,Lush,繁茂
ElfFancy_midden_clan_28,独孤,Solitary,獨孤
ElfFancy_midden_clan_29,云雾,Cloud-Mist,雲霧
ElfFancy_midden_clan_30,热带,Tropical,熱帶
ElfFancy_midden_clan_31,永恒,Eternal,永恆
ElfFancy_midden_clan_32,迷雾,Mist,迷霧
ElfFancy_midden_clan_33,桃源,Peachland,桃源
ElfFancy_midden_clan_34,愚行,Folly,愚行
ElfFancy_midden_clan_35,原野,Wilderness,原野
ElfFancy_midden_clan_36,诚信,Integrity,誠信
ElfFancy_midden_clan_37,迷幻,Psychedelic,迷幻
ElfFancy_midden_clan_38,北风,North-Wind,北風
ElfFancy_midden_clan_39,银装,Silver-Clad,銀裝
ElfFancy_midden_clan_40,荆棘,Thorn,荊棘
ElfFancy_midden_clan_41,藻丝,Algae-Thread,藻絲
ElfFancy_midden_clan_42,叶针,Leaf-Needle,葉針
ElfFancy_midden_clan_43,花瓣,Petal,花瓣
ElfFancy_midden_clan_44,针刺,Needle,針刺
ElfFancy_midden_clan_45,刃叶,Blade-Leaf,刃葉
ElfFancy_midden_clan_46,矛枝,Spear-Branch,矛枝
ElfFancy_midden_clan_47,怒风,Furious-Wind,怒風
ElfFancy_midden_clan_48,花蕊,Stamen,花蕊
ElfFancy_midden_clan_49,繁花,Flourishing-Flower,繁花
ElfFancy_midden_clan_50,根须,Root-Hair,根須
ElfFancy_midden_clan_51,藤蔓,Vine,藤蔓
ElfFancy_midden_clan_52,根茎,Rhizome,根莖
ElfFancy_midden_clan_53,树叶,Leaf,樹葉
ElfFancy_midden_clan_54,树枝,Branch,樹枝
ElfFancy_midden_clan_55,树钩,Tree-Hook,樹鉤
ElfFancy_midden_clan_56,蓟花,Thistle-Flower,薊花
ElfFancy_midden_clan_57,花冠,Corolla,花冠
ElfFancy_midden_clan_58,种子,Seed,種子
ElfFancy_midden_clan_59,梦幻,Dreamland,夢幻
ElfFancy_midden_clan_60,花蜜,Nectar,花蜜
ElfFancy_midden_clan_61,藤蔓,Vine,藤蔓
ElfFancy_midden_clan_62,沃土,Fertile-Soil,沃土
ElfFancy_midden_clan_63,微风,Breeze,微風
ElfFancy_midden_clan_64,原野,Wilderness,原野
ElfFancy_midden_clan_65,青草,Green-Grass,青草
ElfFancy_midden_clan_66,田野,Field,田野
ElfFancy_midden_clan_67,花瓣,Petal,花瓣
ElfFancy_midden_clan_68,树林,Woods,樹林
ElfFancy_midden_clan_69,森林,Forest,森林
ElfFancy_midden_clan_70,树木,Tree,樹木
ElfFancy_midden_clan_71,盛开,Bloom,盛開
ElfFancy_midden_clan_72,葱绿,Green,蔥綠
ElfFancy_midden_clan_73,果实,Fruit,果實
ElfFancy_midden_clan_74,根系,Root-System,根系
ElfFancy_midden_clan_75,蜜露,Honey-Dew,蜜露
ElfFancy_midden_clan_76,海洋,Ocean,海洋
ElfFancy_midden_clan_77,美梦,Sweet-Dream,美夢
ElfFancy_midden_clan_78,因缘,Karma,因緣
ElfFancy_midden_clan_79,大地,Earth,大地
ElfFancy_midden_clan_80,干叶,Dry-Leaf,乾葉
