key,cz,en,ch
ElfFancy_name2_1,星辰之刃,Star-Blade,星辰之刃
ElfFancy_name2_2,月影守护者,Moonlight-Guardian,月影守護者
ElfFancy_name2_3,星辉剑咏,Starlight-Sword-Chant,星輝劍詠
ElfFancy_name2_4,月影弓豪,Moonlight-Bow-Master,月影弓豪
ElfFancy_name2_5,风语刃舞,Wind-Whisper-Blade-Dance,風語刃舞
ElfFancy_name2_6,银叶枪卫,Silver-Leaf-Spear-Guard,銀葉槍衛
ElfFancy_name2_7,永夜剑灵,Eternal-Night-Sword-Spirit,永夜劍靈
ElfFancy_name2_8,碧穹战士,Azure-Sky-Warrior,碧穹戰士
ElfFancy_name2_9,幻雾影刃,Illusory-Mist-Shadow-Blade,幻霧影刃
ElfFancy_name2_10,霜华逐风,Frost-Glory-Chasing-Wind,霜華逐風
ElfFancy_name2_11,苍翠剑豪,Lush-Sword-Master,蒼翠劍豪
ElfFancy_name2_12,天穹弓圣,Sky-Bow-Saint,天穹弓聖
ElfFancy_name2_13,流光剑卫,Radiant-Sword-Guard,流光劍衛
ElfFancy_name2_14,晨星刃咏,Morning-Star-Blade-Chant,晨星刃詠
ElfFancy_name2_15,白露战咏,White-Dew-Battle-Chant,白露戰詠
ElfFancy_name2_16,翡翠之心,Emerald-Heart,翡翠之心
ElfFancy_name2_17,风语者,Wind-Whisperer,風語者
ElfFancy_name2_18,黎明之子,Son-of-Dawn,黎明之子
ElfFancy_name2_19,永恒之誓,Eternal-Oath,永恆之誓
ElfFancy_name2_20,森林之魂,Forest-Soul,森林之魂
ElfFancy_name2_21,银翼勇士,Silver-Wing-Warrior,銀翼勇士
ElfFancy_name2_22,破晓之剑,Dawn-Breaker-Sword,破曉之劍
ElfFancy_name2_23,生命之歌,Song-of-Life,生命之歌
ElfFancy_name2_24,星辰预言者,Star-Prophet,星辰預言者
ElfFancy_name2_25,月光智者,Moonlight-Sage,月光智者
ElfFancy_name2_26,梦境行者,Dream-Walker,夢境行者
ElfFancy_name2_27,永恒之眼,Eternal-Eye,永恆之眼
ElfFancy_name2_28,命运之声,Voice-of-Fate,命運之聲
ElfFancy_name2_29,自然先知,Nature-Prophet,自然先知
ElfFancy_name2_30,光之指引者,Light-Guide,光之指引者
ElfFancy_name2_31,远古之魂,Ancient-Soul,遠古之魂
ElfFancy_name2_32,根脉祭司,Root-Priest,根脈祭司
ElfFancy_name2_33,露华医者,Dew-Glory-Healer,露華醫者
ElfFancy_name2_34,藤蔓召唤师,Vine-Summoner,藤蔓召喚師
