key,cz,en,ch
frankish_clan_Britain1,史密斯,Smith,史密斯
frankish_clan_Britain2,琼斯,Jones,瓊斯
frankish_clan_Britain3,泰勒,Taylor,泰勒
frankish_clan_Britain4,布朗,Brown,布朗
frankish_clan_Britain5,威廉姆斯,Williams,威廉姆斯
frankish_clan_Britain6,威尔逊,Wilson,威爾遜
frankish_clan_Britain7,戴维斯,Davis,戴維斯
frankish_clan_Britain8,埃文斯,Evans,埃文斯
frankish_clan_Britain9,托马斯,Thomas,托馬斯
frankish_clan_Britain10,约翰逊,Johnson,約翰遜
frankish_clan_Britain11,罗伯茨,Roberts,羅伯茨
frankish_clan_Britain12,罗宾逊,Robinson,羅賓遜
frankish_clan_Britain13,汤普森,Thompson,湯普森
frankish_clan_Britain14,赖特,Wright,賴特
frankish_clan_Britain15,沃克,Walker,沃克
frankish_clan_Britain16,怀特,White,懷特
frankish_clan_Britain17,爱德华兹,Edwards,愛德華茲
frankish_clan_Britain18,格林,Green,格林
frankish_clan_Britain19,霍尔,Hall,霍爾
frankish_clan_Britain20,杰克逊,Jackson,傑克遜
frankish_clan_Britain21,伍德,Wood,伍德
frankish_clan_Britain22,特纳,Turner,特納
frankish_clan_Britain23,卡特,Carter,卡特
frankish_clan_Britain24,菲利普斯,Phillips,菲利普斯
frankish_clan_Britain25,米切尔,Mitchell,米切爾
frankish_clan_Britain26,帕特尔,Patel,帕特爾
frankish_clan_Britain27,詹姆斯,James,詹姆斯
frankish_clan_Britain28,哈里斯,Harris,哈里斯
frankish_clan_Britain29,克拉克,Clark,克拉克
frankish_clan_Britain30,戴维斯,Davies,戴維斯
frankish_clan_Britain31,贝利,Bailey,貝利
frankish_clan_Britain32,柯林斯,Collins,柯林斯
frankish_clan_Britain33,贝尔,Bell,貝爾
frankish_clan_Britain34,肖,Shaw,肖
frankish_clan_Britain35,墨菲,Murphy,墨菲
frankish_clan_Britain36,理查森,Richardson,理查森
frankish_clan_Britain37,库克,Cook,庫克
frankish_clan_Britain38,库珀,Cooper,庫珀
frankish_clan_Britain39,沃德,Ward,沃德
frankish_clan_Britain40,格雷,Gray,格雷
frankish_clan_Britain41,休斯,Hughes,休斯
frankish_clan_Britain42,贝内特,Bennett,貝內特
frankish_clan_Britain43,考克斯,Cox,考克斯
frankish_clan_Britain44,希尔,Hill,希爾
frankish_clan_Britain45,查普曼,Chapman,查普曼
frankish_clan_Britain46,亨特,Hunter,亨特
frankish_clan_Britain47,劳埃德,Lloyd,勞埃德
frankish_clan_Britain48,福斯特,Foster,福斯特
frankish_clan_Britain49,肯尼迪,Kennedy,肯尼迪
frankish_clan_Britain50,安德森,Anderson,安德森
frankish_clan_Britain51,埃利斯,Ellis,埃利斯
frankish_clan_Britain52,威尔金森,Wilkinson,威爾金森
frankish_clan_Britain53,韦伯,Webb,韋伯
frankish_clan_Britain54,巴克,Barker,巴克
frankish_clan_Britain55,霍姆斯,Holmes,霍姆斯
frankish_clan_Britain56,巴特勒,Butler,巴特勒
frankish_clan_Britain57,桑德斯,Saunders,桑德斯
frankish_clan_Britain58,马什,Marsh,馬什
frankish_clan_Britain59,阿姆斯特朗,Armstrong,阿姆斯特朗
frankish_clan_Britain60,斯科特,Scott,斯科特
frankish_clan_Britain61,里德,Reid,里德
frankish_clan_Britain62,雷诺兹,Reynolds,雷諾茲
frankish_clan_Britain63,摩根,Morgan,摩根
frankish_clan_Britain64,迪克森,Dixon,迪克森
frankish_clan_Britain65,默里,Murray,默里
frankish_clan_Britain66,鲍威尔,Powell,鮑威爾
frankish_clan_Britain67,史蒂文斯,Stevens,史蒂文斯
frankish_clan_Britain68,辛普森,Simpson,辛普森
frankish_clan_Britain69,格兰特,Grant,格蘭特
frankish_clan_Britain70,哈特,Hart,哈特
frankish_clan_Britain71,埃利奥特,Elliott,埃利奧特
frankish_clan_Britain72,坎宁安,Cunningham,坎寧安
frankish_clan_Britain73,梅森,Mason,梅森
frankish_clan_Britain74,奈特,Knight,奈特
frankish_clan_Britain75,弗格森,Ferguson,弗格森
frankish_clan_Britain76,罗斯,Ross,羅斯
frankish_clan_Britain77,戈登,Gordon,戈登
frankish_clan_Britain78,吉布森,Gibson,吉布森
frankish_clan_Britain79,沃森,Watson,沃森
frankish_clan_Britain80,布鲁克斯,Brooks,布魯克斯
frankish_clan_Britain81,道格拉斯,Douglas,道格拉斯
frankish_clan_Britain82,佩里,Perry,佩里
frankish_clan_Britain83,霍华德,Howard,霍華德
frankish_clan_Britain84,朗,Long,朗
