key,cz,en,ch
frankish_religion_christianity,基督教,Christianity,基督教
frankish_religion_catholicism,天主教,Catholicism,天主教
frankish_religion_roman_catholic,罗马天主教,Roman Catholicism,羅馬天主教
frankish_religion_orthodox_christianity,东正教,Orthodox Christianity,東正教
frankish_religion_eastern_orthodox,东方正教会,Eastern Orthodox Church,東方正教會
frankish_religion_greek_orthodox,希腊正教,Greek Orthodox,希臘東正教
frankish_religion_russian_orthodox,俄国正教,Russian Orthodox,俄國東正教
frankish_religion_protestantism,新教,Protestantism,新教
frankish_religion_lutheranism,路德宗,Lutheranism,路德宗
frankish_religion_anglicanism,圣公会,Anglicanism,聖公會
frankish_religion_methodism,循道宗,Methodism,循道宗
frankish_religion_baptist,浸信会,Baptist,浸信會
frankish_religion_presbyterianism,长老宗,Presbyterianism,長老宗
frankish_religion_reformed,归正宗,Reformed,歸正宗
frankish_religion_pentecostalism,灵恩派,Pentecostalism,靈恩派
frankish_religion_adventism,复临宗,Adventism,復臨宗
frankish_religion_mormonism,摩门教,Mormonism,摩門教
frankish_religion_latter_day_saints,耶稣基督后期圣徒,Latter-day Saint,耶穌基督後期聖徒
frankish_religion_jehovahs_witness,耶和华见证人,Jehovah's Witness,耶和華見證人
frankish_religion_seventh_day_adventist,基督复临安息日会,Seventh-day Adventist,基督復臨安息日會
frankish_religion_quaker,贵格会,Quaker,貴格會
frankish_religion_unitarian_universalism,一神论普世主义,Unitarian Universalism,一神論普世主義
frankish_religion_evangelicalism,福音派,Evangelicalism,福音派
frankish_religion_non_denomination,无宗派,Non-denominational,無宗派
frankish_religion_judaism,犹太教,Judaism,猶太教
frankish_religion_reform_judaism,改革犹太教,Reform Judaism,改革猶太教
frankish_religion_conservative_judaism,保守犹太教,Conservative Judaism,保守猶太教
frankish_religion_orthodox_judaism,正统犹太教,Orthodox Judaism,正統猶太教
frankish_religion_chasidism,哈西德派,Hasidism,哈西德派
frankish_religion_reconstructionist_judaism,重建主义犹太教,Reconstructionist Judaism,重建主義猶太教
frankish_religion_scientology,科学教,Scientology,科學教
frankish_religion_christian_science,基督教科学派,Christian Science,基督教科學派
frankish_religion_paganism,异教,Paganism,異教
frankish_religion_neo_paganism,新异教,Neo-Paganism,新異教
frankish_religion_wicca,威卡,Wicca,威卡
frankish_religion_druidism,德鲁伊,Druidism,德魯伊
frankish_religion_odinism,奥丁信仰,Odinism,奧丁信仰
frankish_religion_heathenry,异教徒信仰,Heathenry,異教徒信仰
frankish_religion_celtic_paganism,塞尔特异教,Celtic Paganism,凱爾特異教
frankish_religion_nature_frankish_religion,自然宗教,Nature frankish_religion,自然宗教
frankish_religion_gnostic_christianity,诺斯替基督教,Gnostic Christianity,諾斯底基督教
frankish_religion_christian_reformed,归正会,Christian Reformed,歸正會
frankish_religion_open_brethren,开放弟兄会,Open Brethren,開放弟兄會
frankish_religion_brethren,弟兄会,Brethren,弟兄會
frankish_religion_marcionism,马良派,Marcionism,馬良派
frankish_religion_montanism,门徒派,Montanism,門徒派
frankish_religion_victorian_spiritualism,维多利亚神秘主义,Victorian Spiritualism,維多利亞神秘主義
frankish_religion_religious_humanism,宗教人文主义,Religious Humanism,宗教人文主義
frankish_religion_secular_humanism,世俗人文主义,Secular Humanism,世俗人文主義
frankish_religion_newthought,新思想派,New Thought,新思想派
