key,cz,en,ch
germanic_family_France1,马丁,Martin,馬丁
germanic_family_France2,贝尔纳,Bernard,貝爾納
germanic_family_France3,迪布瓦,Dubois,迪布瓦
germanic_family_France4,托马斯,Thomas,托馬斯
germanic_family_France5,罗伯特,Robert,羅伯特
germanic_family_France6,理查德,Richard,理查德
germanic_family_France7,佩蒂,Petit,佩蒂
germanic_family_France8,迪朗,Durand,迪朗
germanic_family_France9,勒鲁,Leroux,勒魯
germanic_family_France10,莫罗,Moreau,莫羅
germanic_family_France11,洛朗,Laurent,洛朗
germanic_family_France12,西蒙,Simon,西蒙
germanic_family_France13,米歇尔,Michel,米歇爾
germanic_family_France14,勒费弗尔,Lefebvre,勒費弗爾
germanic_family_France15,勒鲁瓦,Leroy,勒魯瓦
germanic_family_France16,鲁塞尔,Roussel,魯塞爾
germanic_family_France17,勒克莱尔,Leclerc,勒克萊爾
germanic_family_France18,勒戈夫,Legoff,勒戈夫
germanic_family_France19,加尼耶,Garnier,加尼耶
germanic_family_France20,博内,Bonnet,博內
germanic_family_France21,弗朗索瓦,Francois,弗朗索瓦
germanic_family_France22,勒迈尔,Lemaire,勒邁爾
germanic_family_France23,迪蒙,Dumont,迪蒙
germanic_family_France24,贝特朗,Bertrand,貝特朗
germanic_family_France25,拉米,Lamy,拉米
germanic_family_France26,方丹,Fontaine,方丹
germanic_family_France27,卢梭,Rousseau,盧梭
germanic_family_France28,文森特,Vincent,文森特
germanic_family_France29,富尼耶,Fournier,富尼耶
germanic_family_France30,穆勒,Muller,穆勒
germanic_family_France31,吉拉尔,Girard,吉拉爾
germanic_family_France32,安德烈,Andre,安德烈
germanic_family_France33,梅林,Merlin,梅林
germanic_family_France34,费里,Ferry,費里
germanic_family_France35,布兰,Blanc,布蘭
germanic_family_France36,博耶,Boyer,博耶
germanic_family_France37,罗什,Roche,羅什
germanic_family_France38,谢瓦利埃,Chevalier,謝瓦利埃
germanic_family_France39,马蒂内,Martyn,馬蒂內
germanic_family_France40,勒孔特,Lecomte,勒孔特
germanic_family_France41,雷诺,Renault,雷諾
germanic_family_France42,勒莫尼,Lemonier,勒莫尼
germanic_family_France43,勒加尔,Legare,勒加爾
germanic_family_France44,勒诺布尔,Lenoble,勒諾布爾
germanic_family_France45,佩兰,Perrin,佩蘭
germanic_family_France46,莫兰,Morin,莫蘭
germanic_family_France47,马蒂厄,Mathieu,馬蒂厄
germanic_family_France48,卡彭捷,Carpentier,卡彭捷
germanic_family_France49,皮卡尔,Picard,皮卡爾
germanic_family_France50,戈贝尔,Gaubert,戈貝爾
germanic_family_France51,奥贝尔,Aubert,奧貝爾
germanic_family_France52,布歇,Boucher,布歇
germanic_family_France53,卡里埃,Carrier,卡里埃
germanic_family_France54,达维,David,達維
germanic_family_France55,布尔热,Bourgeois,布爾熱
germanic_family_France56,达米安,Damian,達米安
germanic_family_France57,杜邦,Dupont,杜邦
germanic_family_France58,迪普雷,Dupre,迪普雷
germanic_family_France59,杜兰德,Durant,杜蘭德
germanic_family_France60,杜瓦尔,Duval,杜瓦爾
germanic_family_France61,法布尔,Fabre,法布爾
germanic_family_France62,弗勒里,Fleury,弗勒里
germanic_family_France63,加西亚,Garcia,加西亞
germanic_family_France64,纪尧姆,Guillaume,紀堯姆
germanic_family_France65,埃尔南德斯,Hernandez,埃爾南德斯
germanic_family_France66,于贝尔,Hubert,於貝爾
germanic_family_France67,雅各布,Jacob,雅各布
germanic_family_France68,克莱因,Klein,克萊因
germanic_family_France69,拉克鲁瓦,Lacroix,拉克魯瓦
germanic_family_France70,朗贝尔,Lambert,朗貝爾
germanic_family_France71,勒布伦,Lebrun,勒布倫
germanic_family_France72,勒库安特,Lecointre,勒庫安特
germanic_family_France73,勒杜,Ledoux,勒杜
germanic_family_France74,勒福尔,Lefort,勒福爾
germanic_family_France75,勒格朗,Legrand,勒格朗
germanic_family_France76,勒尼奥,Regnier,勒尼奧
germanic_family_France77,勒萨热,Lesage,勒薩熱
germanic_family_France78,勒维克,Leveque,勒維克
germanic_family_France79,马利特,Mallet,馬利特
germanic_family_France80,马林,Marin,馬林
germanic_family_France81,马里尼,Marini,馬里尼
germanic_family_France82,马蒂斯,Matisse,馬蒂斯
germanic_family_France83,莫里,Maury,莫里
germanic_family_France84,穆兰,Moulin,穆蘭
germanic_family_France85,诺埃尔,Noel,諾埃爾
