key,cz,en,ch
frankish_female2_a,雅,A,雅
frankish_female2_ah,安,Ah,安
frankish_female2_ana,安娜,Ana,安娜
frankish_female2_anne,安,Anne,安
frankish_female2_ara,阿拉,Ara,阿拉
frankish_female2_ella,艾拉,Ella,艾拉
frankish_female2_elle,艾儿,Elle,艾兒
frankish_female2_ette,艾特,Ette,艾特
frankish_female2_ia,艾亚,Ia,艾亞
frankish_female2_ine,艾因,Ine,艾因
frankish_female2_ina,艾娜,Ina,艾娜
frankish_female2_ie,艾,Ie,艾
frankish_female2_ly,丽,Ly,麗
frankish_female2_lee,丽,Lee,麗
frankish_female2_lin,琳,Lin,琳
frankish_female2_lyn,林,Lyn,林
frankish_female2_ita,艾塔,Ita,艾塔
frankish_female2_etta,埃塔,Etta,埃塔
frankish_female2_ora,奥拉,Ora,奧拉
frankish_female2_ira,艾拉,Ira,艾拉
frankish_female2_y,伊,Y,伊
frankish_female2_ty,泰,Ty,泰
frankish_female2_sha,莎,Sha,莎
frankish_female2_line,莱恩,Line,萊恩
frankish_female2_ola,奥拉,Ola,奧拉
frankish_female2_ela,艾拉,Ela,艾拉
frankish_female2_esa,艾萨,Esa,艾薩
frankish_female2_ona,奥娜,Ona,奧娜
