key,cz,en,ch
germanic_male1_France1,卢卡斯,Lucas,盧卡斯
germanic_male1_France2,雨果,Hugo,雨果
germanic_male1_France3,朱利安,Julian,朱利安
germanic_male1_France4,路易,Louis,路易
germanic_male1_France5,加布里埃尔,Gabriel,加布里埃爾
germanic_male1_France6,拉斐尔,Raphael,拉斐爾
germanic_male1_France7,莱奥,Leo,萊奧
germanic_male1_France8,亚瑟,Arthur,亞瑟
germanic_male1_France9,内森,Nathan,內森
germanic_male1_France10,马蒂斯,Mathis,馬蒂斯
germanic_male1_France11,亚当,Adam,亞當
germanic_male1_France12,保罗,Paul,保羅
germanic_male1_France13,汤姆,Tom,湯姆
germanic_male1_France14,诺亚,Noah,諾亞
germanic_male1_France15,提莫,Timo,提莫
germanic_male1_France16,塞缪尔,Samuel,塞繆爾
germanic_male1_France17,克莱门特,Clement,克萊門特
germanic_male1_France18,安托万,Antoine,安托萬
germanic_male1_France19,马特奥,Mateo,馬特奧
germanic_male1_France20,埃利奥特,Elliot,埃利奧特
germanic_male1_France21,瓦伦丁,Valentin,瓦倫丁
germanic_male1_France22,罗曼,Roman,羅曼
germanic_male1_France23,马克西姆,Maxime,馬克西姆
germanic_male1_France24,巴蒂斯特,Baptiste,巴蒂斯特
germanic_male1_France25,西奥,Theo,西奧
germanic_male1_France26,维克多,Victor,維克多
germanic_male1_France27,埃文,Evan,埃文
germanic_male1_France28,恩佐,Enzo,恩佐
germanic_male1_France29,莱昂纳多,Leonardo,萊昂納多
germanic_male1_France30,西蒙,Simon,西蒙
germanic_male1_France31,利奥,Leon,利奧
germanic_male1_France32,亚历克西斯,Alexis,亞歷克西斯
germanic_male1_France33,奥斯卡,Oscar,奧斯卡
germanic_male1_France34,马赫迪,Mahdi,馬赫迪
germanic_male1_France35,尤安,Yohan,尤安
germanic_male1_France36,纪尧姆,Guillaume,紀堯姆
germanic_male1_France37,凯文,Kevin,凱文
germanic_male1_France38,托马斯,Thomas,托馬斯
germanic_male1_France39,皮埃尔,Pierre,皮埃爾
germanic_male1_France40,尼古拉,Nicolas,尼古拉
germanic_male1_France41,泽维尔,Xavier,澤維爾
germanic_male1_France42,达米安,Damian,達米安
germanic_male1_France43,法比安,Fabien,法比安
germanic_male1_France44,查尔斯,Charles,查爾斯
germanic_male1_France45,克里斯托夫,Christophe,克里斯托夫
germanic_male1_France46,马蒂厄,Mathieu,馬蒂厄
germanic_male1_France47,达里尔,Daryl,達里爾
germanic_male1_France48,瑞恩,Ryan,瑞恩
germanic_male1_France49,埃利亚斯,Elias,埃利亞斯
germanic_male1_France50,阿德里安,Adrian,阿德里安
