key,cz,en,ch
huaxia_city1_dong,东,Dong,東
huaxia_city1_nan,南,Nan,南
huaxia_city1_xi,西,Xi,西
huaxia_city1_nan,南,Nan,南
huaxia_city1_bei,北,Bei,北
huaxia_city1_luo,洛,Luo,洛
huaxia_city1_hong,红,Hong,紅
huaxia_city1_an,安,An,安
huaxia_city1_jin,金,Jin,金
huaxia_city1_shun,顺,Shun,順
huaxia_city1_cheng,承,Cheng,承
huaxia_city1_hua,华,Hua,華
huaxia_city1_chong,重,Chong,重
huaxia_city1_xian,咸,Xian,咸
huaxia_city1_he,和,He,和
huaxia_city1_fu,福,Fu,福
huaxia_city1_xiao,孝,Xiao,孝
huaxia_city1_shou,寿,Shou,壽
huaxia_city1_jing,静,Jing,靜
huaxia_city1_ying,应,Ying,應
huaxia_city1_yuan,元,Yuan,元
huaxia_city1_rong,荣,Rong,榮
huaxia_city1_chang,长,Chang,長
huaxia_city1_huai,怀,Hui,懷
huaxia_city1_xian,贤,Xian,賢
huaxia_city1_ping,平,Ping,平
huaxia_city1_li,利,Li,利
huaxia_city1_pei,沛,Pei,沛
huaxia_city1_sui,绥,Sui,綏
huaxia_city1_jian,建,Jian,建
huaxia_city1_le,乐,Le,樂
huaxia_city1_yan,延,Yan,延
huaxia_city1_ya,雅,Ya,雅
huaxia_city1_gui,贵,Gui,貴
huaxia_city1_qian,乾,Qian,乾
huaxia_city1_guang,广,Guang,廣
huaxia_city1_cheng,成,Cheng,成
huaxia_city1_liao,辽,Liao,遼
huaxia_city1_xin,信,Xin,信
huaxia_city1_bao,宝,Bao,寶
huaxia_city1_ji,济,Ji,濟
