key,cz,en,ch
country_xia,夏,Xia,夏
country_shang,商,Shang,商
country_zhou,周,Zhou,周
country_qi,齐,Qi,齊
country_jin,晋,Jin,晉
country_chu,楚,Chu,楚
country_yue,越,Yue,越
country_wu,吴,Wu,吳
country_qin,秦,Qin,秦
country_zhao,赵,Zhao,趙
country_wei,魏,Wei,魏
country_yan,燕,Yan,燕
country_qi_2,齐,Qi,齊
country_song,宋,Song,宋
country_lu,鲁,Lu,魯
country_zheng,郑,Zheng,鄭
country_chen,陈,Chen,陳
country_wei_2,卫,Wei,衛
country_cao,曹,Cao,曹
country_xu,许,Xu,許
country_cai,蔡,Cai,蔡
country_xing,星,Xing,星
country_ren,任,Ren,任
country_xing_2,邢,Xing,邢
country_pei,沛,Pei,沛
country_pi,邳,Pi,邳
country_hu,胡,Hu,胡
country_dai,代,Dai,代
country_peng,彭,Peng,彭
country_yi,翊,Yi,翊
country_ju,苴,Ju,苴
country_zhen,桢,Zhen,楨
country_hu_2,扈,Hu,扈
country_tong,桐,Tong,桐
country_ji,极,Ji,極
country_jia,贾,Jia,賈
country_zeng,鄫,Zeng,鄫
country_lv,吕,Lv,呂
country_yu,虞,Yu,虞
country_lai,莱,Lai,萊
country_xiao,萧,Xiao,蕭
country_shu,舒,Shu,舒
country_tan,谭,Tan,譚
country_shen,沈,Shen,沈
country_yong,庸,Yong,庸
country_yong_2,雍,Yong,雍
country_quan,权,Quan,權
country_xie,谢,Xie,謝
country_yan_2,炎,Yan,炎
country_yu_2,豫,Yu,豫
country_bi,毕,Bi,畢
country_shen_2,申,Shen,申
country_deng,邓,Deng,鄧
country_tang,唐,Tang,唐
country_liu,刘,Liu,劉
country_huang,黄,Huang,黃
country_sui,随,Sui,隨
country_sui_2,遂,Sui,遂
country_ba,巴,Ba,巴
country_shu_2,蜀,Shu,蜀
country_xi,汐,Xi,汐
country_xi_2,息,Xi,息
country_zhu,祝,Zhu,祝
country_he,贺,He,賀
country_nie,聂,Nie,聶
country_gong,巩,Gong,鞏
country_ye,叶,Ye,葉
country_xiang,湘,Xiang,湘
country_xiang_2,项,Xiang,項
country_jiang,江,Jiang,江
country_ge,葛,Ge,葛
country_dai_2,戴,Dai,戴
country_su,宿,Su,宿
country_luo,罗,Luo,羅
country_liao,蓼,Liao,蓼
country_mao,茅,Mao,茅
country_chao,巢,Chao,巢
country_dun,顿,Dun,頓
country_li,黎,Li,黎
country_fei,费,Fei,費
country_ying,应,Ying,應
country_gu,顾,Gu,顧
country_geng,耿,Geng,耿
country_su_2,苏,Su,蘇
country_yi_2,翼,Yi,翼
country_jing,井,Jing,井
country_yang,杨,Yang,楊
country_wan,皖,Wan,皖
country_xian,弦,Xian,弦
country_liang,粱,Liang,粱
country_xiang_3,向,Xiang,向
country_fan,凡,Fan,凡
country_gu_2,谷,Gu,谷
country_lai_2,赖,Lai,賴
country_bai,柏,Bai,柏
country_zhai,祭,Zhai,祭
country_feng,丰,Feng,豐
country_xia_2,瑕,Xia,瑕
country_guan,观,Guan,觀
country_han,汉,Han,漢
country_cao_2,曹,Cao,曹
country_wu_2,吴,Wu,吳
country_sui_3,隋,Sui,隋
country_tang_2,唐,Tang,唐
country_song_2,宋,Song,宋
country_yuan,元,Yuan,元
country_ming,明,Ming,明
country_qing,清,Qing,清
country_tai,台,Tai,台
country_wan_2,皖,Wan,皖
country_jing_2,京,Jing,京
country_yu_3,渝,Yu,渝
country_yu_4,豫,Yu,豫
country_min,闽,Min,閩
country_long,陇,Long,隴
country_yue_2,粤,Yue,粤
country_gui,桂,Gui,桂
country_gui_2,贵,Gui,貴
country_qiong,琼,Qiong,瓊
country_yi_3,翼,Yi,翼
country_hei,黑,Hei,黑
country_e,鄂,E,鄂
country_xiang_4,湘,Xiang,湘
country_ji_2,吉,Ji,吉
country_su_3,苏,Su,蘇
country_gan,赣,Gan,贛
country_liao_2,辽,Liao,遼
country_ning,宁,Ning,寧
country_qing_2,青,Qing,青
country_lu_2,鲁,Lu,魯
country_jin_2,晋,Jin,晉
country_shan,陕,Shan,陝
country_chuan,川,Chuan,川
country_lu_3,泸,Lu,瀘
country_jin_3,津,Jin,津
country_zang,藏,Zang,藏
country_ao,澳,Ao,澳
country_zhe,浙,Zhe,浙
country_heng,衡,Heng,衡
country_xu_2,徐,Xu,徐
country_huai,淮,Huai,淮
country_hui,徽,Hui,徽
country_hui_2,惠,Hui,惠
country_xiu,秀,Xiu,秀
country_chong,崇,Chong,崇
country_kang,康,Kang,康
country_su_4,肃,Su,肅
country_dai_3,代,Dai,代
country_qing_3,庆,Qing,慶
country_min_2,闵,Min,閔
country_min_3,珉,Min,珉
country_han_2,韩,Han,韓
country_shen_3,沈,Shen,沈
country_an,安,An,安
country_yi_4,伊,Yi,伊
country_yue_3,越,Yue,越
country_teng,滕,Teng,滕
country_fu,付,Fu,付
country_rui,瑞,Rui,瑞
country_jian,简,Jian,簡
country_xian_2,纤,Xian,纖
country_qiu,邱,Qiu,邱
country_fu_2,阜,Fu,阜
country_ke,柯,Ke,柯
country_guang,广,Guang,廣
country_lang,琅,Lang,琅
country_xuan,玄,Xuan,玄
country_yuan_2,原,Yuan,原
country_huai_2,怀,Huai,懷
country_ping,平,Ping,平
