key,cz,en,ch
female1_ai,艾,Ai,艾
female1_an,安,An,安
female1_ping,萍,Ping,萍
female1_qiu,秋,Qiu,秋
female1_min,敏,Min,敏
female1_yun,云,Yun,雲
female1_qian,倩,Qian,倩
female1_fei,菲,Fei,菲
female1_lin,琳,Lin,琳
female1_qiong,琼,Qiong,瓊
female1_hui,慧,Hui,慧
female1_shu,淑,Shu,淑
female1_liu,柳,Liu,柳
female1_ling,凌,Ling,凌
female1_rong,蓉,Rong,蓉
female1_hong,虹,Hong,虹
female1_dan,丹,Dan,丹
female1_lu,露,Lu,露
female1_fen,芬,Fen,芬
female1_xin,欣,Xin,欣
female1_meng,萌,Meng,萌
female1_zhu,珠,Zhu,珠
female1_chun,春,Chun,春
female1_yu,玉,Yu,玉
