key,cz,en,ch
male1_xin,信,Xin,信
male1_rui,瑞,Rui,瑞
male1_xing,兴,Xing,興
male1_wang,旺,Wang,旺
male1_yun,耘,Yun,耘
male1_zhi,志,Zhi,志
male1_sheng,生,Sheng,生
male1_xu,旭,Xu,旭
male1_peng,鹏,Peng,鵬
male1_hao,浩,Hao,浩
male1_bo,波,Bo,波
male1_qi,起,Qi,起
male1_yun_2,运,Yun,運
male1_mao,茂,Mao,茂
male1_cai,才,Cai,才
male1_xue,学,Xue,學
male1_yi,义,Yi,義
male1_liang,良,Liang,良
male1_peng_2,朋,Peng,朋
male1_yi_2,宜,Yi,宜
male1_chun,春,Chun,春
male1_bin,宾,Bin,賓
male1_shi,实,Shi,實
male1_pu,浦,Pu,浦
male1_ze,泽,Ze,澤
male1_yan,言,Yan,言
male1_gao,高,Gao,高
male1_de,德,De,德
male1_wei,伟,Wei,偉
male1_yi_3,毅,Yi,毅
male1_hai,海,Hai,海
male1_rui_2,锐,Rui,銳
male1_yi_4,逸,Yi,逸
male1_han,涵,Han,涵
male1_di,涤,Di,滌
male1_fei,飞,Fei,飛
male1_he,翮,He,翮
male1_kai,开,Kai,開
male1_yu,宇,Yu,宇
male1_bo_2,博,Bo,博
male1_hou,厚,Hou,厚
male1_wen,文,Wen,文
male1_le,乐,Le,樂
male1_ming,明,Ming,明
male1_liang_2,亮,Liang,亮
male1_zhen,振,Zhen,振
male1_kun,昆,Kun,昆
male1_ya,雅,Ya,雅
male1_dang,宕,Dang,宕
male1_ge,歌,Ge,歌
male1_he_2,和,He,和
male1_an,安,An,安
male1_zi,子,Zi,子
male1_qi_2,琪,Qi,琪
male1_hao_2,昊,Hao,昊
male1_jing,景,Jing,景
male1_jun,骏,Jun,駿
male1_xiang,祥,Xiang,祥
male1_xing_2,星,Xing,星
male1_hong,宏,Hong,宏
male1_jun_2,浚,Jun,浚
male1_yuan,苑,Yuan,苑
male1_jie,杰,Jie,傑
male1_yong,咏,Yong,詠
male1_yao,曜,Yao,曜
male1_hong_2,弘,Hong,弘
male1_wen_2,文,Wen,文
male1_hai_2,海,Hai,海
male1_yi_5,逸,Yi,逸
male1_jun_3,俊,Jun,俊
male1_ying,英,Ying,英
male1_hong_3,毅,Hong,毅
male1_yang,阳,Yang,陽
male1_bo_3,波,Bo,波
male1_qi_3,致,Qi,致
male1_jian,简,Jian,簡
male1_si,思,Si,思
male1_miao,淼,Miao,淼
male1_xiu,修,Xiu,修
male1_cheng,诚,Cheng,誠
male1_han_2,涵,Han,涵
male1_ying_2,映,Ying,映
male1_jian_2,建,Jian,建
male1_ming_2,茗,Ming,茗
male1_fei_2,飞,Fei,飛
male1_zhou,舟,Zhou,舟
male1_xiang_2,向,Xiang,向
male1_di,笛,Di,笛
male1_le_2,乐,Le,樂
male1_yi_6,意,Yi,意
male1_an_2,宁,Ning,寧
male1_wei_2,诚,Wei,誠
male1_shun,顺,Shun,順
male1_yu_2,玉,Yu,玉
male1_cheng_2,成,Cheng,成
male1_zheng,正,Zheng,正
male1_ya_2,雅,Ya,雅
male1_jin,锦,Jin,錦
male1_cheng_3,程,Cheng,程
male1_xing_3,运,Yun,運
male1_han_3,瀚,Han,瀚
male1_hai_3,海,Hai,海
male1_yuan_2,博,Yuan,博
male1_hua,华,Hua,華
male1_hui,晖,Hui,暉
male1_han_4,翰,Han,翰
male1_xue_2,学,Xue,學
male1_yi_7,熠,Yi,熠
male1_tong,彤,Tong,彤
male1_hong_4,阔,Hong,闊
male1_yong_2,咏,Yong,詠
male1_luan,鸾,Luan,鸞
male1_zao,藻,Zao,藻
male1_yuan_3,远,Yuan,遠
male1_ren,人,Ren,人
male1_cheng_4,澄,Cheng,澄
male1_guang,光,Guang,光
male1_yu_3,羽,Yu,羽
male1_qiong,穹,Qiong,穹
male1_zhuo,卓,Zhuo,卓
male1_ju,举,Ju,舉
male1_shu,书,Shu,書
male1_shi_2,实,Shi,實
male1_rong,荣,Rong,榮
male1_kang,康,Kang,康
male1_ping,平,Ping,平
male1_fan,范,Fan,範
male1_ming_3,明,Ming,明
male1_an_3,安,An,安
male1_wu,武,Wu,武
male1_qi_4,奇,Qi,奇
male1_wei_3,维,Wei,維
male1_rui_3,叡,Rui,叡
male1_da,大,Da,大
male1_shuo,硕,Shuo,碩
male1_xuan,轩,Xuan,軒
male1_shan,山,Shan,山
male1_jia,嘉,Jia,嘉
