key,cz,en,ch
india_clan_1,夏尔马,Sharma,夏爾馬
india_clan_2,维尔马,Verma,維爾馬
india_clan_3,古普塔,Gupta,古普塔
india_clan_4,乔希,Joshi,喬希
india_clan_5,梅农,Menon,梅農
india_clan_6,奈尔,Nair,奈爾
india_clan_7,拉奥,Rao,拉奧
india_clan_8,罗伊,Roy,羅伊
india_clan_9,森,Sen,森
india_clan_10,班纳吉,Banerjee,班納吉
india_clan_11,查特吉,Chatterjee,查特吉
india_clan_12,穆克吉,Mukherjee,穆克吉
india_clan_13,高希,Ghosh,高希
india_clan_14,巴苏,Basu,巴蘇
india_clan_15,达斯,Das,達斯
india_clan_16,普拉丹,Pradhan,普拉丹
india_clan_17,沙阿,Shah,沙阿
india_clan_18,帕特尔,Patel,帕特爾
india_clan_19,辛哈,Singh,辛格
india_clan_20,塔卡尔,Thakur,塔卡爾
india_clan_21,亚达夫,Yadav,亞達夫
india_clan_22,库马尔,Kumar,庫馬爾
india_clan_23,阿罗拉,Arora,阿羅拉
india_clan_24,马利克,Malik,馬利克
india_clan_25,赛义德,Syed,賽義德
india_clan_26,汗,Khan,汗
india_clan_27,乔杜里,Chaudhary,喬杜里
india_clan_28,拉伊,Rai,拉伊
india_clan_29,莫汉,Mohan,莫漢
india_clan_30,拉尔,Lal,拉爾
india_clan_31,巴蒂,Bhati,巴蒂
india_clan_32,乔汉,Chauhan,喬漢
india_clan_33,拉托尔,Rathore,拉托爾
india_clan_34,索兰基,Solanki,索蘭基
india_clan_35,帕瓦尔,Pawar,帕瓦爾
india_clan_36,谢蒂,Shetty,謝蒂
india_clan_37,奈克,Naik,奈克
india_clan_38,科利,Kohli,科利
india_clan_39,穆拉,Mulla,穆拉
india_clan_40,法鲁基,Farooqui,法魯基
india_clan_41,哈米德,Hamid,哈米德
india_clan_42,阿里,Ali,阿里
india_clan_43,伊克巴尔,Iqbal,伊克巴爾
india_clan_44,贾韦德,Javed,賈韋德
india_clan_45,卡马尔,Kamal,卡馬爾
india_clan_46,马苏德,Masood,馬蘇德
india_clan_47,纳迪姆,Nadeem,納迪姆
india_clan_48,拉希德,Rashid,拉希德
india_clan_49,萨利姆,Salim,薩利姆
india_clan_50,塔里克,Tariq,塔里克
india_clan_51,阿卜杜拉,Abdullah,阿卜杜拉
india_clan_52,阿齐兹,Aziz,阿齊茲
india_clan_53,法伊萨尔,Faisal,法伊薩爾
india_clan_54,哈立德,Khalid,哈立德
india_clan_55,穆罕默德,Muhammad,穆罕默德
india_clan_56,纳赛尔,Nasser,納賽爾
india_clan_57,奥马尔,Omar,奧馬爾
india_clan_58,拉赫曼,Rahman,拉赫曼
india_clan_59,赛义夫,Saif,賽義夫
india_clan_60,沙基尔,Shakir,沙基爾
india_clan_61,塔哈,Taha,塔哈
india_clan_62,优素福,Yusuf,優素福
india_clan_63,扎希德,Zahid,扎希德
india_clan_64,安萨里,Ansari,安薩里
india_clan_65,阿万,Awan,阿萬
india_clan_66,乔哈尔,Jauhar,喬哈爾
india_clan_67,卡普尔,Kapoor,卡普爾
india_clan_68,马尔霍特拉,Malhotra,馬爾霍特拉
india_clan_69,梅塔,Mehta,梅塔
india_clan_70,米塔尔,Mittal,米塔爾
india_clan_71,尼贾尔,Nijjar,尼賈爾
india_clan_72,奥贝罗伊,Oberoi,奧貝羅伊
india_clan_73,潘迪,Pandey,潘迪
india_clan_74,拉杰万希,Rajvanshi,拉傑萬希
india_clan_75,兰詹,Ranjan,蘭詹
india_clan_76,罗德里格斯,Rodrigues,羅德里格斯
india_clan_77,萨布哈瓦尔,Sabharwal,薩布哈瓦爾
india_clan_78,萨兰,Saran,薩蘭
india_clan_79,希夫拉姆,Shivram,希夫拉姆
india_clan_80,辛格纳,Singna,辛格納
india_clan_81,索迪,Sodhi,索迪
india_clan_82,苏尔蒂,Surtie,蘇爾蒂
india_clan_83,塔卡雷,Thakare,塔卡雷
india_clan_84,蒂瓦里,Tiwari,蒂瓦里
india_clan_85,特里帕蒂,Tripathi,特里帕蒂
india_clan_86,瓦苏德万,Vasudevan,瓦蘇德萬
india_clan_87,文卡特什,Venkatesh,文卡特什
india_clan_88,文卡塔斯瓦米,Venkataswamy,文卡塔斯瓦米
india_clan_89,亚达瓦,Yadava,亞達瓦
india_clan_90,扎德,Zade,扎德
india_clan_91,扎法尔,Zafar,扎法爾
india_clan_92,扎希尔,Zahir,扎希爾
india_clan_93,阿加瓦尔,Agarwal,阿加瓦爾
india_clan_94,巴蒂亚,Bhatia,巴蒂亞
india_clan_95,巴贾吉,Bajaj,巴賈吉
india_clan_96,班萨尔,Bansal,班薩爾
india_clan_97,乔普拉,Chopra,喬普拉
india_clan_98,达万,Dawan,達萬
india_clan_99,达希亚,Dhaya,達希亞
india_clan_100,丁格拉,Dhingra,丁格拉
india_clan_101,杜特,Dutt,杜特
india_clan_102,甘古利,Ganguly,甘古利
india_clan_103,高瓦尔,Gaur,高瓦爾
india_clan_104,吉特,Jit,吉特
india_clan_105,卡利亚,Kalia,卡利亞
india_clan_106,卡马特,Kamat,卡馬特
india_clan_107,卡普里亚,Kapuria,卡普里亞
india_clan_108,科塔里,Kothari,科塔里
india_clan_109,拉尔瓦尼,Lalwani,拉爾瓦尼
india_clan_110,米什拉,Mishra,米什拉
