key,cz,en,ch
india_religion_1,梵天信仰,Brahma Religion,梵天信仰
india_religion_2,湿婆信仰,Shiva Religion,濕婆信仰
india_religion_3,毗湿奴信仰,Vishnu Religion,毗濕奴信仰
india_religion_4,萨拉斯瓦蒂信仰,Saraswati Religion,薩拉斯瓦蒂信仰
india_religion_5,拉克希米信仰,Lakshmi Religion,拉克希米信仰
india_religion_6,帕尔瓦蒂信仰,Parvati Religion,帕爾瓦蒂信仰
india_religion_7,杜尔迦信仰,Durga Religion,杜爾迦信仰
india_religion_8,卡莉信仰,Kali Religion,卡莉信仰
india_religion_9,玛哈卡莉信仰,Mahakali Religion,瑪哈卡莉信仰
india_religion_10,玛哈拉克希米信仰,Mahalakshmi Religion,瑪哈拉克希米信仰
india_religion_11,玛哈萨拉斯瓦蒂信仰,Mahasaraswati Religion,瑪哈薩拉斯瓦蒂信仰
india_religion_12,罗摩信仰,Rama Religion,羅摩信仰
india_religion_13,奎师那信仰,Krishna Religion,奎師那信仰
india_religion_14,巴拉罗摩信仰,Balarama Religion,巴拉羅摩信仰
india_religion_15,瓦摩那信仰,Vamana Religion,瓦摩那信仰
india_religion_16,那罗信仰,Nara Religion,那羅信仰
india_religion_17,摩奴信仰,Manu Religion,摩奴信仰
india_religion_18,伊拉信仰,Ila Religion,伊拉信仰
india_religion_19,鸯输伐底信仰,Anusuya Religion,鴦輸伐底信仰
india_religion_20,恒伽信仰,Ganga Religion,恆伽信仰
india_religion_21,亚穆纳信仰,Yamuna Religion,亞穆納信仰
india_religion_22,毗首羯磨信仰,Vishwakarma Religion,毗首羯磨信仰
india_religion_23,苏摩信仰,Soma Religion,蘇摩信仰
india_religion_24,楼陀罗信仰,Rudra Religion,樓陀羅信仰
india_religion_25,迦叶波信仰,Kashyapa Religion,迦葉波信仰
india_religion_26,达刹信仰,Daksha Religion,達剎信仰
india_religion_27,毗婆薮信仰,Vivasvan Religion,毗婆藪信仰
india_religion_28,阿闼婆信仰,Atri Religion,阿闥婆信仰
india_religion_29,鸯耆罗信仰,Angiras Religion,鴦耆羅信仰
india_religion_30,补罗娑底耶信仰,Pulastya Religion,補羅娑底耶信仰
india_religion_31,补罗诃信仰,Pulaha Religion,補羅訶信仰
india_religion_32,克罗陀信仰,Kratu Religion,克羅陀信仰
india_religion_33,婆利古信仰,Bhrigu Religion,婆利古信仰
india_religion_34,摩里质信仰,Marichi Religion,摩里質信仰
india_religion_35,安娑信仰,Ansha Religion,安娑信仰
india_religion_36,伊湿伐拉信仰,Ishvara Religion,伊濕伐拉信仰
india_religion_37,婆罗贺摩信仰,Brahmaa Religion,婆羅賀摩信仰
india_religion_38,乌玛信仰,Uma Religion,烏瑪信仰
india_religion_39,提毗信仰,Devi Religion,提毗信仰
india_religion_40,阿底提信仰,Aditi Religion,阿底提信仰
india_religion_41,室建陀信仰,Skanda Religion,室建陀信仰
india_religion_42,诃利信仰,Hari Religion,訶利信仰
india_religion_43,诃罗信仰,Hara Religion,訶羅信仰
india_religion_44,吉祥天女信仰,Shri Lakshmi Religion,吉祥天女信仰
india_religion_45,辩才天女信仰,Saraswati Devi Religion,辯才天女信仰
india_religion_46,雪山神女信仰,Parvati Devi Religion,雪山神女信仰
india_religion_47,卡莉女神信仰,Kali Devi Religion,卡莉女神信仰
india_religion_48,玛哈卡莉女神信仰,Mahakali Devi Religion,瑪哈卡莉女神信仰
india_religion_49,玛哈拉克希米女神信仰,Mahalakshmi Devi Religion,瑪哈拉克希米女神信仰
india_religion_50,玛哈萨拉斯瓦蒂女神信仰,Mahasaraswati Devi Religion,瑪哈薩拉斯瓦蒂女神信仰
india_religion_51,罗摩大神信仰,Rama Deva Religion,羅摩大神信仰
india_religion_52,奎师那大神信仰,Krishna Deva Religion,奎師那大神信仰
india_religion_53,巴拉罗摩大神信仰,Balarama Deva Religion,巴拉羅摩大神信仰
india_religion_54,瓦摩那大神信仰,Vamana Deva Religion,瓦摩那大神信仰
india_religion_55,那罗大神信仰,Nara Deva Religion,那羅大神信仰
india_religion_56,摩奴始祖信仰,Manu Progenitor Religion,摩奴始祖信仰
india_religion_57,伊拉女神信仰,Ila Devi Religion,伊拉女神信仰
india_religion_58,鸯输伐底女神信仰,Anusuya Devi Religion,鴦輸伐底女神信仰
india_religion_59,恒河女神信仰,Ganga Devi Religion,恆河女神信仰
india_religion_60,亚穆纳河女神信仰,Yamuna Devi Religion,亞穆納河女神信仰
india_religion_61,萨拉斯瓦蒂河女神信仰,Saraswati River Goddess Religion,薩拉斯瓦蒂河女神信仰
india_religion_62,毗首羯磨工匠神信仰,Vishwakarma the Craftsman God Religion,毗首羯磨工匠神信仰
india_religion_63,苏摩酒神信仰,Soma the Wine God Religion,蘇摩酒神信仰
india_religion_64,楼陀罗风暴神信仰,Rudra the Storm God Religion,樓陀羅風暴神信仰
india_religion_65,迦叶波生主信仰,Kashyapa the Prajapati Religion,迦葉波生主信仰
india_religion_66,达刹生主信仰,Daksha the Prajapati Religion,達剎生主信仰
india_religion_67,毗婆薮生主信仰,Vivasvan the Prajapati Religion,毗婆藪生主信仰
india_religion_68,阿闼婆生主信仰,Atri the Prajapati Religion,阿闥婆生主信仰
india_religion_69,鸯耆罗生主信仰,Angiras the Prajapati Religion,鴦耆羅生主信仰
india_religion_70,补罗娑底耶生主信仰,Pulastya the Prajapati Religion,補羅娑底耶生主信仰
india_religion_71,补罗诃生主信仰,Pulaha the Prajapati Religion,補羅訶生主信仰
india_religion_72,克罗陀生主信仰,Kratu the Prajapati Religion,克羅陀生主信仰
india_religion_73,婆利古生主信仰,Bhrigu the Prajapati Religion,婆利古生主信仰
india_religion_74,摩里质生主信仰,Marichi the Prajapati Religion,摩里質生主信仰
india_religion_75,安娑生主信仰,Ansha the Prajapati Religion,安娑生主信仰
india_religion_76,伊湿伐拉主神信仰,Ishvara the Principal God Religion,伊濕伐拉主神信仰
india_religion_77,婆罗贺摩创造神信仰,Brahmaa the Creator God Religion,婆羅賀摩創造神信仰
india_religion_78,乌玛女神信仰,Uma Devi Religion,烏瑪女神信仰
india_religion_79,提毗母神信仰,Devi the Mother Goddess Religion,提毗母神信仰
india_religion_80,阿底提母神信仰,Aditi the Mother Goddess Religion,阿底提母神信仰
india_religion_81,室建陀战神信仰,Skanda the War God Religion,室建陀戰神信仰
india_religion_82,因陀罗信仰,Indra Religion,因陀羅信仰
india_religion_83,阿耆尼信仰,Agni Religion,阿耆尼信仰
india_religion_84,伐楼那信仰,Varuna Religion,伐樓那信仰
india_religion_85,苏利耶信仰,Surya Religion,蘇利耶信仰
india_religion_86,钱德拉信仰,Chandra Religion,錢德拉信仰
india_religion_87,毗湿奴维护神信仰,Vishnu the Preserver God Religion,毗濕奴維護神信仰
india_religion_88,湿婆毁灭神信仰,Shiva the Destroyer God Religion,濕婆毀滅神信仰
india_religion_89,梵天创造神信仰,Brahma the Creator God Religion,梵天創造神信仰
india_religion_90,萨拉斯瓦蒂辩才神信仰,Saraswati the Wisdom Goddess Religion,薩拉斯瓦蒂辯才神信仰
india_religion_91,拉克希米吉祥神信仰,Lakshmi the Fortune Goddess Religion,拉克希米吉祥神信仰
india_religion_92,帕尔瓦蒂配偶神信仰,Parvati the Consort Goddess Religion,帕爾瓦蒂配偶神信仰
india_religion_93,杜尔迦战神信仰,Durga the Warrior Goddess Religion,杜爾迦戰神信仰
india_religion_94,希塔信仰,Sita Religion,希塔信仰
india_religion_95,拉克什曼那信仰,Lakshmana Religion,拉克什曼那信仰
india_religion_96,巴拉特信仰,Bharata Religion,巴拉特信仰
india_religion_97,沙陀鲁那信仰,Shatrughna Religion,沙陀魯那信仰
india_religion_98,拉达信仰,Radha Religion,拉達信仰
india_religion_99,鲁克米尼信仰,Rukmini Religion,魯克米尼信仰
india_religion_100,悉多信仰,Sitaa Religion,悉多信仰
india_religion_101,拉克什曼信仰,Lakshman Religion,拉克什曼信仰
india_religion_102,巴拉特信仰,Bharat Religion,巴拉特信仰
india_religion_103,沙陀鲁信仰,Shatrughn Religion,沙陀魯信仰
india_religion_104,拉达娅信仰,Radhaa Religion,拉達婭信仰
india_religion_105,鲁克米尼娅信仰,Rukminii Religion,魯克米尼婭信仰
india_religion_106,毗湿奴化身那罗信仰,Vishnu Avatar Nara Religion,毗濕奴化身那羅信仰
india_religion_107,湿婆化身楼陀罗信仰,Shiva Avatar Rudra Religion,濕婆化身樓陀羅信仰
india_religion_108,梵天化身婆罗贺摩信仰,Brahma Avatar Brahmaa Religion,梵天化身婆羅賀摩信仰
india_religion_109,萨拉斯瓦蒂化身辩才天女信仰,Saraswati Avatar Saraswati Devi Religion,薩拉斯瓦蒂化身辯才天女信仰
india_religion_110,拉克希米化身吉祥天女信仰,Lakshmi Avatar Shri Lakshmi Religion,拉克希米化身吉祥天女信仰
india_religion_111,帕尔瓦蒂化身雪山神女信仰,Parvati Avatar Parvati Devi Religion,帕爾瓦蒂化身雪山神女信仰
india_religion_112,杜尔迦化身卡莉信仰,Durga Avatar Kali Religion,杜爾迦化身卡莉信仰
india_religion_113,卡莉化身玛哈卡莉信仰,Kali Avatar Mahakali Religion,卡莉化身瑪哈卡莉信仰
india_religion_114,拉克希米化身玛哈拉克希米信仰,Lakshmi Avatar Mahalakshmi Religion,拉克希米化身瑪哈拉克希米信仰
india_religion_115,萨拉斯瓦蒂化身玛哈萨拉斯瓦蒂信仰,Saraswati Avatar Mahasaraswati Religion,薩拉斯瓦蒂化身瑪哈薩拉斯瓦蒂信仰
india_religion_116,罗摩化身罗摩大神信仰,Rama Avatar Rama Deva Religion,羅摩化身羅摩大神信仰
india_religion_117,奎师那化身奎师那大神信仰,Krishna Avatar Krishna Deva Religion,奎師那化身奎師那大神信仰
india_religion_118,瓦摩那化身瓦摩那大神信仰,Vamana Avatar Vamana Deva Religion,瓦摩那化身瓦摩那大神信仰
india_religion_119,因陀罗天帝信仰,Indra the Heavenly King Religion,因陀羅天帝信仰
india_religion_120,阿耆尼火神信仰,Agni the Fire God Religion,阿耆尼火神信仰
india_religion_121,伐楼那水神信仰,Varuna the Water God Religion,伐樓那水神信仰
india_religion_122,苏利耶太阳神信仰,Surya the Sun God Religion,蘇利耶太陽神信仰
india_religion_123,钱德拉月神信仰,Chandra the Moon God Religion,錢德拉月神信仰
india_religion_124,毗首羯磨创造神信仰,Vishwakarman the Creator God Religion,毗首羯磨創造神信仰
india_religion_125,苏摩月神信仰,Som the Moon God Religion,蘇摩月神信仰
india_religion_126,楼陀罗湿婆信仰,Rudrah Shiva Religion,樓陀羅濕婆信仰
india_religion_127,迦叶波始祖信仰,Kashyap the Progenitor Religion,迦葉波始祖信仰
india_religion_128,达刹始祖信仰,Daksh the Progenitor Religion,達剎始祖信仰
india_religion_129,毗婆薮太阳神信仰,Vivasvān the Sun God Religion,毗婆藪太陽神信仰
india_religion_130,阿闼婆智者信仰,Atree the Sage Religion,阿闥婆智者信仰
india_religion_131,鸯耆罗智者信仰,Angira the Sage Religion,鴦耆羅智者信仰
india_religion_132,补罗娑底耶智者信仰,Pulasty the Sage Religion,補羅娑底耶智者信仰
india_religion_133,补罗诃智者信仰,Pulah the Sage Religion,補羅訶智者信仰
india_religion_134,克罗陀智者信仰,Kratue the Sage Religion,克羅陀智者信仰
india_religion_135,婆利古智者信仰,Bhriguu the Sage Religion,婆利古智者信仰
india_religion_136,摩里质智者信仰,Marich the Sage Religion,摩里質智者信仰
india_religion_137,安娑智者信仰,Ansh the Sage Religion,安娑智者信仰
india_religion_138,伊湿伐拉湿婆信仰,Ishvar Shiva Religion,伊濕伐拉濕婆信仰
india_religion_139,乌玛帕尔瓦蒂信仰,Umaa Parvati Religion,烏瑪帕爾瓦蒂信仰
india_religion_140,提毗女神信仰,Devii the Goddess Religion,提毗女神信仰
india_religion_141,阿底提母神信仰,Aditee the Mother Goddess Religion,阿底提母神信仰
india_religion_142,室建陀卡尔凯蒂耶信仰,Skand Kartikeya Religion,室建陀卡爾凱蒂耶信仰
india_religion_143,诃利毗湿奴信仰,Haree Vishnu Religion,訶利毗濕奴信仰
india_religion_144,诃罗湿婆信仰,Hare Shiva Religion,訶羅濕婆信仰
india_religion_145,吉祥天女拉克希米信仰,Shri Lakshmi the Fortune Goddess Religion,吉祥天女拉克希米信仰
india_religion_146,辩才天女萨拉斯瓦蒂信仰,Saraswati Devi the Wisdom Goddess Religion,辯才天女薩拉斯瓦蒂信仰
india_religion_147,雪山神女帕尔瓦蒂信仰,Parvati Devi the Consort Goddess Religion,雪山神女帕爾瓦蒂信仰
india_religion_148,卡莉女神杜尔迦信仰,Kali Devi the Warrior Goddess Religion,卡莉女神杜爾迦信仰
india_religion_149,玛哈卡莉女神卡莉信仰,Mahakali Devi the Mother Goddess Religion,瑪哈卡莉女神卡莉信仰
india_religion_150,玛哈拉克希米女神拉克希米信仰,Mahalakshmi Devi the Fortune Goddess Religion,瑪哈拉克希米女神拉克希米信仰
india_religion_151,玛哈萨拉斯瓦蒂女神萨拉斯瓦蒂信仰,Mahasaraswati Devi the Wisdom Goddess Religion,瑪哈薩拉斯瓦蒂女神薩拉斯瓦蒂信仰
india_religion_152,罗摩大神罗摩信仰,Rama Deva the Avatar God Religion,羅摩大神羅摩信仰
india_religion_153,奎师那大神奎师那信仰,Krishna Deva the Avatar God Religion,奎師那大神奎師那信仰
india_religion_154,巴拉罗摩大神巴拉罗摩信仰,Balaram Deva the Avatar God Religion,巴拉羅摩大神巴拉羅摩信仰
india_religion_155,瓦摩那大神瓦摩那信仰,Vaman Deva the Avatar God Religion,瓦摩那大神瓦摩那信仰
