key,cz,en,ch
india_female_1,悉多,Sita,悉多
india_female_2,吉塔,Gita,吉塔
india_female_3,拉达,Radha,拉達
india_female_4,奎师那维,Krishnavi,奎師那維
india_female_5,玛莉妮,Malini,瑪莉妮
india_female_6,普什帕,Pushpa,普什帕
india_female_7,帕德玛,Padma,帕德瑪
india_female_8,卡玛拉,Kamala,卡瑪拉
india_female_9,钱达尼,Chandani,錢達尼
india_female_10,钱德拉,Chandra,錢德拉
india_female_11,因杜,Indu,因杜
india_female_12,尚蒂,Shanti,尚蒂
india_female_13,普雷玛,Prema,普雷瑪
india_female_14,玛娅,Maya,瑪婭
india_female_15,萨拉斯瓦蒂,Saraswati,薩拉斯瓦蒂
india_female_16,萨维塔,Savita,薩維塔
india_female_17,乌莎,Usha,烏莎
india_female_18,帕瓦蒂,Parvati,帕瓦蒂
india_female_19,拉克希米,Lakshmi,拉克希米
india_female_20,阿鲁娜,Aruna,阿魯娜
india_female_21,阿莎,Asha,阿莎
india_female_22,巴拉蒂,Bharati,巴拉蒂
india_female_23,布哈蒂,Bharti,布哈蒂
india_female_24,巴瓦尼,Bhavani,巴瓦尼
india_female_25,比马拉,Bimala,比馬拉
india_female_26,查亚,Chaya,查亞
india_female_27,达玛扬蒂,Damayanti,達瑪揚蒂
india_female_28,黛维,Devi,黛維
india_female_29,苏克哈,Sukha,蘇克哈
india_female_30,玛杜丽,Madhuri,瑪杜麗
india_female_31,卡维塔,Kavita,卡維塔
india_female_32,拉妮,Rani,拉妮
india_female_33,希玛,Hima,希瑪
india_female_34,妮哈,Neha,妮哈
india_female_35,普拉蒂玛,Pratima,普拉蒂瑪
india_female_36,莎伦,Saron,莎倫
india_female_37,米娜,Meena,米娜
india_female_38,吉里贾,Girija,吉里賈
india_female_39,瓦桑塔,Vasanta,瓦桑塔
india_female_40,拉克沙,Laksha,拉克沙
india_female_41,玛纳斯,Manas,瑪納斯
india_female_42,苏米塔,Sumita,蘇米塔
india_female_43,卡鲁娜,Karuna,卡魯娜
india_female_44,普里扬卡,Priyanka,普里揚卡
india_female_45,斯瓦蒂,Swati,斯瓦蒂
india_female_46,塔尼娅,Tania,塔尼婭
india_female_47,阿努帕玛,Anupama,阿努帕瑪
india_female_48,希塔,Seeta,希塔
india_female_49,玛哈,Maha,瑪哈
india_female_50,苏雷卡,Surekha,蘇雷卡
india_female_51,卡维,Kaavi,卡維
india_female_52,帕鲁,Paru,帕魯
india_female_53,玛杜,Madu,瑪杜
india_female_54,莎米,Sami,莎米
india_female_55,普佳,Puja,普佳
india_female_56,阿比,Abhi,阿比
india_female_57,瓦妮,Vani,瓦妮
india_female_58,希拉,Sheila,希拉
india_female_59,玛妮卡,Maneka,瑪妮卡
india_female_60,苏妮塔,Sunita,蘇妮塔
india_female_61,卡姆拉,Kamla,卡姆拉
