key,cz,en,ch
india_male_1,罗摩,Rama,羅摩
india_male_2,阿朱那,Arjuna,阿朱那
india_male_3,毗湿摩,Bhishma,毗濕摩
india_male_4,卡尔纳,Karna,卡爾納
india_male_5,尤迪斯蒂尔,Yudhishthira,尤迪斯蒂爾
india_male_6,怖军,Bhima,怖軍
india_male_7,那库拉,Nakula,那庫拉
india_male_8,萨哈德瓦,Sahadeva,薩哈德瓦
india_male_9,毗耶娑,Vyasa,毗耶娑
india_male_10,商羯罗,Shankara,商羯羅
india_male_11,摩奴,Manu,摩奴
india_male_12,因陀罗,Indra,因陀羅
india_male_13,伐楼那,Varuna,伐樓那
india_male_14,阿耆尼,Agni,阿耆尼
india_male_15,苏利耶,Surya,蘇利耶
india_male_16,旃陀罗塞纳,Chandrasena,旃陀羅塞納
india_male_17,阿特里,Atri,阿特里
india_male_18,阿闼婆,Atharva,阿闥婆
india_male_19,婆薮提婆,Vasudeva,婆藪提婆
india_male_20,克里希纳,Krishna,克里希納
india_male_21,那罗延,Narayana,那羅延
india_male_22,毗湿奴,Vishnu,毗濕奴
india_male_23,湿婆,Shiva,濕婆
india_male_24,甘尼许,Ganesha,甘尼許
india_male_25,筏驮摩那,Vardhamana,筏馱摩那
india_male_26,大雄,Mahavira,大雄
india_male_27,乔达摩,Gautama,喬達摩
india_male_28,阿难,Ananda,阿難
india_male_29,迦叶,Kasyapa,迦葉
india_male_30,优波离,Upali,優波離
india_male_31,舍利弗,Sariputra,舍利弗
india_male_32,罗睺罗,Rahula,羅睺羅
india_male_33,提婆达多,Devadatta,提婆達多
india_male_34,频婆娑罗,Bimbisara,頻婆娑羅
india_male_35,阿阇世,Ajatashatru,阿闍世
india_male_36,旃陀罗笈多,Chandragupta,旃陀羅笈多
india_male_37,阿输迦,Ashoka,阿輸迦
india_male_38,宾头娑罗,Bindusara,賓頭娑羅
india_male_39,达沙拉塔,Dasharatha,達沙拉塔
india_male_40,罗什曼那,Lakshmana,羅什曼那
india_male_41,婆罗多,Bharata,婆羅多
india_male_42,沙多鲁那,Shatrughna,沙多魯那
india_male_43,遮那竭,Janaka,遮那竭
