key,cz,en,ch
japan_city3_1,樱丘,Sakuraoka,櫻丘
japan_city3_2,月见泽,Tsukimisawa,月見澤
japan_city3_3,龙崎,Tatsusaki,龍崎
japan_city3_4,翡翠谷,Hisuidani,翡翠谷
japan_city3_5,星原,Hoshihara,星原
japan_city3_6,雾凇林,Gasurin,霧凇林
japan_city3_7,镜池,Kagamiike,鏡池
japan_city3_8,炎峰,Homine,炎峰
japan_city3_9,霊岩,Reiiwa,靈岩
japan_city3_10,翠岚,Midoriran,翠嵐
japan_city3_11,朱鹭台,Tokitai,朱鷺臺
japan_city3_12,玄武岬,Genbumisaki,玄武岬
japan_city3_13,绯扇,Hiosen,緋扇
japan_city3_14,天鼓丘,Tengokuoka,天鼓丘
japan_city3_15,琉璃浜,Rurihama,琉璃浜
japan_city3_16,麒麟原,Kirinbara,麒麟原
japan_city3_17,蝶羽,Choha,蝶羽
japan_city3_18,虹滝,Nijinotaki,虹滝
japan_city3_19,霊峰,Reihō,靈峰
japan_city3_20,银杏谷,Ichouya,銀杏谷
japan_city3_21,朱雀野,Suzakuno,朱雀野
japan_city3_22,青龙峡,Seiryukyo,青龍峽
japan_city3_23,白凤台,Hakuhodai,白鳳臺
japan_city3_24,琥珀丘,Kohakuoka,琥珀丘
japan_city3_25,蓬莱浜,Horaihama,蓬萊浜
japan_city3_26,凤凰原,Hoobara,鳳凰原
japan_city3_27,珊瑚礁,Sangosho,珊瑚礁
japan_city3_28,月轮,Tsukirin,月輪
japan_city3_29,金鳞谷,Kinrinkoku,金鱗谷
japan_city3_30,紫苑台,Shiondai,紫苑臺
japan_city3_31,雪华原,Yukihana,雪華原
japan_city3_32,雷神崎,Raijinzaki,雷神崎
japan_city3_33,云海峰,Unkaihō,雲海峰
japan_city3_34,水镜湖,Mizukagami,水鏡湖
japan_city3_35,绯牡丹,Hibotan,緋牡丹
japan_city3_36,天琴岬,Tenkinmisaki,天琴岬
japan_city3_37,龙胆峡,Rindokyo,龍膽峽
japan_city3_38,朱雀林,Suzakurin,朱雀林
japan_city3_39,翡翠台,Hisuidai,翡翠臺
japan_city3_40,星霜原,Seisobara,星霜原
japan_city3_41,炎舞谷,Enbukoku,炎舞谷
japan_city3_42,雪月浜,Setsugehama,雪月浜
japan_city3_43,霞风丘,Kasumikaze,霞風丘
japan_city3_44,月下沢,Gekkasawa,月下澤
japan_city3_45,金砂浜,Kinsahama,金砂浜
japan_city3_46,玄武岩,Genbugan,玄武岩
japan_city3_47,紫云台,Shiundai,紫雲臺
japan_city3_48,青龙川,Seiryugawa,青龍川
japan_city3_49,白鹭原,Shirasagi,白鷺原
japan_city3_50,琉璃峡,Rurikyo,琉璃峽
japan_city3_51,樱吹雪,Sakurafubuki,櫻吹雪
japan_city3_52,麒麟角,Kirinzumi,麒麟角
japan_city3_53,蝶ヶ岳,Chogadake,蝶ヶ嶽
japan_city3_54,虹桥,Nijinohashi,虹橋
japan_city3_55,霊泉谷,Reisenkoku,靈泉谷
japan_city3_56,银岭,Ginrei,銀嶺
japan_city3_57,朱华台,Shukadai,朱華臺
japan_city3_58,琥珀浜,Kohakuhama,琥珀浜
japan_city3_59,蓬莱丘,Horaigaoka,蓬萊丘
japan_city3_60,凤凰岬,Hoosaki,鳳凰岬
japan_city3_61,珊瑚海,Sangokai,珊瑚海
japan_city3_62,月见山,Tsukimiyama,月見山
japan_city3_63,金波谷,Kinpakoku,金波谷
japan_city3_64,紫阳丘,Shiyoka,紫陽丘
japan_city3_65,雪见原,Yukimihara,雪見原
japan_city3_66,雷音岬,Rainmisaki,雷音岬
japan_city3_67,云母峰,Unmohō,雲母峰
japan_city3_68,水无月,Minaduki,水無月
japan_city3_69,绯桜谷,Hiougi,緋櫻谷
japan_city3_70,天川,Amanogawa,天川
japan_city3_71,龙宫浜,Ryuguhama,龍宮浜
japan_city3_72,朱雀台,Suzakudai,朱雀臺
japan_city3_73,翡翠原,Hisuibara,翡翠原
japan_city3_74,星海,Hoshinoukai,星海
japan_city3_75,炎山,Hinoyama,炎山
japan_city3_76,雪华岬,Yukihanasaki,雪華岬
japan_city3_77,霞ヶ浦,Kasumigaura,霞ヶ浦
japan_city3_78,月下台,Gekkadai,月下臺
japan_city3_79,金城原,Kinjobara,金城原
japan_city3_80,玄武门,Genbumon,玄武門
japan_city3_81,紫电峡,Shidenkyo,紫電峽
japan_city3_82,青龙潭,Seiryutan,青龍潭
japan_city3_83,白虹浜,Shakohama,白虹浜
japan_city3_84,琉璃原,Rurihara,琉璃原
japan_city3_85,樱幻谷,Oukagen,櫻幻谷
japan_city3_86,麒麟浜,Kirinbe,麒麟浜
japan_city3_87,蝶ヶ渊,Chogafuchi,蝶ヶ淵
japan_city3_88,虹森,Nijinomori,虹森
japan_city3_89,霊风台,Reifudai,靈風臺
japan_city3_90,银月谷,Gingetsuya,銀月谷
japan_city3_91,朱鷺ヶ原,Tokigahara,朱鷺ヶ原
japan_city3_92,琥珀原,Kohakubara,琥珀原
japan_city3_93,蓬莱峡,Horaikyo,蓬萊峽
japan_city3_94,凤凰丘,Hoooka,鳳凰丘
japan_city3_95,珊瑚岬,Sangomisaki,珊瑚岬
japan_city3_96,月読峰,Tsukuyomine,月讀峰
japan_city3_97,金波浜,Kinpahama,金波浜
japan_city3_98,紫云峰,Shiunhō,紫雲峰
japan_city3_99,雪风谷,Yukikazeya,雪風谷
japan_city3_100,雷神原,Raijinbara,雷神原
