key,cz,en,ch
japan_clan_1,佐藤,Sato,佐藤
japan_clan_2,铃木,Suzuki,鈴木
japan_clan_3,高桥,Takahashi,高橋
japan_clan_4,田中,Tanaka,田中
japan_clan_5,渡边,Watanabe,渡邊
japan_clan_6,伊藤,Ito,伊藤
japan_clan_7,山本,Yamamoto,山本
japan_clan_8,中村,Nakamura,中村
japan_clan_9,斋藤,Saito,齋藤
japan_clan_10,加藤,Kato,加藤
japan_clan_11,吉田,Yoshida,吉田
japan_clan_12,山田,Yamada,山田
japan_clan_13,佐佐木,Sasaki,佐佐木
japan_clan_14,山口,Yamaguchi,山口
japan_clan_15,松本,Matsumoto,松本
japan_clan_16,井上,Inoue,井上
japan_clan_17,木村,Kimura,木村
japan_clan_18,林,Hayashi,林
japan_clan_19,清水,Shimizu,清水
japan_clan_20,山崎,Yamazaki,山崎
japan_clan_21,中岛,Nakajima,中島
japan_clan_22,池田,Ikeda,池田
japan_clan_23,阿部,Abe,阿部
japan_clan_24,桥本,Hashimoto,橋本
japan_clan_25,山下,Yamashita,山下
japan_clan_26,森,Mori,森
japan_clan_27,石川,Ishikawa,石川
japan_clan_28,前田,Maeda,前田
japan_clan_29,小川,Ogawa,小川
japan_clan_30,藤田,Fujita,藤田
japan_clan_31,刚田,Goda,剛田
japan_clan_32,后藤,Goto,後藤
japan_clan_33,长谷川,Hasegawa,長谷川
japan_clan_34,石井,Ishii,石井
japan_clan_35,村上,Murakami,村上
japan_clan_36,近藤,Kondo,近藤
japan_clan_37,坂本,Sakamoto,坂本
japan_clan_38,远藤,Endo,遠藤
japan_clan_39,青木,Aoki,青木
japan_clan_40,藤井,Fujii,藤井
japan_clan_41,西村,Nishimura,西村
japan_clan_42,福田,Fukuda,福田
japan_clan_43,太田,Ota,太田
japan_clan_44,三浦,Miura,三浦
japan_clan_45,藤原,Fujiwara,藤原
japan_clan_46,冈本,Okamoto,岡本
japan_clan_47,松田,Matsuda,松田
japan_clan_48,中川,Nakagawa,中川
japan_clan_49,中野,Nakano,中野
japan_clan_50,原田,Harada,原田
japan_clan_51,小野,Ono,小野
japan_clan_52,田村,Tamura,田村
japan_clan_53,竹内,Takeuchi,竹內
japan_clan_54,金子,Kaneko,金子
japan_clan_55,和田,Wada,和田
japan_clan_56,中山,Nakayama,中山
japan_clan_57,石田,Ishida,石田
japan_clan_58,上田,Ueda,上田
japan_clan_59,森田,Morita,森田
japan_clan_60,小岛,Kojima,小島
japan_clan_61,柴田,Shibata,柴田
japan_clan_62,原,Hara,原
japan_clan_63,宫崎,Miyazaki,宮崎
japan_clan_64,酒井,Sakai,酒井
japan_clan_65,工藤,Kudo,工藤
japan_clan_66,横山,Yokoyama,橫山
japan_clan_67,宫本,Miyamoto,宮本
japan_clan_68,内田,Uchida,內田
japan_clan_69,高木,Takagi,高木
japan_clan_70,安藤,Ando,安藤
japan_clan_71,岛田,Shimada,島田
japan_clan_72,谷口,Taniguchi,谷口
japan_clan_73,大野,Ohno,大野
japan_clan_74,高田,Takada,高田
japan_clan_75,丸山,Maruyama,丸山
japan_clan_76,今井,Imai,今井
japan_clan_77,河野,Kono,河野
japan_clan_78,藤本,Fujimoto,藤本
japan_clan_79,村田,Murata,村田
japan_clan_80,武田,Takeda,武田
japan_clan_81,上野,Ueno,上野
japan_clan_82,杉山,Sugiyama,杉山
japan_clan_83,增田,Masuda,增田
japan_clan_84,小山,Oyama,小山
japan_clan_85,大冢,Otsuka,大塚
japan_clan_86,平野,Hirano,平野
japan_clan_87,菅原,Sugawara,菅原
japan_clan_88,久保,Kubo,久保
japan_clan_89,松井,Matsui,松井
japan_clan_90,千叶,Chiba,千葉
japan_clan_91,岩崎,Iwasaki,岩崎
japan_clan_92,樱井,Sakurai,櫻井
japan_clan_93,木下,Kinoshita,木下
japan_clan_94,野口,Noguchi,野口
japan_clan_95,松尾,Matsuo,松尾
japan_clan_96,菊地,Kikuchi,菊地
japan_clan_97,野村,Nomura,野村
japan_clan_98,新井,Arai,新井
japan_clan_99,渡部,Watabe,渡部
japan_clan_100,空条,Kujo,空條
japan_clan_101,花京院,Kakyoin,花京院
japan_clan_102,东方,Higashikata,東方
japan_clan_103,广濑,Hirose,廣瀨
japan_clan_104,山岸,Yamagishi,山岸
japan_clan_105,虹村,Nijimura,虹村
japan_clan_106,岸边,Kishibe,岸邊
japan_clan_107,吉良,Kira,吉良
japan_clan_108,川尻,Kawajiri,川尻
japan_clan_109,江户川,Edogawa,江戶川
japan_clan_110,毛利,Mouri,毛利
japan_clan_111,远山,Toyama,遠山
japan_clan_112,服部,Hattori,服部
japan_clan_113,灰原,Haibara,灰原
japan_clan_114,源,Minamoto,源
japan_clan_115,野比,Nobi,野比
japan_clan_116,骨川,Honekawa,骨川
japan_clan_117,野原,Nohara,野原
japan_clan_118,立花,Tachibana,立花
japan_clan_119,樱,Sakura,櫻
japan_clan_120,泉,Izumi,泉
japan_clan_121,橘,Tachiban,橘
japan_clan_122,菅,Suga,菅
japan_clan_123,秦,Hata,秦
japan_clan_124,堀,Hori,堀
japan_clan_125,东,Higashi,東
japan_clan_126,南,Minami,南
japan_clan_127,神乐坂,Kagurazaka,神樂坂
japan_clan_128,水岛,Mizushima,水島
japan_clan_129,户山,Tozan,戶山
japan_clan_130,宇都宫,Utsunomiya,宇都宮
