key,cz,en,ch
japan_country_1,山城,Yamashiro,山城
japan_country_2,大和,Yamato,大和
japan_country_3,河内,Kawachi,河內
japan_country_4,和泉,Izumi,和泉
japan_country_5,摄津,Settsu,攝津
japan_country_6,伊贺,Iga,伊賀
japan_country_7,伊势,Ise,伊勢
japan_country_8,志摩,Shima,志摩
japan_country_9,尾张,Owari,尾張
japan_country_10,三河,Mikawa,三河
japan_country_11,远江,Tōtōmi,遠江
japan_country_12,骏河,Suruga,駿河
japan_country_13,伊豆,Izu,伊豆
japan_country_14,甲斐,Kai,甲斐
japan_country_15,相模,Sagami,相模
japan_country_16,武藏,Musashi,武藏
japan_country_17,安房,Awa,安房
japan_country_18,上总,Kazusa,上總
japan_country_19,下总,Shimōsa,下總
japan_country_20,常陆,Hitachi,常陸
japan_country_21,近江,Ōmi,近江
japan_country_22,美浓,Mino,美濃
japan_country_23,飞驒,Hida,飛驒
japan_country_24,信浓,Shinano,信濃
japan_country_25,上野,Kōzuke,上野
japan_country_26,下野,Shimotsuke,下野
japan_country_27,陆奥,Mutsu,陸奧
japan_country_28,出羽,Dewa,出羽
japan_country_29,若狭,Wakasa,若狹
japan_country_30,越前,Echizen,越前
japan_country_31,加贺,Kaga,加賀
japan_country_32,能登,Noto,能登
japan_country_33,越中,Etchū,越中
japan_country_34,越后,Echigo,越後
japan_country_35,佐渡,Sado,佐渡
japan_country_36,丹波,Tanba,丹波
japan_country_37,丹后,Tango,丹後
japan_country_38,但马,Tajima,但馬
japan_country_39,因幡,Inaba,因幡
japan_country_40,伯耆,Hōki,伯耆
japan_country_41,出云,Izumo,出雲
japan_country_42,石见,Iwami,石見
japan_country_43,隐岐,Oki,隱岐
japan_country_44,播磨,Harima,播磨
japan_country_45,美作,Mimasaka,美作
japan_country_46,备前,Bizen,備前
japan_country_47,备中,Bitchū,備中
japan_country_48,备后,Bingo,備後
japan_country_49,安艺,Aki,安藝
japan_country_50,周防,Suō,周防
japan_country_51,长门,Nagato,長門
japan_country_52,纪伊,Kii,紀伊
japan_country_53,淡路,Awaji,淡路
japan_country_54,阿波,Aba,阿波
japan_country_55,赞岐,Sanuki,讚岐
japan_country_56,伊予,Iyo,伊予
japan_country_57,土佐,Tosa,土佐
japan_country_58,筑前,Chikuzen,築前
japan_country_59,筑后,Chikugo,築後
japan_country_60,丰前,Buzen,豐前
japan_country_61,丰后,Bungo,豐後
japan_country_62,肥前,Hizen,肥前
japan_country_63,肥后,Higo,肥後
japan_country_64,日向,Hyūga,日向
japan_country_65,大隅,Ōsumi,大隅
japan_country_66,萨摩,Satsuma,薩摩
japan_country_67,壹岐,Iki,壹岐
japan_country_68,对马,Tsushima,對馬
japan_country_69,北海,Hokkai,北海
japan_country_70,渡岛,Hokumai,渡島
japan_country_71,后志,Shiribeshi,後志
japan_country_72,胆振,Iburi,膽振
japan_country_73,石狩,Ishikari,石狩
japan_country_74,天盐,Teshio,天鹽
japan_country_75,北见,Kitami,北見
japan_country_76,日高,Hidaka,日高
japan_country_77,十胜,Tokachi,十勝
japan_country_78,钏路,Kushiro,釧路
japan_country_79,根室,Nemuro,根室
japan_country_80,千岛,Chishima,千島
