key,cz,en,ch
religion_buddhism,佛教,Buddhism,佛教
religion_bailian,白莲教,Bailian,白蓮教
religion_zhengyi,正一教,Zhengyi,正一教
religion_tianyi,天一教,Tianyi,天一教
religion_tianhu,天护教,Tianhu,天護教
religion_tianli,天理教,Tianli,天理教
religion_tianwang,天王教,Tianwang,天王教
religion_tianfu,天福教,Tianfu,天福教
religion_tianxing,天行教,Tianxing,天行教
religion_tianjiao,天教,Tianjiao,天教
religion_tianmen,天门教,Tianmen,天門教
religion_tianlong,天龙教,Tianlong,天龍教
religion_tianbao,天宝教,Tianbao,天寶教
religion_shangqing,上清教,Shangqing,上清教
religion_yangjiao,阳教,Yangjiao,陽教
religion_yangming,阳明教,Yangming,陽明教
religion_yuejia,乐家,Yuejia,樂家
religion_xuanjiao,玄教,Xuanjiao,玄教
religion_fusheng,扶生教,Fusheng,扶生教
religion_confucianism,儒家,Confucianism,儒家
religion_mohism,墨家,Mohism,墨家
religion_taoism,道家,Taoism,道家
religion_legalism,法家,Legalism,法家
religion_mingjia,名家,School of Names,名家
religion_yinyangjia,阴阳家,School of Yin-Yang,陰陽家
religion_zonghengjia,纵横家,School of Diplomacy,縱橫家
religion_nongjia,农家,Agriculturalism,農家
religion_bingjia,兵家,Military Science,兵家
religion_yijia,医家,Medicine,醫家
religion_yuejia,乐家,Music,樂家
religion_shihuojia,食货家,School of Economics,食貨家
religion_zajia,杂家,Eclectics,雜家
religion_shushujia,术数家,Divination,術數家
religion_wujia,巫家,Shamanism,巫家
religion_guijiao,鬼教,Ghost Cult,鬼教
religion_shendaojiao,神道教,Shendaojiao,神道教
