key,cz,en,ch
japan_female1_1,子,Ko,子
japan_female1_2,美,Mi,美
japan_female1_3,花,Ka,花
japan_female1_4,爱,Ai,愛
japan_female1_5,优,Yu,優
japan_female1_6,菜,Na,菜
japan_female1_7,奈,Nai,奈
japan_female1_8,由,Yuu,由
japan_female1_9,理,Ri,理
japan_female1_10,惠,E,惠
japan_female1_11,香,Kaa,香
japan_female1_12,纱,Sa,紗
japan_female1_13,步,Ho,歩
japan_female1_14,希,Ki,希
japan_female1_15,真,Ma,真
japan_female1_16,琴,Kin,琴
japan_female1_17,莉,Rii,莉
japan_female1_18,乃,No,乃
japan_female1_19,衣,I,衣
japan_female1_20,铃,Rin,鈴
japan_female1_21,麻,Maa,麻
japan_female1_22,里,Sato,里
japan_female1_23,绘,Ee,絵
japan_female1_24,葵,Aoi,葵
japan_female1_25,月,Tsuki,月
japan_female1_26,雪,Yuki,雪
japan_female1_27,桃,Momo,桃
japan_female1_28,樱,Saku,桜
japan_female1_29,枫,Kaede,楓
japan_female1_30,兰,Ran,蘭
japan_female1_31,彩,Aya,彩
japan_female1_32,千,Chi,千
japan_female1_33,夏,Natsu,夏
japan_female1_34,秋,Aki,秋
japan_female1_35,冬,Fuyu,冬
japan_female1_36,明,Akira,明
japan_female1_37,光,Hikari,光
japan_female1_38,星,Hoshi,星
japan_female1_39,空,Sora,空
japan_female1_40,海,Umi,海
japan_female1_41,风,Kaze,風
japan_female1_42,雨,Ame,雨
japan_female1_43,云,Kumo,雲
japan_female1_44,阳,Hinata,陽
japan_female1_45,树,Kii,樹
japan_female1_46,叶,Ha,葉
japan_female1_47,实,Minoru,実
japan_female1_48,心,Kokoro,心
japan_female1_49,恋,Koi,恋
japan_female1_50,梦,Yume,夢
japan_female1_51,笑,Emi,笑
japan_female1_52,泪,Namida,涙
japan_female1_53,幸,Sachi,幸
japan_female1_54,福,Fuku,福
japan_female1_55,寿,Kotobuki,寿
japan_female1_56,和,Wa,和
japan_female1_57,静,Shizuka,静
japan_female1_58,清,Kiyoshi,清
japan_female1_59,洁,Isagi,潔
japan_female1_60,纯,Jun,純
japan_female1_61,良,Yoshi,良
japan_female1_62,善,Zen,善
japan_female1_63,温,Nuru,温
japan_female1_64,凉,Ryo,涼
japan_female1_65,初,Hatsu,初
japan_female1_66,广,Hiro,広
