key,cz,en,ch
japan_male1_1,稔,Minoru,稔
japan_male1_2,勲,Isao,勳
japan_male1_3,健,Ken,健
japan_male1_4,司,Shi,司
japan_male1_5,和,Kazu,和
japan_male1_6,宏,Hiro,宏
japan_male1_7,浩,Kou,浩
japan_male1_8,大,Dai,大
japan_male1_9,辅,Suke,輔
japan_male1_10,树,Ki,樹
japan_male1_11,翔,Sho,翔
japan_male1_12,翼,Tsubasa,翼
japan_male1_13,勇,Yuu,勇
japan_male1_14,诚,Makoto,誠
japan_male1_15,也,Nari,也
japan_male1_16,雅,Masa,雅
japan_male1_17,孝,Ko,孝
japan_male1_18,秀,Shu,秀
japan_male1_19,明,Akira,明
japan_male1_20,亮,Ryo,亮
japan_male1_21,正,Sei,正
japan_male1_22,治,Ji,治
japan_male1_23,平,Hei,平
japan_male1_24,贵,Taka,貴
japan_male1_25,信,Shin,信
japan_male1_26,彦,Hiko,彦
japan_male1_27,夫,Fu,夫
japan_male1_28,雄,O,雄
japan_male1_29,英,Ei,英
japan_male1_30,豪,Go,豪
japan_male1_31,悟,Satoru,悟
japan_male1_32,久,Kyu,久
japan_male1_33,达,Tatsu,達
japan_male1_34,博,Haku,博
japan_male1_35,文,Fumi,文
japan_male1_36,武,Bu,武
japan_male1_37,义,Gi,義
japan_male1_38,胜,Shou,勝
japan_male1_39,利,Ri,利
japan_male1_40,贞,Tei,貞
japan_male1_41,康,Kou,康
japan_male1_42,幸,Sachi,幸
japan_male1_43,繁,Shige,繁
japan_male1_44,章,Sho,章
japan_male1_45,清,Kiyoshi,清
japan_male1_46,纯,Jun,純
japan_male1_47,顺,Shun,順
japan_male1_48,保,Ho,保
japan_male1_49,守,Mamoru,守
japan_male1_50,进,Susumu,進
japan_male1_51,勉,Ben,勉
japan_male1_52,学,Gaku,學
japan_male1_53,业,Gyou,業
japan_male1_54,道,Michi,道
japan_male1_55,德,Toku,德
japan_male1_56,仁,Jin,仁
japan_male1_57,礼,Rei,禮
japan_male1_58,智,Chi,智
japan_male1_59,慧,Kei,慧
japan_male1_60,刚,Tsuyoshi,剛
japan_male1_61,强,Kyou,強
japan_male1_62,毅,Gi,毅
japan_male1_63,猛,Mo,猛
japan_male1_64,优,Shu,優
japan_male1_65,悠,Yu,悠
japan_male1_66,希,Nozomi,希
japan_male1_67,心,Kokoro,心
japan_male1_68,洋,You,洋
japan_male1_69,海,Kai,海
japan_male1_70,陆,Riku,陸
japan_male1_71,空,Sora,空
japan_male1_72,风,Kaze,風
japan_male1_73,山,Yama,山
japan_male1_74,川,Kawa,川
japan_male1_75,田,Den,田
japan_male1_76,林,Rin,林
japan_male1_77,森,Mori,森
japan_male1_78,岛,Shima,島
japan_male1_79,崎,Saki,崎
japan_male1_80,村,Mura,村
japan_male1_81,野,No,野
japan_male1_82,原,Hara,原
japan_male1_83,泽,Sawa,澤
japan_male1_84,渡,Wataru,渡
japan_male1_85,边,Hen,邊
japan_male1_86,铁,Tetsu,鐵
japan_male1_87,钢,Gan,鋼
japan_male1_88,金,Kin,金
japan_male1_89,银,Gin,銀
japan_male1_90,时,Toki,時
japan_male1_91,光,Hikaru,光
japan_male1_92,辉,Teru,輝
japan_male1_93,星,Hoshi,星
japan_male1_94,月,Tsuki,月
japan_male1_95,日,Hi,日
japan_male1_96,春,Haru,春
japan_male1_97,夏,Natsu,夏
japan_male1_98,秋,Aki,秋
japan_male1_99,冬,Fuyu,冬
japan_male1_100,雨,Ame,雨
japan_male1_101,辰,Tatsu,辰
japan_male1_102,靖,Yasushi,靖
japan_male1_103,茂,Shigeru,茂
japan_male1_104,栄,Sakae,榮
japan_male1_105,久,Kyuu,久
japan_male1_106,邦,Kuni,邦
japan_male1_107,昭,Akira,昭
japan_male1_108,徹,Toru,徹
