key,cz,en,ch
kosher_city1_1,亚伯拉罕,Abraham,亞伯拉罕
kosher_city1_2,以撒,Isaac,以撒
kosher_city1_3,雅各,Jacob,雅各
kosher_city1_4,摩西,Moses,摩西
kosher_city1_5,亚伦,Aaron,亞倫
kosher_city1_6,大卫,David,大衛
kosher_city1_7,所罗门,Solomon,所羅門
kosher_city1_8,约瑟,Joseph,約瑟
kosher_city1_9,本杰明,Benjamin,本傑明
kosher_city1_10,利未,Levi,利未
kosher_city1_11,犹大,Judah,猶大
kosher_city1_12,但,Dan,但
kosher_city1_13,拿弗他利,Naphtali,拿弗他利
kosher_city1_14,迦得,Gad,迦得
kosher_city1_15,亚设,Asher,亞設
kosher_city1_16,以萨迦,Issachar,以薩迦
kosher_city1_17,西布伦,Zebulun,西布倫
kosher_city1_18,便雅悯,Benjamin,便雅憫
kosher_city1_19,流便,Reuben,流便
kosher_city1_20,西缅,Simeon,西緬
kosher_city1_21,以利亚,Elijah,以利亞
kosher_city1_22,以利沙,Elisha,以利沙
kosher_city1_23,撒母耳,Samuel,撒母耳
kosher_city1_24,扫罗,Saul,掃羅
kosher_city1_25,约拿单,Jonathan,約拿單
kosher_city1_26,以赛亚,Isaiah,以賽亞
kosher_city1_27,耶利米,Jeremiah,耶利米
kosher_city1_28,以西结,Ezekiel,以西結
kosher_city1_29,何西阿,Hosea,何西阿
kosher_city1_30,约珥,Joel,約珥
kosher_city1_31,阿摩司,Amos,阿摩司
kosher_city1_32,俄巴底亚,Obadiah,俄巴底亞
kosher_city1_33,约拿,Jonah,約拿
kosher_city1_34,弥迦,Micah,彌迦
kosher_city1_35,那鸿,Nahum,那鴻
kosher_city1_36,哈巴谷,Habakkuk,哈巴谷
kosher_city1_37,西番雅,Zephaniah,西番雅
kosher_city1_38,哈该,Haggai,哈該
kosher_city1_39,撒迦利亚,Zechariah,撒迦利亞
kosher_city1_40,玛拉基,Malachi,瑪拉基
kosher_city1_41,约伯,Job,約伯
kosher_city1_42,以斯拉,Ezra,以斯拉
kosher_city1_43,尼希米,Nehemiah,尼希米
kosher_city1_44,末底改,Mordecai,末底改
kosher_city1_45,以斯帖,Esther,以斯帖
kosher_city1_46,但以理,Daniel,但以理
kosher_city1_47,巴拉姆,Balaam,巴拉姆
kosher_city1_48,迦勒,Caleb,迦勒
kosher_city1_49,约书亚,Joshua,約書亞
kosher_city1_50,俄陀聂,Othniel,俄陀聶
kosher_city1_51,基甸,Gideon,基甸
kosher_city1_52,参孙,Samson,參孫
kosher_city1_53,耶弗他,Jephthah,耶弗他
kosher_city1_54,波阿斯,Boaz,波阿斯
kosher_city1_55,俄备得,Obed,俄備得
kosher_city1_56,耶西,Jesse,耶西
kosher_city1_57,押沙龙,Absalom,押沙龍
kosher_city1_58,亚多尼雅,Adonijah,亞多尼雅
kosher_city1_59,所罗巴伯,Zerubbabel,所羅巴伯
kosher_city1_60,以利亚实,Eliashib,以利亞實
kosher_city1_61,约雅斤,Jehoiachin,約雅斤
kosher_city1_62,西底家,Zedekiah,西底家
kosher_city1_63,希勒家,Hilkiah,希勒家
kosher_city1_64,约西亚,Josiah,約西亞
kosher_city1_65,约哈斯,Jehoahaz,約哈斯
kosher_city1_66,玛拿西,Manasseh,瑪拿西
kosher_city1_67,亚们,Amon,亞們
kosher_city1_68,约坦,Jotham,約坦
kosher_city1_69,亚哈斯,Ahaz,亞哈斯
kosher_city1_70,希西家,Hezekiah,希西家
kosher_city1_71,约阿施,Joash,約阿施
kosher_city1_72,亚玛谢,Amaziah,亞瑪謝
kosher_city1_73,乌西雅,Uzziah,烏西雅
kosher_city1_74,约雅敬,Jehoiakim,約雅敬
kosher_city1_75,罗波安,Rehoboam,羅波安
kosher_city1_76,亚比雅,Abijah,亞比雅
kosher_city1_77,亚撒,Asa,亞撒
kosher_city1_78,约沙法,Jehoshaphat,約沙法
kosher_city1_79,约兰,Jehoram,約蘭
kosher_city1_80,亚哈谢,Ahaziah,亞哈謝
kosher_city1_81,撒督,Zadok,撒督
kosher_city1_82,亚比亚他,Abiathar,亞比亞他
kosher_city1_83,米该亚,Micaiah,米該亞
kosher_city1_84,哈拿尼雅,Hananiah,哈拿尼雅
kosher_city1_85,示玛雅,Shemaiah,示瑪雅
kosher_city1_86,沙番,Shaphan,沙番
kosher_city1_87,亚希甘,Ahikam,亞希甘
kosher_city1_88,基大利,Gedaliah,基大利
kosher_city1_89,尼利亚,Neriah,尼利亞
kosher_city1_90,巴录,Baruch,巴錄
kosher_city1_91,西莱雅,Seraiah,西萊雅
kosher_city1_92,玛西雅,Maaseiah,瑪西雅
kosher_city1_93,尼探雅,Nethaniah,尼探雅
kosher_city1_94,以实玛利,Ishmael,以實瑪利
kosher_city1_95,约哈难,Johanan,約哈難
kosher_city1_96,犹底,Jehudi,猶底
kosher_city1_97,示利米雅,Shelemiah,示利米雅
kosher_city1_98,米书兰,Meshullam,米書蘭
kosher_city1_99,玛基雅,Malkijah,瑪基雅
kosher_city1_100,哈述,Hashub,哈述
kosher_city1_101,比利家,Berechiah,比利家
kosher_city1_102,亚撒利雅,Azariah,亞撒利雅
kosher_city1_103,沙龙,Shallum,沙龍
kosher_city1_104,米拉约,Meraiah,米拉約
