key,cz,en,ch
kosher_country_1,哈诺,Hanochite,哈諾
kosher_country_2,法路,Palluite,法路
kosher_country_3,希斯伦,Hezronite,希斯崙
kosher_country_4,迦米,Carmite,迦米
kosher_country_5,尼母利,Nemuelite,尼母利
kosher_country_6,雅悯,Jaminite,雅憫
kosher_country_7,雅斤,Jachinite,雅斤
kosher_country_8,谢拉,Zerahite,謝拉
kosher_country_9,扫罗,Shaulite,掃羅
kosher_country_10,洗分,Zephonite,洗分
kosher_country_11,哈基,Haggite,哈基
kosher_country_12,书尼,Shunite,書尼
kosher_country_13,阿斯尼,Oznite,阿斯尼
kosher_country_14,以利,Erite,以利
kosher_country_15,亚罗底,Arodite,亞羅底
kosher_country_16,亚列利,Arelite,亞列利
kosher_country_17,示拉,Shelanite,示拉
kosher_country_18,希斯伦,Hezronite,希斯崙
kosher_country_19,哈母勒,Hamulite,哈母勒
kosher_country_20,心利,Zimrite,心利
kosher_country_21,以探,Ethnite,以探
kosher_country_22,希幔,Hemamite,希幔
kosher_country_23,甲各,Korahite,甲各
kosher_country_24,大拉,Daraite,大拉
kosher_country_25,陀拉,Tolaite,陀拉
kosher_country_26,普瓦,Puvite,普瓦
kosher_country_27,雅述,Jashubite,雅述
kosher_country_28,伸仑,Shimronite,伸崙
kosher_country_29,西烈,Seredite,西烈
kosher_country_30,以伦,Elonite,以倫
kosher_country_31,雅利,Jahleelite,雅利
kosher_country_32,玛吉,Machirite,瑪吉
kosher_country_33,基列,Gileadite,基列
kosher_country_34,伊以谢,Iezerite,伊以謝
kosher_country_35,希勒,Helekite,希勒
kosher_country_36,亚斯烈,Asrielite,亞斯烈
kosher_country_37,示剑,Shechemite,示劍
kosher_country_38,示米大,Shemidite,示米大
kosher_country_39,希弗,Hepherite,希弗
kosher_country_40,书提拉,Shuthelahite,書提拉
kosher_country_41,比结,Bekerite,比結
kosher_country_42,他罕,Tahanite,他罕
kosher_country_43,以兰,Eranite,以蘭
kosher_country_44,亚勒,Ardite,亞勒
kosher_country_45,乃幔,Naamite,乃幔
kosher_country_46,亚实别,Ashbelite,亞實別
kosher_country_47,亚希兰,Ahiramite,亞希蘭
kosher_country_48,书反,Shuphamite,書反
kosher_country_49,户反,Huphamite,戶反
kosher_country_50,书含,Shuhamite,書含
kosher_country_51,音拿,Imnite,音拿
kosher_country_52,亦施韦,Ishvite,亦施韋
kosher_country_53,希别,Heberite,希別
kosher_country_54,玛结,Malchielite,瑪結
kosher_country_55,雅薛,Jahzeelite,雅薛
kosher_country_56,沽尼,Gunite,沽尼
kosher_country_57,耶色,Jezerite,耶色
kosher_country_58,示冷,Shillemite,示冷
kosher_country_59,革顺,Gershonite,革順
kosher_country_60,哥辖,Kohathite,哥轄
kosher_country_61,米拉利,Merarite,米拉利
kosher_country_62,暗兰,Amramite,暗蘭
kosher_country_63,以斯哈,Izharite,以斯哈
kosher_country_64,希伯伦,Hebronite,希伯崙
kosher_country_65,乌薛,Uzzielite,烏薛
kosher_country_66,流便,Reuben,流便
kosher_country_67,西缅,Simeon,西缅
kosher_country_68,利未,Levi,利未
kosher_country_69,犹大,Judah,猶大
kosher_country_70,以萨迦,Issachar,以薩迦
kosher_country_71,西布伦,Zebulun,西布倫
kosher_country_72,但,Dan,但
kosher_country_73,拿弗他利,Naphtali,拿弗他利
kosher_country_74,迦得,Gad,迦得
kosher_country_75,亚设,Asher,亞設
kosher_country_76,便雅悯,Benjamin,便雅憫
kosher_country_77,以法莲,Ephraim,以法蓮
kosher_country_78,玛拿西,Manasseh,瑪拿西
