key,cz,en,ch
kosher_family_1,哈诺,Hanochite,哈諾
kosher_family_2,法路,Palluite,法路
kosher_family_3,希斯伦,Hezronite,希斯崙
kosher_family_4,迦米,Carmite,迦米
kosher_family_5,尼母利,Nemuelite,尼母利
kosher_family_6,雅悯,Jaminite,雅憫
kosher_family_7,雅斤,Jachinite,雅斤
kosher_family_8,谢拉,Zerahite,謝拉
kosher_family_9,扫罗,Shaulite,掃羅
kosher_family_10,洗分,Zephonite,洗分
kosher_family_11,哈基,Haggite,哈基
kosher_family_12,书尼,Shunite,書尼
kosher_family_13,阿斯尼,Oznite,阿斯尼
kosher_family_14,以利,Erite,以利
kosher_family_15,亚罗底,Arodite,亞羅底
kosher_family_16,亚列利,Arelite,亞列利
kosher_family_17,示拉,Shelanite,示拉
kosher_family_18,希斯伦,Hezronite,希斯崙
kosher_family_19,哈母勒,Hamulite,哈母勒
kosher_family_20,心利,Zimrite,心利
kosher_family_21,以探,Ethnite,以探
kosher_family_22,希幔,Hemamite,希幔
kosher_family_23,甲各,Korahite,甲各
kosher_family_24,大拉,Daraite,大拉
kosher_family_25,陀拉,Tolaite,陀拉
kosher_family_26,普瓦,Puvite,普瓦
kosher_family_27,雅述,Jashubite,雅述
kosher_family_28,伸仑,Shimronite,伸崙
kosher_family_29,西烈,Seredite,西烈
kosher_family_30,以伦,Elonite,以倫
kosher_family_31,雅利,Jahleelite,雅利
kosher_family_32,玛吉,Machirite,瑪吉
kosher_family_33,基列,Gileadite,基列
kosher_family_34,伊以谢,Iezerite,伊以謝
kosher_family_35,希勒,Helekite,希勒
kosher_family_36,亚斯烈,Asrielite,亞斯烈
kosher_family_37,示剑,Shechemite,示劍
kosher_family_38,示米大,Shemidite,示米大
kosher_family_39,希弗,Hepherite,希弗
kosher_family_40,书提拉,Shuthelahite,書提拉
kosher_family_41,比结,Bekerite,比結
kosher_family_42,他罕,Tahanite,他罕
kosher_family_43,以兰,Eranite,以蘭
kosher_family_44,亚勒,Ardite,亞勒
kosher_family_45,乃幔,Naamite,乃幔
kosher_family_46,亚实别,Ashbelite,亞實別
kosher_family_47,亚希兰,Ahiramite,亞希蘭
kosher_family_48,书反,Shuphamite,書反
kosher_family_49,户反,Huphamite,戶反
kosher_family_50,书含,Shuhamite,書含
kosher_family_51,音拿,Imnite,音拿
kosher_family_52,亦施韦,Ishvite,亦施韋
kosher_family_53,希别,Heberite,希別
kosher_family_54,玛结,Malchielite,瑪結
kosher_family_55,雅薛,Jahzeelite,雅薛
kosher_family_56,沽尼,Gunite,沽尼
kosher_family_57,耶色,Jezerite,耶色
kosher_family_58,示冷,Shillemite,示冷
kosher_family_59,革顺,Gershonite,革順
kosher_family_60,哥辖,Kohathite,哥轄
kosher_family_61,米拉利,Merarite,米拉利
kosher_family_62,暗兰,Amramite,暗蘭
kosher_family_63,以斯哈,Izharite,以斯哈
kosher_family_64,希伯伦,Hebronite,希伯崙
kosher_family_65,乌薛,Uzzielite,烏薛
kosher_family_66,流便,Reuben,流便
kosher_family_67,西缅,Simeon,西缅
kosher_family_68,利未,Levi,利未
kosher_family_69,犹大,Judah,猶大
kosher_family_70,以萨迦,Issachar,以薩迦
kosher_family_71,西布伦,Zebulun,西布倫
kosher_family_72,但,Dan,但
kosher_family_73,拿弗他利,Naphtali,拿弗他利
kosher_family_74,迦得,Gad,迦得
kosher_family_75,亚设,Asher,亞設
kosher_family_76,便雅悯,Benjamin,便雅憫
kosher_family_77,以法莲,Ephraim,以法蓮
kosher_family_78,玛拿西,Manasseh,瑪拿西
