key,cz,en,ch
kosher_female1_1,撒拉,Sarah,撒拉
kosher_female1_2,利百加,Rebekah,利百加
kosher_female1_3,拉结,Rachel,拉結
kosher_female1_4,利亚,Leah,利亞
kosher_female1_5,米利暗,Miriam,米利暗
kosher_female1_6,底波拉,Deborah,底波拉
kosher_female1_7,路得,Ruth,路得
kosher_female1_8,以斯帖,Esther,以斯帖
kosher_female1_9,犹滴,Judith,猶滴
kosher_female1_10,拔示巴,Bathsheba,拔示巴
kosher_female1_11,亚比该,Abigail,亞比該
kosher_female1_12,户勒大,Huldah,戶勒大
kosher_female1_13,书拉密,Shulammite,書拉密
kosher_female1_14,雅亿,Jael,雅億
kosher_female1_15,她玛,Tamar,她瑪
kosher_female1_16,哈拿,Hannah,哈拿
kosher_female1_17,洗巴,Zibah,洗巴
kosher_female1_18,拿俄米,Naomi,拿俄米
kosher_female1_19,俄珥巴,Orpah,俄珥巴
kosher_female1_20,亚拿,Anna,亞拿
kosher_female1_21,多加,Dorcas,多加
kosher_female1_22,百居拉,Priscilla,百居拉
kosher_female1_23,吕底亚,Lydia,呂底亞
kosher_female1_24,马大,Martha,馬大
kosher_female1_25,马利亚,Mary,馬利亞
kosher_female1_26,撒罗米,Salome,撒羅米
kosher_female1_27,希罗底,Herodias,希羅底
kosher_female1_28,约基别,Jochebed,約基別
kosher_female1_29,西坡拉,Zipporah,西坡拉
kosher_female1_30,底拿,Dinah,底拿
kosher_female1_31,利斯巴,Rizpah,利斯巴
kosher_female1_32,亚比他,Abital,亞比他
kosher_female1_33,亚希暖,Ahinoam,亞希暖
kosher_female1_34,亚比煞,Abishag,亞比煞
kosher_female1_35,亚他利雅,Athaliah,亞他利雅
kosher_female1_36,耶洗别,Jezebel,耶洗別
kosher_female1_37,玛迦,Maacah,瑪迦
kosher_female1_38,米该亚,Micaiah,米該亞
kosher_female1_39,挪阿底,Noadiah,挪阿底
kosher_female1_40,尼雅,Neriah,尼雅
kosher_female1_41,俄斐勒,Ophrah,俄斐勒
kosher_female1_42,辟拉,Bilhah,辟拉
kosher_female1_43,悉帕,Zilpah,悉帕
kosher_female1_44,阿荷利巴玛,Oholibamah,阿荷利巴瑪
kosher_female1_45,亭纳,Timna,亭納
kosher_female1_46,提米娜,Timnah,提米娜
kosher_female1_47,玛利沙,Mareshah,瑪利沙
kosher_female1_48,米拉,Milcah,米拉
kosher_female1_49,亚大,Adah,亞大
kosher_female1_50,洗拉,Zillah,洗拉
kosher_female1_51,毗尼拿,Peninnah,毗尼拿
kosher_female1_52,撒母耳,Samuel,撒母耳
kosher_female1_53,瓦实提,Vashti,瓦實提·
