key,cz,en,ch
Ojibwe_city_1,卡霍基亚,Cahokia,卡霍基亞
Ojibwe_city_2,埃托瓦,Etowah,埃托瓦
Ojibwe_city_3,芒德维尔,Moundville,芒德維爾
Ojibwe_city_4,斯皮罗丘,Spiro Mounds,斯皮羅丘
Ojibwe_city_5,安吉尔丘,Angel Mounds,安吉爾丘
Ojibwe_city_6,奥克马尔吉,Ocmulgee,奧克馬爾吉
Ojibwe_city_7,托尔特克丘,Toltec Mounds,托爾特克丘
Ojibwe_city_8,蛇丘,Serpent Mound,蛇丘
Ojibwe_city_9,埃菲吉丘,Effigy Mounds,埃菲吉丘
Ojibwe_city_10,博尼托普韦布洛,Pueblo Bonito,博尼托普韋布洛
Ojibwe_city_11,切特罗凯特,Chetro Ketl,切特羅凱特
Ojibwe_city_12,阿罗约普韦布洛,Pueblo del Arroyo,阿羅約普韋布洛
Ojibwe_city_13,乌帕特基,Wupatki,烏帕特基
Ojibwe_city_14,蒙特苏马,Montezuma,蒙特蘇馬
Ojibwe_city_15,图齐古特,Tuzigoot,圖齊古特
Ojibwe_city_16,阿兹特克遗址,Aztec Ruins,阿茲特克遺址
Ojibwe_city_17,卡萨格兰德,Casa Grande,卡薩格蘭德
Ojibwe_city_18,蛇镇,Snaketown,蛇鎮
Ojibwe_city_19,吉拉悬崖,Gila Cliff,吉拉懸崖
Ojibwe_city_20,班德利尔,Bandelier,班德利爾
Ojibwe_city_21,赞卡维,Tsankawi,贊卡維
Ojibwe_city_22,普耶悬崖,Puye Cliff,普耶懸崖
Ojibwe_city_23,奥拉伊比,Oraibi,奧拉伊比
Ojibwe_city_24,沃尔皮,Walpi,沃爾皮
Ojibwe_city_25,阿科马,Acoma,阿科馬
Ojibwe_city_26,陶斯,Taos,陶斯
Ojibwe_city_27,伊塞塔,Isleta,伊塞塔
Ojibwe_city_28,科奇蒂,Cochiti,科奇蒂
Ojibwe_city_29,杰梅斯,Jemez,傑梅斯
Ojibwe_city_30,凯瓦,Kewa,凱瓦
Ojibwe_city_31,拉古纳,Laguna,拉古納
Ojibwe_city_32,纳米贝,Nambe,納姆貝
Ojibwe_city_33,奥凯奥温格,Ohkay Owingeh,奧凱奧溫格
Ojibwe_city_34,皮库里斯,Picuris,皮庫里斯
Ojibwe_city_35,波瓦基,Pojoaque,波瓦基
Ojibwe_city_36,桑迪亚,Sandia,桑迪亞
Ojibwe_city_37,特苏基,Tesuque,特蘇基
Ojibwe_city_38,伊斯拉塔德尔苏尔,Ysleta del Sur,伊斯拉塔德爾蘇爾
Ojibwe_city_39,齐亚,Zia,齊亞
Ojibwe_city_40,祖尼,Zuni,祖尼
Ojibwe_city_41,霍文威普,Hovenweep,霍文威普
Ojibwe_city_42,梅萨维德,Mesa Verde,梅薩維德
Ojibwe_city_43,悬崖宫,Cliff Palace,懸崖宮
Ojibwe_city_44,阳台屋,Balcony House,陽台屋
Ojibwe_city_45,云杉树屋,Spruce Tree House,雲杉樹屋
Ojibwe_city_46,阶梯屋,Step House,階梯屋
Ojibwe_city_47,太阳神庙,Sun Temple,太陽神廟
Ojibwe_city_48,贝塔塔金,Betatakin,貝塔塔金
Ojibwe_city_49,基特西尔,Keet Seel,基特西爾
Ojibwe_city_50,题字屋,Inscription House,題字屋
Ojibwe_city_51,瓦加纳西,Waganagisi,瓦加納西
Ojibwe_city_52,巴韦廷,Bahweting,巴韋廷
Ojibwe_city_53,吉奇奥尼加明,Gichi Onigamiing,吉奇奧尼加明
Ojibwe_city_54,米希利马基纳克,Michilimackinac,米希利馬基納克
Ojibwe_city_55,埃特萨诺阿,Etzanoa,埃特薩諾阿
Ojibwe_city_56,阿瓦蒂卡谢,Awatixa Xi'e,阿瓦蒂卡謝
Ojibwe_city_57,梅多克罗夫特,Meadowcroft,梅多克羅夫特
Ojibwe_city_58,昂宁波蒂奇,Onion Portage,昂寧波蒂奇
Ojibwe_city_59,波弗蒂角,Poverty Point,波弗蒂角
Ojibwe_city_60,尼克瓦西丘,Nikwasi Mound,尼克瓦西丘
Ojibwe_city_61,查科峡谷,Chaco Canyon,查科峽谷
Ojibwe_city_62,谢伊峡谷,Canyon de Chelly,謝伊峽谷
Ojibwe_city_63,白宫遗址,White House Ruins,白宮遺址
Ojibwe_city_64,霍霍坎皮马,Hohokam Pima,霍霍坎皮馬
Ojibwe_city_65,埃尔马尔佩斯,El Malpais,埃爾馬爾佩斯
Ojibwe_city_66,埃尔莫罗,El Morro,埃爾莫羅
Ojibwe_city_67,锡乔莫维,Sichomovi,錫喬莫維
Ojibwe_city_68,米松戈诺维,Mishongnovi,米松戈諾維
Ojibwe_city_69,松戈波维,Shongopovi,松戈波維
Ojibwe_city_70,基姆斯峡谷,Keams Canyon,基姆斯峽谷
Ojibwe_city_71,卡延塔,Kayenta,卡延塔
Ojibwe_city_72,苏派,Supai,蘇派
Ojibwe_city_73,阿索瓦纳尼克,Âsowanânihk,阿索瓦納尼克
Ojibwe_city_74,奥内达加,Onondaga,奧內達加
Ojibwe_city_75,卡尤加,Cayuga,卡尤加
Ojibwe_city_76,塞内卡,Seneca,塞內卡
Ojibwe_city_77,莫霍克,Mohawk,莫霍克
Ojibwe_city_78,塔斯卡洛拉,Tuscarora,塔斯卡洛拉
Ojibwe_city_79,奥奈达,Oneida,奧奈達
