key,cz,en,ch
Ojibwe_country_1,奥吉布瓦,Ojibwe,奧吉布瓦
Ojibwe_country_2,阿尔冈昆,Algonquin,阿爾岡昆
Ojibwe_country_3,苏,Sioux,蘇
Ojibwe_country_4,拉科塔,Lakota,拉科塔
Ojibwe_country_5,达科他,Dakota,達科他
Ojibwe_country_6,纳科他,Nakota,納科他
Ojibwe_country_7,易洛魁联盟,Iroquois,易洛魁聯盟
Ojibwe_country_8,莫霍克,Mohawk,莫霍克
Ojibwe_country_9,奥奈达,Oneida,奧奈達
Ojibwe_country_10,奥农达加,Onondaga,奧農達加
Ojibwe_country_11,卡尤加,Cayuga,卡尤加
Ojibwe_country_12,塞内卡,Seneca,塞內卡
Ojibwe_country_13,塔斯卡洛拉,Tuscarora,塔斯卡洛拉
Ojibwe_country_14,切罗基,Cherokee,切羅基
Ojibwe_country_15,夏延,Cheyenne,夏延
Ojibwe_country_16,阿拉帕霍,Arapaho,阿拉帕霍
Ojibwe_country_17,阿帕奇,Apache,阿帕奇
Ojibwe_country_18,纳瓦霍,Navajo,納瓦霍
Ojibwe_country_19,霍皮,Hopi,霍皮
Ojibwe_country_20,祖尼,Zuni,祖尼
Ojibwe_country_21,普韦布洛,Pueblo,普韋布洛
Ojibwe_country_22,科曼奇,Comanche,科曼奇
Ojibwe_country_23,肖肖尼,Shoshone,肖肖尼
Ojibwe_country_24,尤特,Ute,尤特
Ojibwe_country_25,波尼,Pawnee,波尼
Ojibwe_country_26,奥马哈,Omaha,奧馬哈
Ojibwe_country_27,奥托,Otoe,奧托
Ojibwe_country_28,密苏里,Missouria,密蘇里
Ojibwe_country_29,夸保,Quapaw,誇保
Ojibwe_country_30,卡多,Caddo,卡多
Ojibwe_country_31,威奇托,Wichita,威奇托
Ojibwe_country_32,克里克,Creek,克里克
Ojibwe_country_33,乔克托,Choctaw,喬克托
Ojibwe_country_34,奇克索,Chickasaw,奇克索
Ojibwe_country_35,塞米诺尔,Seminole,塞米諾爾
Ojibwe_country_36,克里,Cree,克里
Ojibwe_country_37,奥吉-克里,Oji-Cree,奧吉-克里
Ojibwe_country_38,渥太华,Odawa,渥太華
Ojibwe_country_39,波塔瓦托米,Potawatomi,波塔瓦托米
Ojibwe_country_40,梅诺米尼,Menominee,梅諾米尼
Ojibwe_country_41,索克,Sauk,索克
Ojibwe_country_42,福克斯,Fox,福克斯
Ojibwe_country_43,基卡普,Kickapoo,基卡普
Ojibwe_country_44,迈阿密,Miami,邁阿密
Ojibwe_country_45,伊利诺伊,Illinois,伊利諾伊
Ojibwe_country_46,伦纳佩,Lenape,倫納佩
Ojibwe_country_47,特拉华,Delaware,特拉華
Ojibwe_country_48,肖尼,Shawnee,肖尼
Ojibwe_country_49,迈杜,Maidu,邁杜
Ojibwe_country_50,米沃克,Miwok,米沃克
Ojibwe_country_51,波莫,Pomo,波莫
Ojibwe_country_52,温顿,Wintun,溫頓
Ojibwe_country_53,莫诺,Mono,莫諾
Ojibwe_country_54,卡惠拉,Cahuilla,卡惠拉
Ojibwe_country_55,库梅亚,Kumeyaay,庫梅亞
Ojibwe_country_56,丘马什,Chumash,丘馬什
Ojibwe_country_57,尤马,Yuma,尤馬
Ojibwe_country_58,莫哈维,Mohave,莫哈維
Ojibwe_country_59,哈瓦苏派,Havasupai,哈瓦蘇派
Ojibwe_country_60,瓦拉派,Hualapai,瓦拉派
Ojibwe_country_61,皮马,Pima,皮馬
Ojibwe_country_62,帕帕戈,Papago,帕帕戈
Ojibwe_country_63,雅瓦派,Yavapai,雅瓦派
Ojibwe_country_64,马里科帕,Maricopa,馬里科帕
Ojibwe_country_65,科科帕,Cocopah,科科帕
Ojibwe_country_66,特林吉特,Tlingit,特林吉特
Ojibwe_country_67,海达,Haida,海達
Ojibwe_country_68,钦西安,Tsimshian,欽西安
Ojibwe_country_69,努查努阿特,Nuu-chah-nulth,努查努阿特
Ojibwe_country_70,夸夸卡瓦库,Kwakwaka'wakw,誇誇卡瓦庫
Ojibwe_country_71,努哈尔克,Nuxalk,努哈爾克
Ojibwe_country_72,海尔楚克,Heiltsuk,海爾楚克
Ojibwe_country_73,海岸萨利希,Coast Salish,海岸薩利希
Ojibwe_country_74,内兹珀斯,Nez Perce,內茲珀斯
Ojibwe_country_75,斯波坎,Spokane,斯波坎
Ojibwe_country_76,科尔维尔,Colville,科爾維爾
Ojibwe_country_77,雅基马,Yakama,雅基馬
Ojibwe_country_78,乌马蒂拉,Umatilla,烏馬蒂拉
Ojibwe_country_79,沃姆斯普林斯,Warm Springs,沃姆斯普林斯
Ojibwe_country_80,克拉马斯,Klamath,克拉馬斯
Ojibwe_country_81,莫多克,Modoc,莫多克
Ojibwe_country_82,派尤特,Paiute,派尤特
Ojibwe_country_83,瓦肖,Washoe,瓦肖
Ojibwe_country_84,黑脚,Blackfoot,黑腳
Ojibwe_country_85,西克西卡,Siksika,西克西卡
Ojibwe_country_86,凯奈,Kainai,凱奈
Ojibwe_country_87,皮埃甘,Piikani,皮埃甘
Ojibwe_country_88,克罗,Crow,克羅
Ojibwe_country_89,希达察,Hidatsa,希達察
Ojibwe_country_90,曼丹,Mandan,曼丹
Ojibwe_country_91,阿里卡拉,Arikara,阿里卡拉
Ojibwe_country_92,阿西尼博因,Assiniboine,阿西尼博因
Ojibwe_country_93,苏蒂纳,Tsuut'ina,蘇蒂納
Ojibwe_country_94,格罗斯文特,Gros Ventre,格羅斯文特
Ojibwe_country_95,奥塞奇,Osage,奧塞奇
Ojibwe_country_96,坎萨,Kansa,坎薩
Ojibwe_country_97,爱荷华,Iowa,愛荷華
Ojibwe_country_98,韦万,Wea,韋萬
Ojibwe_country_99,皮安克肖,Piankeshaw,皮安克肖
Ojibwe_country_100,怀恩多特,Wyandot,懷恩多特
Ojibwe_country_101,休伦,Huron,休倫
Ojibwe_country_102,中立,Neutral,中立
Ojibwe_country_103,烟草,Petun,煙草
Ojibwe_country_104,伊利,Erie,伊利
Ojibwe_country_105,苏斯克汉诺克,Susquehannock,蘇斯克漢諾克
Ojibwe_country_106,莫希干,Mohegan,莫希干
Ojibwe_country_107,佩科特,Pequot,佩科特
Ojibwe_country_108,纳拉甘西特,Narragansett,納拉甘西特
Ojibwe_country_109,万帕诺亚格,Wampanoag,萬帕諾亞格
Ojibwe_country_110,马萨诸塞,Massachusett,馬薩諸塞
Ojibwe_country_111,阿布纳基,Abenaki,阿布納基
Ojibwe_country_112,米克马克,Mi'kmaq,米克馬克
Ojibwe_country_113,马利塞特,Maliseet,馬利塞特
Ojibwe_country_114,帕萨马科迪,Passamaquoddy,帕薩馬科迪
Ojibwe_country_115,贝奥图克,Beothuk,貝奧圖克
Ojibwe_country_116,因纽特,Inuit,因紐特
Ojibwe_country_117,阿留申,Aleut,阿留申
Ojibwe_country_118,伊努皮亚特,Inupiat,伊努皮亞特
Ojibwe_country_119,尤皮克,Yupik,尤皮克
Ojibwe_country_120,阿特纳,Ahtna,阿特納
Ojibwe_country_121,瀚,Han,瀚
