key,cz,en,ch
Ojibwe_family_1,吉齐斯,Giizis,吉齊斯
Ojibwe_family_2,迪比克-吉齐斯,Dibik-giizis,迪比克-吉齊斯
Ojibwe_family_3,阿南格,Anang,阿南格
Ojibwe_family_4,吉贝-阿南格-维奎德,Jiibay-aanang-wiikwed,吉貝-阿南格-維奎德
Ojibwe_family_5,吉齐斯-奥什基-巴瓦吉甘,Giizis oshki-bawaajigan,吉齊斯-奧什基-巴瓦吉甘
Ojibwe_family_6,迪比克-吉齐斯-奥什基-巴瓦吉甘,Dibik-giizis oshki-bawaajigan,迪比克-吉齊斯-奧什基-巴瓦吉甘
Ojibwe_family_7,吉韦丁-阿南格,Giwedin-anang,吉韋丁-阿南格
Ojibwe_family_8,维克韦比吉-阿南格,Wiikwebiji-anang,維克韋比吉-阿南格
Ojibwe_family_9,瓦班,Waaban,瓦班
Ojibwe_family_10,宁加比,Ningaabi,寧加比
Ojibwe_family_11,吉齐斯-瓦班农,Giizis waabanong,吉齊斯-瓦班農
Ojibwe_family_12,吉齐斯-宁加比瓦农,Giizis ningaabiwanong,吉齊斯-寧加比瓦農
Ojibwe_family_13,吉齐萨格,Giizisag,吉齊薩格
Ojibwe_family_14,迪比克,Dibik,迪比克
Ojibwe_family_15,吉韦丁,Giwedin,吉韋丁
Ojibwe_family_16,吉米万,Gimiwan,吉米萬
Ojibwe_family_17,贡斯,Goons,貢斯
Ojibwe_family_18,宁姆基,Nimkii,寧姆基
Ojibwe_family_19,比内西-瓦萨莫,Binesi-waasamoo,比內西-瓦薩莫
Ojibwe_family_20,维克韦德,Wiikwed,維克韋德
Ojibwe_family_21,巴维蒂贡,Baawitigong,巴維蒂貢
Ojibwe_family_22,吉瓦什克,Giiwashk,吉瓦什克
Ojibwe_family_23,马尼杜-米尼斯,Manidoo-minis,馬尼杜-米尼斯
Ojibwe_family_24,纳诺-吉齐斯,Naano-giizis,納諾-吉齊斯
Ojibwe_family_25,米蒂戈米什-吉韦丁,Mitigomizh giwedin,米蒂戈米什-吉韋丁
Ojibwe_family_26,尼比-米尼斯,Nibi-minis,尼比-米尼斯
Ojibwe_family_27,米斯克瓦比昆,Miskwaabikoon,米斯克瓦比昆
Ojibwe_family_28,贡斯-维-马瓦什卡瓦,Goons wii-mawashkawaa,貢斯-維-馬瓦什卡瓦
Ojibwe_family_29,吉米万-伊纳凯温,Gimiwan-inaakewin,吉米萬-伊納凱溫
Ojibwe_family_30,尼比-扎吉德温,Nibi-zaagidwin,尼比-扎吉德溫
Ojibwe_family_31,阿基,Aki,阿基
Ojibwe_family_32,瓦吉夫,Wajiw,瓦吉夫
Ojibwe_family_33,齐比,Ziibi,齊比
Ojibwe_family_34,萨盖甘,Sagaigan,薩蓋甘
Ojibwe_family_35,吉奇加米,Gichigami,吉奇加米
Ojibwe_family_36,阿辛,Asin,阿辛
Ojibwe_family_37,米蒂戈米尼卡尼,Mitigominikaani,米蒂戈米尼卡尼
Ojibwe_family_38,马什卡维-阿基,Mashkawii-aki,馬什卡維-阿基
Ojibwe_family_39,维克韦东-阿基,Wiikwedong-aki,維克韋東-阿基
Ojibwe_family_40,尼宾,Niibing,尼賓
Ojibwe_family_41,米尼斯,Minis,米尼斯
Ojibwe_family_42,尼比-扎加甘,Nibi-zaaga'igan,尼比-扎加甘
Ojibwe_family_43,马什基格,Mashkiig,馬什基格
Ojibwe_family_44,埃什奎德夫-瓦吉夫,Eshkwaadew-wajiw,埃什奎德夫-瓦吉夫
Ojibwe_family_45,阿基-伊纳迪齐温,Aki-inaadiziwin,阿基-伊納迪齊溫
Ojibwe_family_46,宗吉-吉米万-伊纳凯温-阿基,Zoongi-gimiwan-inaakewin-aki,宗吉-吉米萬-伊納凱溫-阿基
Ojibwe_family_47,吉奇加米-伊纳迪齐温,Gichigami-inaadiziwin,吉奇加米-伊納迪齊溫
Ojibwe_family_48,埃什奎德夫-尼比,Eshkwaadew-nibi,埃什奎德夫-尼比
Ojibwe_family_49,米斯克瓦比克-吉奇-贡斯,Miskwaabik-gichi-goons,米斯克瓦比克-吉奇-貢斯
Ojibwe_family_50,阿辛-米尼斯-阿基,Asin-minis-aki,阿辛-米尼斯-阿基
Ojibwe_family_51,维,Wí,維
Ojibwe_family_52,汉维,Hanwí,漢維
Ojibwe_family_53,维查皮,Wičháȟpi,維查皮
Ojibwe_family_54,塔特,Tate,塔特
Ojibwe_family_55,马扎,Máza,馬扎
Ojibwe_family_56,沃,Wó,沃
Ojibwe_family_57,瓦基扬,Wakíŋyaŋ,瓦基揚
Ojibwe_family_58,瓦基扬-维尤特,Wakíŋyaŋ Wíyute,瓦基揚-維尤特
Ojibwe_family_59,马卡,Makȟá,馬卡
Ojibwe_family_60,赫,Ȟé,赫
Ojibwe_family_61,沙,Shá,沙
Ojibwe_family_62,特莱奇伊,Tł'ééchíí'í,特萊奇伊
Ojibwe_family_63,松,Sǫ',松
Ojibwe_family_64,尼尔奇,Nilch'i,尼爾奇
Ojibwe_family_65,纳尼尔措斯,Na'niłts'ǫs,納尼爾措斯
Ojibwe_family_66,亚斯,Yás,亞斯
Ojibwe_family_67,哈什切埃尔蒂伊,Haashch'ééłti'í,哈什切埃爾蒂伊
Ojibwe_family_68,阿察,Atsá,阿察
Ojibwe_family_69,纳哈斯赞,Nahasdzáán,納哈斯贊
Ojibwe_family_70,奇伊尔,Ch'ííł,奇伊爾
Ojibwe_family_71,塔瓦,Tawa,塔瓦
Ojibwe_family_72,穆亚,Muya,穆亞
Ojibwe_family_73,索胡,Sohu,索胡
Ojibwe_family_74,尼尔齐,Niltsi,尼爾齊
Ojibwe_family_75,穆英瓦,Muyingwa,穆英瓦
Ojibwe_family_76,莫亚,Mooya,莫亞
Ojibwe_family_77,帕穆伊瓦,Pamuyva,帕穆伊瓦
Ojibwe_family_78,皮洛拉武克,Pilolawuq,皮洛拉武克
Ojibwe_family_79,图瓦,Tuwa,圖瓦
Ojibwe_family_80,努瓦特,Nuvat,努瓦特
Ojibwe_family_81,皮辛,Pîsim,皮辛
Ojibwe_family_82,蒂帕斯基辛,Tipâskisim,蒂帕斯基辛
Ojibwe_family_83,阿塔克,Atâhk,阿塔克
Ojibwe_family_84,约廷,Yotin,約廷
Ojibwe_family_85,基莫万,Kimowan,基莫萬
Ojibwe_family_86,米斯科明,Miskomin,米斯科明
Ojibwe_family_87,皮蒂克万,Pitikwân,皮蒂克萬
Ojibwe_family_88,皮蒂克万-西普,Pitikwân sipw,皮蒂克萬-西普
Ojibwe_family_89,阿赫基,Ahki,阿赫基
Ojibwe_family_90,瓦奇伊,Waciy,瓦奇伊
Ojibwe_family_91,卡伦纳,Karenna,卡倫納
Ojibwe_family_92,阿申塔,Atshenta,阿申塔
Ojibwe_family_93,蒂亚嫩,Thiá:nen,蒂亞嫩
Ojibwe_family_94,奥什肯特,Ohskente,奧什肯特
Ojibwe_family_95,卡农赫雷斯,Kanonhweres,卡農赫雷斯
Ojibwe_family_96,卡内克瓦拉克,Kanekwarak,卡內克瓦拉克
Ojibwe_family_97,拉文尼约,Rawenniyo,拉文尼約
Ojibwe_family_98,特瓦滕农,Tewatennonh,特瓦滕農
Ojibwe_family_99,阿凯内,Ake:ne,阿凱內
Ojibwe_family_100,泰翁蒂亚特,Teiontiate,泰翁蒂亞特
Ojibwe_family_101,瓦巴诺,Waabanoo,瓦巴諾
Ojibwe_family_102,迪比克-吉齐斯-伊纳凯温,Dibik-giizis inaakewin,迪比克-吉齊斯-伊納凱溫
Ojibwe_family_103,吉齐萨格-奥尼希辛,Giizisag onizhishin,吉齊薩格-奧尼希辛
Ojibwe_family_104,马尼杜-维克韦德,Manidoo-wiikwed,馬尼杜-維克韋德
Ojibwe_family_105,米斯克瓦比克-阿基,Miskwaabik-aki,米斯克瓦比克-阿基
Ojibwe_family_106,埃什奎德夫-尼比-扎吉德温,Eshkwaadew-nibi zaagidwin,埃什奎德夫-尼比-扎吉德溫
Ojibwe_family_107,瓦纳吉,Wanagi,瓦納吉
Ojibwe_family_108,耶伊比切伊,Yéi bi chei,耶伊比切伊
Ojibwe_family_109,宗吉-吉韦丁-吉米万,Zoongi giwedin gimiwan,宗吉-吉韋丁-吉米萬
Ojibwe_family_110,瓦吉夫-贡斯-扎吉德温,Wajiw goons zaagidwin,瓦吉夫-貢斯-扎吉德溫
Ojibwe_family_111,阿基-阿辛-尼比-扎吉德温,Aki asin nibi zaagidwin,阿基-阿辛-尼比-扎吉德溫
Ojibwe_family_112,埃什奎德夫-米蒂戈米尼卡尼,Eshkwaadew mitigominikaani,埃什奎德夫-米蒂戈米尼卡尼
Ojibwe_family_113,迪比克-吉齐斯-维克韦德,Dibik-giizis wiikwed,迪比克-吉齊斯-維克韋德
Ojibwe_family_114,吉齐斯-维克韦德,Giizis wiikwed,吉齊斯-維克韋德
Ojibwe_family_115,瓦班-瓦萨莫,Waaban waasamoo,瓦班-瓦薩莫
Ojibwe_family_116,宁加比-瓦萨莫,Ningaabi waasamoo,寧加比-瓦薩莫
Ojibwe_family_117,米斯克瓦比克-阿基-马什卡维,Miskwaabik aki mashkawii,米斯克瓦比克-阿基-馬什卡維
Ojibwe_family_118,吉奇加米-阿辛-瓦吉夫,Gichigami asin wajiw,吉奇加米-阿辛-瓦吉夫
