key,cz,en,ch
Ojibwe_female_1,肖奇特利,Xochitl,肖奇特利
Ojibwe_female_2,梅兹利,Meztli,梅茲利
Ojibwe_female_3,伊泽尔,Izel,伊澤爾
Ojibwe_female_4,科兹卡特,Cozcatl,科茲卡特
Ojibwe_female_5,齐亚尼亚,Zyanya,齊亞尼亞
Ojibwe_female_6,纳卡利娜,Necallina,納卡利娜
Ojibwe_female_7,托奇特利娜,Tochtlina,托奇特利娜
Ojibwe_female_8,科亚特利库埃,Coatlicue,科亞特利庫埃
Ojibwe_female_9,查尔丘特里魁,Chalchiuhtlicue,查爾丘特里魁
Ojibwe_female_10,希洛嫩,Xilonen,希洛嫩
Ojibwe_female_11,特拉佐尔特奥特尔,Tlazolteotl,特拉佐爾特奧特爾
Ojibwe_female_12,托奇,Toci,托奇
Ojibwe_female_13,肖奇特利莉,Xochitlalli,肖奇特利莉
Ojibwe_female_14,梅兹利娜,Meztlina,梅茲利娜
Ojibwe_female_15,伊泽莉娜,Izelina,伊澤莉娜
Ojibwe_female_16,科兹卡特琳,Cozcatlin,科茲卡特琳
Ojibwe_female_17,齐亚尼娅,Zyaniya,齊亞尼婭
Ojibwe_female_18,纳卡莉茨,Necaltzin,納卡莉茨
Ojibwe_female_19,托奇特莉茨,Tochtlitzin,托奇特莉茨
Ojibwe_female_20,科亚特莉茨,Coatlitizin,科亞特莉茨
Ojibwe_female_21,查尔丘特莉茨,Chalchiuhtlitzin,查爾丘特莉茨
Ojibwe_female_22,希洛莉娜,Xilonina,希洛莉娜
Ojibwe_female_23,特拉佐尔莉茨,Tlazolitzin,特拉佐爾莉茨
Ojibwe_female_24,托奇娜,Tocina,托奇娜
Ojibwe_female_25,肖奇奎策尔,Xochiquetzal,肖奇奎策爾
Ojibwe_female_26,梅兹利茨,Meztlitzin,梅茲利茨
Ojibwe_female_27,伊泽特zin,Izettzin,伊澤特津
Ojibwe_female_28,科兹卡明,Cozcatmina,科茲卡明
Ojibwe_female_29,齐亚尼茨,Zyantzin,齊亞尼茨
Ojibwe_female_30,纳卡拉克,Necallac,納卡拉克
Ojibwe_female_31,托奇特拉克,Tochtlac,托奇特拉克
Ojibwe_female_32,科亚特拉克,Coatlac,科亞特拉克
Ojibwe_female_33,查尔丘特拉克,Chalchiuhtlac,查爾丘特拉克
Ojibwe_female_34,希洛拉克,Xilonlac,希洛拉克
Ojibwe_female_35,特拉佐尔拉克,Tlazolac,特拉佐爾拉克
Ojibwe_female_36,托奇拉克,Toclac,托奇拉克
Ojibwe_female_37,肖奇特津,Xochitzin,肖奇特津
Ojibwe_female_38,梅兹马尔,Meztlmar,梅茲馬爾
Ojibwe_female_39,伊泽马尔,Izelmar,伊澤馬爾
Ojibwe_female_40,科兹卡马尔,Cozcatmar,科茲卡馬爾
Ojibwe_female_41,齐亚马,Zyamar,齊亞馬
Ojibwe_female_42,纳卡马,Necalmar,納卡馬
Ojibwe_female_43,托奇马,Tochtmar,托奇馬
Ojibwe_female_44,科亚特马,Coatmar,科亞特馬
Ojibwe_female_45,查尔丘特马,Chalchiuhtm ar,查爾丘特馬
Ojibwe_female_46,希洛马,Xilonmar,希洛馬
Ojibwe_female_47,特拉佐尔马,Tlazolmar,特拉佐爾馬
Ojibwe_female_48,托奇马,Tocmar,托奇馬
