key,cz,en,ch
Ojibwe_male_1,阿卡马皮奇特利,Acamapichtli,阿卡馬皮奇特利
Ojibwe_male_2,伊茨科阿特尔,Itzcoatl,伊茨科阿特爾
Ojibwe_male_3,阿萨亚卡特,Axayacatl,阿薩亞卡特
Ojibwe_male_4,蒂佐克,Tizoc,蒂佐克
Ojibwe_male_5,阿维佐特尔,Ahuitzotl,阿維佐特爾
Ojibwe_male_6,蒙特祖马,Moctezuma,蒙特祖馬
Ojibwe_male_7,库奥特莫克,Cuauhtemoc,庫奧特莫克
Ojibwe_male_8,奎特拉瓦克,Cuitlahuac,奎特拉瓦克
Ojibwe_male_9,内扎华尔科约特尔,Netzahualcoyotl,內扎華爾科約特爾
Ojibwe_male_10,维齐洛波奇特利,Huitzilopochtli,維齊洛波奇特利
Ojibwe_male_11,特诺奇,Tenoch,特諾奇
Ojibwe_male_12,奇马尔波波卡,Chimalpopoca,奇馬爾波波卡
Ojibwe_male_13,维齐利维特尔,Huitzilihuitl,維齊利維特爾
Ojibwe_male_14,特拉卡埃莱尔,Tlacaelel,特拉卡埃萊爾
Ojibwe_male_15,阿兹塔米特,Aztamitl,阿茲塔米特
Ojibwe_male_16,阿兹塔特尔,Azcatl,阿茲塔特爾
Ojibwe_male_17,卡卡梅津,Cacamatzin,卡卡梅津
Ojibwe_male_18,阿托托斯特利,Atotoztli,阿托托斯特利
Ojibwe_male_19,伊兹特利,Iztli,伊茲特利
Ojibwe_male_20,夸乌特利,Cuauhtli,夸烏特利
Ojibwe_male_21,托纳蒂,Tonati,托納蒂
Ojibwe_male_22,科阿特尔,Coatl,科阿特爾
Ojibwe_male_23,特特尔,Tetl,特特爾
Ojibwe_male_24,休特尔,Xiuhtl,休特爾
Ojibwe_male_25,西特拉尔,Citlal,西特拉爾
Ojibwe_male_26,约华尔,Yohual,約華爾
Ojibwe_male_27,埃赫卡特,Ehecatl,埃赫卡特
Ojibwe_male_28,奎扎尔,Quetzal,奎扎爾
Ojibwe_male_29,特拉洛克,Tlaloc,特拉洛克
