key,cz,en,ch
Persepolis_female_1,阿娜希塔达克娜,Anahitadakht,阿娜希塔達克娜
Persepolis_female_2,阿托莎班努,Atossabanu,阿托莎班努
Persepolis_female_3,斯塔蒂拉伊尼斯,Statirainis,斯塔蒂拉伊尼斯
Persepolis_female_4,帕丽萨蒂斯达克娜,Parysatisdakht,帕麗薩蒂斯達克娜
Persepolis_female_5,阿米蒂斯班努,Amyitisbanu,阿米蒂斯班努
Persepolis_female_6,密娜拉伊娜,Mithraina,密娜拉伊娜
Persepolis_female_7,阿胡拉伊尼斯,Ahurainis,阿胡拉伊尼斯
Persepolis_female_8,马兹达班努,Mazdabanu,馬茲達班努
Persepolis_female_9,法拉瓦哈达克娜,Faravahdakht,法拉瓦哈達克娜
Persepolis_female_10,阿尔德维苏拉班努,Ardvisurabanu,阿爾德維蘇拉班努
Persepolis_female_11,斯彭塔伊娜,Spentaina,斯彭塔伊娜
Persepolis_female_12,阿沙班努,Ashabanu,阿沙班努
Persepolis_female_13,沃胡马纳达克娜,Vohumanadakht,沃胡馬納達克娜
Persepolis_female_14,阿姆沙普尔伊尼斯,Ameshapurinis,阿姆沙普爾伊尼斯
Persepolis_female_15,提什娜里伊娜,Tishtriina,提什娜里伊娜
Persepolis_female_16,泽尔万班努,Zervanbanu,澤爾萬班努
Persepolis_female_17,达拉达克娜,Darahdakht,達拉達克娜
Persepolis_female_18,库鲁什伊娜,Kurushina,庫魯什伊娜
Persepolis_female_19,克谢尔克班努,Xerxesbanu,克謝爾克班努
Persepolis_female_20,阿契美尼达克娜,Achaemenidakht,阿契美尼達克娜
Persepolis_female_21,帕提亚伊尼斯,Parthainis,帕提亞伊尼斯
Persepolis_female_22,巴克娜里亚伊娜,Bactriana,巴克娜里亞伊娜
Persepolis_female_23,粟娜班努,Sogdianabanu,粟娜班努
Persepolis_female_24,阿拉霍西亚达克娜,Arachosiadakht,阿拉霍西亞達克娜
Persepolis_female_25,埃兰伊娜,Elamina,埃蘭伊娜
Persepolis_female_26,米底班努,Medabanu,米底班努
Persepolis_female_27,扎格罗斯达克娜,Zagrosdakht,扎格羅斯達克娜
Persepolis_female_28,达什娜伊尼斯,Dashtinis,達什娜伊尼斯
Persepolis_female_29,库赫伊娜,Kuhina,庫赫伊娜
Persepolis_female_30,鲁德班努,Rudbanu,魯德班努
Persepolis_female_31,阿班达克娜,Abandakht,阿班達克娜
Persepolis_female_32,阿努什伊娜,Anushina,阿努什伊娜
Persepolis_female_33,阿尔达希尔班努,Ardashirbanu,阿爾達希爾班努
Persepolis_female_34,戈什塔斯帕达克娜,Goshtaspadakht,戈什塔斯帕達克娜
Persepolis_female_35,维什塔斯帕伊尼斯,Vishtaspainis,維什塔斯帕伊尼斯
Persepolis_female_36,菲鲁兹伊娜,Firuzina,菲魯茲伊娜
Persepolis_female_37,迪兹班努,Dezbanu,迪茲班努
Persepolis_female_38,沙赫尔达克娜,Shahrdakht,沙赫爾達克娜
Persepolis_female_39,卡伦伊尼斯,Karuninis,卡倫伊尼斯
Persepolis_female_40,舒什伊娜,Shushina,舒什伊娜
Persepolis_female_41,亚兹德班努,Yazdbanu,亞茲德班努
Persepolis_female_42,克尔曼达克娜,Kermandakht,克爾曼達克娜
Persepolis_female_43,霍尔木兹伊尼斯,Hormuzinis,霍爾木茲伊尼斯
Persepolis_female_44,霍拉姆伊娜,Khoramina,霍拉姆伊娜
Persepolis_female_45,法尔哈德班努,Farhadbanu,法爾哈德班努
Persepolis_female_46,巴赫拉姆达克娜,Bahramdakht,巴赫拉姆達克娜
Persepolis_female_47,沙普尔伊尼斯,Shapurinis,沙普爾伊尼斯
Persepolis_female_48,纳尔塞伊娜,Narseina,納爾塞伊娜
Persepolis_female_49,卑路斯班努,Perozbanu,卑路斯班努
Persepolis_female_50,霍斯劳达克娜,Khosrowdakht,霍斯勞達克娜
Persepolis_female_51,罗多古娜伊尼斯,Rhodoguneinis,羅多古娜伊尼斯
Persepolis_female_52,弗拉塔伊娜,Phraatina,弗拉塔伊娜
Persepolis_female_53,奥罗德斯班努,Orodesbanu,奧羅德斯班努
Persepolis_female_54,米娜拉达梯达克娜,Mithradatesdakht,米娜拉達梯達克娜
Persepolis_female_55,阿尔塔薛西斯伊尼斯,Artaxerxesinis,阿爾塔薛西斯伊尼斯
Persepolis_female_56,冈比西斯伊娜,Cambysesina,岡比西斯伊娜
Persepolis_female_57,巴尔迪亚班努,Bardiyabanu,巴爾迪亞班努
Persepolis_female_58,叙达尔涅斯达克娜,Hydarnesdakht,敘達爾涅斯達克娜
Persepolis_female_59,达提斯伊尼斯,Datisinis,達提斯伊尼斯
Persepolis_female_60,阿尔塔费尼斯伊娜,Artaphernesina,阿爾塔費尼斯伊娜
Persepolis_female_61,鲁斯塔姆班努,Rostambanu,魯斯塔姆班努
Persepolis_female_62,贾姆希德达克娜,Jamshiddakht,賈姆希德達克娜
Persepolis_female_63,费里顿伊尼斯,Feriduninis,費里頓伊尼斯
Persepolis_female_64,阿拉什伊娜,Arashina,阿拉什伊娜
Persepolis_female_65,斯皮塔马班努,Spitamabanu,斯皮塔馬班努
Persepolis_female_66,大流莎达克娜,Dariusdakht,大流莎達克娜
Persepolis_female_67,居鲁莎伊尼斯,Cyrusinis,居魯莎伊尼斯
Persepolis_female_68,帕萨尔加德伊娜,Pasargadaeina,帕薩爾加德伊娜
Persepolis_female_69,波斯波利斯班努,Persepolisbanu,波斯波利斯班努
Persepolis_female_70,苏萨达克娜,Susadakht,蘇薩達克娜
Persepolis_female_71,巴比伦伊尼斯,Babyloninis,巴比倫伊尼斯
Persepolis_female_72,埃克巴坦那伊娜,Ecbatanaena,埃克巴坦那伊娜
Persepolis_female_73,萨迪斯班努,Sardisbanu,薩迪斯班努
Persepolis_female_74,巴克娜拉达克娜,Bactradakht,巴克娜拉達克娜
Persepolis_female_75,戈尔迪翁伊尼斯,Gordioninis,戈爾迪翁伊尼斯
Persepolis_female_76,塞拉伊奈伊娜,Celaenaeina,塞拉伊奈伊娜
Persepolis_female_77,西罗波利斯班努,Cyropolisbanu,西羅波利斯班努
Persepolis_female_78,达拉布达克娜,Darabdakht,達拉布達克娜
Persepolis_female_79,达斯库里乌姆伊尼斯,Dascyliuminis,達斯庫里烏姆伊尼斯
Persepolis_female_80,多里库斯伊娜,Doriscusina,多里庫斯伊娜
Persepolis_female_81,甘扎克班努,Ganzakbanu,甘扎克班努
Persepolis_female_82,哈利卡纳苏斯达克娜,Halicarnassusdakht,哈利卡納蘇斯達克娜
Persepolis_female_83,伊斯法罕伊尼斯,Isfahaninis,伊斯法罕伊尼斯
Persepolis_female_84,伊苏斯伊娜,Issusina,伊蘇斯伊娜
Persepolis_female_85,伊斯塔赫尔班努,Istakhrbanu,伊斯塔赫爾班努
Persepolis_female_86,纳哈万德达克娜,Nahavanddakht,納哈萬德達克娜
Persepolis_female_87,内里兹伊尼斯,Neyrizinis,內里茲伊尼斯
Persepolis_female_88,彭吉肯娜伊娜,Panjakentina,彭吉肯娜伊娜
Persepolis_female_89,雷伊班努,Raybanu,雷伊班努
Persepolis_female_90,扎德拉卡尔塔达克娜,Zadracartadakht,扎德拉卡爾塔達克娜
Persepolis_female_91,卡什马尔伊尼斯,Kashmarinis,卡什馬爾伊尼斯
Persepolis_female_92,阿尔德里卡伊娜,Ardericcaina,阿爾德里卡伊娜
Persepolis_female_93,博里扎班努,Boryzabanu,博里扎班努
Persepolis_female_94,埃翁达克娜,Eiondakht,埃翁達克娜
Persepolis_female_95,戈纳巴德伊尼斯,Gonabadinis,戈納巴德伊尼斯
Persepolis_female_96,阿斯塔伊娜,Astaina,阿斯塔伊娜
Persepolis_female_97,法拉瓦班努,Faravabanu,法拉瓦班努
Persepolis_female_98,托尔巴达克娜,Torbadakht,托爾巴達克娜
Persepolis_female_99,比尔詹伊尼斯,Birjaninis,比爾詹伊尼斯
Persepolis_female_100,扎赫伊娜,Zahina,扎赫伊娜
Persepolis_female_101,伊南娜达克娜,Inannadakht,伊南娜達克娜
Persepolis_female_102,伊什塔尔班努,Ishtarbanu,伊什塔爾班努
Persepolis_female_103,普阿比伊尼斯,Puabiinis,普阿比伊尼斯
Persepolis_female_104,尼托克丽丝伊娜,Nitocrisina,尼托克麗絲伊娜
Persepolis_female_105,塞米勒米斯达克娜,Semiramisdakht,塞米勒米斯達克娜
Persepolis_female_106,恩利尔班努,Enlilbanu,恩利爾班努
Persepolis_female_107,恩基伊尼斯,Enkiinis,恩基伊尼斯
Persepolis_female_108,马尔杜克伊娜,Mardukina,馬爾杜克伊娜
Persepolis_female_109,纳布达克娜,Nabudakht,納布達克娜
Persepolis_female_110,沙马什班努,Shamashbanu,沙馬什班努
Persepolis_female_111,辛伊尼斯,Sininis,辛伊尼斯
Persepolis_female_112,阿达德伊娜,Adadina,阿達德伊娜
Persepolis_female_113,宁胡尔萨格达克娜,Ninhursagdakht,寧胡爾薩格達克娜
Persepolis_female_114,杜木兹班努,Dumuzibanu,杜木茲班努
Persepolis_female_115,内尔加尔伊尼斯,Nergalinis,內爾加爾伊尼斯
Persepolis_female_116,埃列什基伽勒伊娜,Ereshkigalina,埃列什基伽勒伊娜
Persepolis_female_117,扎巴巴达克娜,Zababadakht,扎巴巴達克娜
Persepolis_female_118,尼努尔塔班努,Ninurtabanu,尼努爾塔班努
Persepolis_female_119,乌图伊尼斯,Utuinis,烏圖伊尼斯
Persepolis_female_120,南舍伊娜,Nansheina,南舍伊娜
Persepolis_female_121,宁卡西达克娜,Ninkasidakht,寧卡西達克娜
Persepolis_female_122,宁松班努,Ninsunbanu,寧松班努
Persepolis_female_123,卢伽尔伊尼斯,Lugalinis,盧伽爾伊尼斯
Persepolis_female_124,恩美卡尔伊娜,Enmerkarina,恩美卡爾伊娜
Persepolis_female_125,吉尔伽美什达克娜,Gilgameshdakht,吉爾伽美什達克娜
Persepolis_female_126,舒尔吉班努,Shulgibanu,舒爾吉班努
Persepolis_female_127,乌尔纳姆伊尼斯,UrNammuinis,烏爾納姆伊尼斯
Persepolis_female_128,汉谟拉比伊娜,Hammurabina,漢謨拉比伊娜
Persepolis_female_129,萨尔贡达克娜,Sargondakht,薩爾貢達克娜
Persepolis_female_130,纳拉姆辛班努,NaramSinbanu,納拉姆辛班努
Persepolis_female_131,提格拉娜帕拉沙尔伊尼斯,TiglathPileserinis,提格拉娜帕拉沙爾伊尼斯
Persepolis_female_132,辛那赫里布伊娜,Sennacheribina,辛那赫里布伊娜
Persepolis_female_133,阿淑尔巴尼拔达克娜,Ashurbanipaldakht,阿淑爾巴尼拔達克娜
Persepolis_female_134,尼布甲尼娅班努,Nebuchadnezzarbanu,尼布甲尼娅班努
Persepolis_female_135,阿淑尔伊尼斯,Ashurinis,阿淑爾伊尼斯
Persepolis_female_136,乌鲁克伊娜,Urukina,烏魯克伊娜
Persepolis_female_137,乌尔达克娜,Urdakht,烏爾達克娜
Persepolis_female_138,拉格什班努,Lagashbanu,拉格什班努
Persepolis_female_139,基什伊尼斯,Kishinis,基什伊尼斯
Persepolis_female_140,尼普尔伊娜,Nippurina,尼普爾伊娜
Persepolis_female_141,埃利都达克娜,Eridudakht,埃利都達克娜
Persepolis_female_142,乌玛班努,Ummabanu,烏瑪班努
Persepolis_female_143,拉尔萨伊尼斯,Larsainis,拉爾薩伊尼斯
Persepolis_female_144,伊辛伊娜,Isinina,伊辛伊娜
Persepolis_female_145,马里达克娜,Maridakht,馬里達克娜
Persepolis_female_146,卡拉赫班努,Kalhubanu,卡拉赫班努
Persepolis_female_147,杜尔沙鲁金伊尼斯,DurSharrukininis,杜爾沙魯金伊尼斯
Persepolis_female_148,哈兰伊娜,Harranina,哈蘭伊娜
Persepolis_female_149,卡尔赫米什达克娜,Carchemishdakht,卡爾赫米什達克娜
Persepolis_female_150,米坦尼班努,Mitannibanu,米坦尼班努
Persepolis_female_151,哈图沙伊尼斯,Hattusainis,哈圖沙伊尼斯
Persepolis_female_152,加喜娜伊娜,Kassiteina,加喜娜伊娜
Persepolis_female_153,安善达克娜,Anshandakht,安善達克娜
Persepolis_female_154,苏美尔班努,Sumerbanu,蘇美爾班努
Persepolis_female_155,阿卡德伊尼斯,Akkadinis,阿卡德伊尼斯
Persepolis_female_156,巴比伦尼亚伊娜,Babyloniaina,巴比倫尼亞伊娜
Persepolis_female_157,亚述达克娜,Assyriadakht,亞述達克娜
Persepolis_female_158,阿勃祖班努,Abzubanu,阿勃祖班努
Persepolis_female_159,迪尔巴娜伊尼斯,Dilbatinis,迪爾巴娜伊尼斯
Persepolis_female_160,库萨伊娜,Kuthaina,庫薩伊娜
Persepolis_female_161,吉尔苏达克娜,Girsudakht,吉爾蘇達克娜
Persepolis_female_162,乌尔凯什班努,Urkeshbanu,烏爾凱什班努
Persepolis_female_163,努济伊尼斯,Nuziinis,努濟伊尼斯
Persepolis_female_164,阿拉帕克伊娜,Alapakhina,阿拉帕克伊娜
Persepolis_female_165,提尔巴尔西普达克娜,TilBarsipdakht,提爾巴爾西普達克娜
Persepolis_female_166,瓦舒卡尼班努,Washukannibanu,瓦舒卡尼班努
Persepolis_female_167,哈尔帕伊尼斯,Halabinis,哈爾帕伊尼斯
Persepolis_female_168,乌加里娜伊娜,Ugaritina,烏加里娜伊娜
Persepolis_female_169,比布鲁斯达克娜,Byblosdakht,比布魯斯達克娜
Persepolis_female_170,阿勒颇班努,Aleppobanu,阿勒頗班努
Persepolis_female_171,大马莎革伊尼斯,Damascusinis,大馬莎革伊尼斯
Persepolis_female_172,泰尔伊娜,Tyreina,泰爾伊娜
Persepolis_female_173,西顿达克娜,Sidondakht,西頓達克娜
Persepolis_female_174,亚兰班努,Arambanu,亞蘭班努
Persepolis_female_175,阿玛尔纳伊尼斯,Amarnainis,阿瑪爾納伊尼斯
Persepolis_female_176,阿赫那吞伊娜,Akhenatenina,阿赫那吞伊娜
Persepolis_female_177,库萨尔达克娜,Kussaradakht,庫薩爾達克娜
Persepolis_female_178,米利都班努,Miletusbanu,米利都班努
Persepolis_female_179,以弗所伊尼斯,Ephesusinis,以弗所伊尼斯
Persepolis_female_180,吕底亚伊娜,Lydiaina,呂底亞伊娜
Persepolis_female_181,弗里吉亚达克娜,Phrygiadakht,弗里吉亞達克娜
Persepolis_female_182,乌拉尔图班努,Urartubanu,烏拉爾圖班努
Persepolis_female_183,凡城伊尼斯,Vaninis,凡城伊尼斯
Persepolis_female_184,吐施帕伊娜,Tushpaina,吐施帕伊娜
Persepolis_female_185,埃里温达克娜,Erebunidakht,埃里溫達克娜
Persepolis_female_186,阿达布班努,Adabbanu,阿達布班努
Persepolis_female_187,舒鲁帕克伊尼斯,Shuruppakinis,舒魯帕克伊尼斯
Persepolis_female_188,巴德提比拉伊娜,BadTibiraina,巴德提比拉伊娜
Persepolis_female_189,扎巴拉姆达克娜,Zabalamdakht,扎巴拉姆達克娜
Persepolis_female_190,阿克沙克班努,Akshakbanu,阿克沙克班努
Persepolis_female_191,埃什南纳伊尼斯,Eshnunnainis,埃什南納伊尼斯
Persepolis_female_192,阿尔贝拉伊娜,Arbelaina,阿爾貝拉伊娜
Persepolis_female_193,西帕尔达克娜,Sippardakht,西帕爾達克娜
Persepolis_female_194,波尔西帕班努,Borsippabanu,波爾西帕班努
Persepolis_female_195,卡什提里亚什伊尼斯,Kashtiliashinis,卡什提里亞什伊尼斯
Persepolis_female_196,布尔那布里亚什伊娜,BurnaBuriashina,布爾那布里亞什伊娜
Persepolis_female_197,苏萨尼亚达克娜,Susianadakht,蘇薩尼亞達克娜
Persepolis_female_198,卢伽尔班达班努,Lugalbandabanu,盧伽爾班達班努
Persepolis_female_199,古地亚伊尼斯,Gudeainis,古地亞伊尼斯
Persepolis_female_200,伊比辛伊娜,IbbiSinina,伊比辛伊娜
Persepolis_female_201,伊什塔尔伊娜,Ishtarina,伊什塔爾伊娜
Persepolis_female_202,伊南娜班努,Inannabanu,伊南娜班努
Persepolis_female_203,宁胡尔萨格伊尼斯,Ninhursaginis,寧胡爾薩格伊尼斯
Persepolis_female_204,南舍达克娜,Nanshedakht,南舍達克娜
Persepolis_female_205,宁卡西班努,Ninkasibanu,寧卡西班努
Persepolis_female_206,埃列什基伽勒伊尼斯,Ereshkigalisinis,埃列什基伽勒伊尼斯
Persepolis_female_207,阿娜希塔伊尼斯,Anahitainis,阿娜希塔伊尼斯
Persepolis_female_208,阿托莎达克娜,Atossadakht,阿托莎達克娜
Persepolis_female_209,斯塔蒂拉班努,Statirabanu,斯塔蒂拉班努
Persepolis_female_210,帕丽萨蒂斯伊娜,Parysatisina,帕麗薩蒂斯伊娜
Persepolis_female_211,阿米蒂斯达克娜,Amyitisdakht,阿米蒂斯達克娜
