key,cz,en,ch
roma_city1_1,忒斯荷喀尼亚,Teshekiania,忒斯荷喀尼亞
roma_city1_2,阿兰诺耳西亚,Arannorsia,阿蘭諾耳西亞
roma_city1_3,忒撒各太,Tesagotai,忒撒各太
roma_city1_4,撒其亚,Saqia,撒其亞
roma_city1_5,蓬忒姆,Pontem,蓬忒姆
roma_city1_6,特兰斯卡斯匹亚,Transcaspia,特蘭斯卡斯匹亞
roma_city1_7,帕耳尼亚,Parnia,帕耳尼亞
roma_city1_8,尼撒奥斯,Nissaos,尼撒奧斯
roma_city1_9,希拉刻涅,Silacene,希拉刻涅
roma_city1_10,奥索刻洛本底,Osochelobendi,奧索刻洛本底
roma_city1_11,瑟焦里亚,Serjoria,瑟焦里亞
roma_city1_12,乔拉斯米亚,Chorasmiya,喬拉斯米亞
roma_city1_13,马撒各太,Masagotai,馬撒各太
roma_city1_14,索各底亚,Sogdiana,索各底亞
roma_city1_15,特兰索希亚那,Transoxiana,特蘭索希亞那
roma_city1_16,玛基亚那亚历山大,Margiana Alexandria,瑪基亞那亞歷山大
roma_city1_17,忒黎巴克特拉,Teribactra,忒黎巴克特拉
roma_city1_18,诺拉,Nora,諾拉
roma_city1_19,马拉坎达,Maracanda,馬拉坎達
roma_city1_20,诺提卡,Notica,諾提卡
roma_city1_21,撒耳梅斯,Sarmes,撒耳梅斯
roma_city1_22,奥斯蔻柏拉,Oscopola,奧斯蔻柏拉
roma_city1_23,阿帕西亚恺,Apasiaca,阿帕西亞愷
roma_city1_24,雅刻腊底亚,Iacradia,雅刻臘底亞
roma_city1_25,艾莎特亚历山大,Alexandria Eschate,艾莎特亞歷山大
roma_city1_26,马撒各提亚,Masagotia,馬撒各提亞
roma_city1_27,大爱奥尼亚,Magna Ionia,大愛奧尼亞
roma_city1_28,科弥底斯,Comidis,科彌底斯
roma_city1_29,托查利亚,Tocharia,托查利亞
roma_city1_30,卡息亚,Cassia,卡息亞
roma_city1_31,托查拉,Tochara,托查拉
roma_city1_32,伊赛敦,Issedon,伊賽敦
roma_city1_33,赛里斯赛拉,Seres Sera,賽里斯賽拉
roma_city1_34,忒撒帖瑟涅,Tesatesene,忒撒帖瑟涅
roma_city1_35,俄索亚,Ossoia,俄索亞
roma_city1_36,埃梅焦埃,Emejoae,埃梅焦埃
roma_city1_37,伊赛多涅斯,Issedones,伊賽多涅斯
roma_city1_38,帕撒尼亚,Passania,帕撒尼亞
roma_city1_39,撒卡劳恺,Sacaraucae,撒卡勞愷
roma_city1_40,俄及浦斯,Oedipus,俄及浦斯
roma_city1_41,赛恺,Secea,賽愷
