key,cz,en,ch
roma_clan_1,阿里斯,Aris,阿里斯
roma_clan_2,拉菲尔,Raphael,拉菲爾
roma_clan_3,斯陶拉,Staura,斯陶拉
roma_clan_4,格雷戈,Greg,格雷戈
roma_clan_5,罗斯,Ross,羅斯
roma_clan_6,卡利斯,Kalis,卡利斯
roma_clan_7,格雷戈,Gregg,格雷戈
roma_clan_8,提亚诺斯,Tianos,提亞諾斯
roma_clan_9,埃宇革尼,Eugenios,埃宇革尼
roma_clan_10,尼科得斯,Nikodes,尼科得斯
roma_clan_11,亚历罗斯,Alexros,亞歷羅斯
roma_clan_12,亚历山大,Alexander,亞歷山大
roma_clan_13,亚里士,Aristes,亞里士
roma_clan_14,君士坦丁,Constantine,君士坦丁
roma_clan_15,利奥,Leo,利奧
roma_clan_16,阿纳托利,Anatoly,阿納托利
roma_clan_17,米海尔,Michael,米海爾
roma_clan_18,尼古劳斯,Nicholas,尼古勞斯
roma_clan_19,尼古拉斯,Nicolas,尼古拉斯
roma_clan_20,狄奥多罗,Theodoros,狄奧多羅
roma_clan_21,莱克修斯,Lexius,萊克修斯
roma_clan_22,希拉克略,Heraclius,希拉克略
roma_clan_23,安东尼,Anthony,安東尼
roma_clan_24,莫里斯,Maurice,莫里斯
roma_clan_25,巴西尔,Basil,巴西爾
roma_clan_26,科米塔斯,Comitas,科米塔斯
roma_clan_27,安条克,Antioch,安條克
roma_clan_28,尼基塔斯,Nikitas,尼基塔斯
roma_clan_29,米哈伊尔,Mikhail,米哈伊爾
roma_clan_30,腓托斯,Photos,腓托斯
roma_clan_31,卢卡斯,Lucas,盧卡斯
roma_clan_32,查士丁尼,Justinian,查士丁尼
roma_clan_33,马卡,Macar,馬卡
roma_clan_34,伊塞阿斯,Isaias,伊塞阿斯
roma_clan_35,提塞奥斯,Tiseos,提塞奧斯
roma_clan_36,加布里埃,Gabriel,加布里埃
roma_clan_37,阿波洛尼,Apollonius,阿波洛尼
roma_clan_38,达尼埃尔,Daniel,達尼埃爾
roma_clan_39,帕特里克,Patrick,帕特里克
roma_clan_40,约阿基姆,Joachim,約阿基姆
