key,cz,en,ch
roma_country_1,波利西亚,Polisia,波利西亞
roma_country_2,厄毕克洛,Epiklo,厄畢克洛
roma_country_3,密泽亚,Mysia,密澤亞
roma_country_4,迪亚特马,Diathma,迪亞特馬
roma_country_5,阿尔格龙,Arglon,阿爾格龍
roma_country_6,安普雷拉,Ampraela,安普雷拉
roma_country_7,撒涅尔帕,Sanierpa,撒涅爾帕
roma_country_8,拉格塔,Lageta,拉格塔
roma_country_9,洛泰,Lotai,洛泰
roma_country_10,阿弥塔,Amita,阿彌塔
roma_country_11,加尔玛,Galma,加爾瑪
roma_country_12,俄尔提,Erti,俄爾提
roma_country_13,泽翁尼卡,Zevonica,澤翁尼卡
roma_country_14,博洛迪,Bolodi,博洛迪
roma_country_15,吕卡隆,Lykalon,呂卡隆
roma_country_16,菲卡翁,Phicaon,菲卡翁
roma_country_17,厄尼拉,Enila,厄尼拉
roma_country_18,席隆,Shilon,席隆
roma_country_19,达鲁斯特,Darust,達魯斯特
roma_country_20,沃斯特,Vost,沃斯特
roma_country_21,帕拉文,Paravin,帕拉文
roma_country_22,萨戈特,Sagot,薩戈特
roma_country_23,杰屈朗,Jequan,杰屈朗
roma_country_24,加仑,Galun,加侖
roma_country_25,奥克斯霍尔,Oxhall,奧克斯霍爾
roma_country_26,洛瓦尔,Lovar,洛瓦爾
roma_country_27,奥斯替康,Osticon,奧斯替康
roma_country_28,博洛迪,Bolodii,博洛迪
roma_country_29,吕卡隆,Lykallon,呂卡隆
roma_country_30,瓦拉戈斯,Valagos,瓦拉戈斯
roma_country_31,艾俄里亚,Aeolia,艾俄里亞
roma_country_32,罗卡那,Rocana,羅卡那
roma_country_33,诺耳塔尼萨,Nortanisa,諾耳塔尼薩
roma_country_34,雷索斯,Resos,雷索斯
roma_country_35,底俄帕利斯,Diopalis,底俄帕利斯
roma_country_36,底俄帕利斯,Diopalliss,底俄帕利斯
roma_country_37,忒密斯,Themis,忒密斯
roma_country_38,阿特里翁,Atryon,阿特里翁
roma_country_39,马珊加拉,Mashangala,馬珊加拉
roma_country_40,阿塔科尼亚,Atakonia,阿塔科尼亞
roma_country_41,珀塔米斯,Potamis,珀塔米斯
