key,cz,en,ch
roma_family_1,阿里斯,Aris,阿里斯
roma_family_2,拉菲尔,Raphael,拉菲爾
roma_family_3,斯陶拉,Staura,斯陶拉
roma_family_4,格雷戈,Greg,格雷戈
roma_family_5,罗斯,Ross,羅斯
roma_family_6,卡利斯,Kalis,卡利斯
roma_family_7,格雷戈,Gregg,格雷戈
roma_family_8,提亚诺斯,Tianos,提亞諾斯
roma_family_9,埃宇革尼,Eugenios,埃宇革尼
roma_family_10,尼科得斯,Nikodes,尼科得斯
roma_family_11,亚历罗斯,Alexros,亞歷羅斯
roma_family_12,亚历山大,Alexander,亞歷山大
roma_family_13,亚里士,Aristes,亞里士
roma_family_14,君士坦丁,Constantine,君士坦丁
roma_family_15,利奥,Leo,利奧
roma_family_16,阿纳托利,Anatoly,阿納托利
roma_family_17,米海尔,Michael,米海爾
roma_family_18,尼古劳斯,Nicholas,尼古勞斯
roma_family_19,尼古拉斯,Nicolas,尼古拉斯
roma_family_20,狄奥多罗,Theodoros,狄奧多羅
roma_family_21,莱克修斯,Lexius,萊克修斯
roma_family_22,希拉克略,Heraclius,希拉克略
roma_family_23,安东尼,Anthony,安東尼
roma_family_24,莫里斯,Maurice,莫里斯
roma_family_25,巴西尔,Basil,巴西爾
roma_family_26,科米塔斯,Comitas,科米塔斯
roma_family_27,安条克,Antioch,安條克
roma_family_28,尼基塔斯,Nikitas,尼基塔斯
roma_family_29,米哈伊尔,Mikhail,米哈伊爾
roma_family_30,腓托斯,Photos,腓托斯
roma_family_31,卢卡斯,Lucas,盧卡斯
roma_family_32,查士丁尼,Justinian,查士丁尼
roma_family_33,马卡,Macar,馬卡
roma_family_34,伊塞阿斯,Isaias,伊塞阿斯
roma_family_35,提塞奥斯,Tiseos,提塞奧斯
roma_family_36,加布里埃,Gabriel,加布里埃
roma_family_37,阿波洛尼,Apollonius,阿波洛尼
roma_family_38,达尼埃尔,Daniel,達尼埃爾
roma_family_39,帕特里克,Patrick,帕特里克
roma_family_40,约阿基姆,Joachim,約阿基姆
roma_family_41,萨尔瓦多,Salvador,薩爾瓦多
roma_family_42,多萝特娅,Dorothea,多蘿特婭
roma_family_43,康斯坦丁,Constantino,康斯坦丁
roma_family_44,阿波,Apo,阿波
roma_family_45,欧佛,Ofer,歐佛
roma_family_46,加布里埃,Gabriell,加布里埃
roma_family_47,安忒,Ante,安忒
roma_family_48,莱翁,Leon,萊翁
roma_family_49,佐伊,Zoe,佐伊
roma_family_50,帕夫林,Pavlin,帕夫林
roma_family_51,乔,Joe,喬
roma_family_52,欧多西亚,Eudocia,歐多西亞
roma_family_53,西彼拉,Sibylla,西彼拉
roma_family_54,玛尔塔,Marta,瑪爾塔
roma_family_55,尼科莱塔,Nicoletta,尼科萊塔
roma_family_56,欧尼刻,Eunice,歐尼刻
roma_family_57,赛奥多拉,Theodora,賽奧多拉
roma_family_58,赛奥菲洛斯,Theophilos,賽奧菲洛斯
roma_family_59,佩特罗尼,Petroni,佩特羅尼
roma_family_60,奥勒良,Aurelian,奧勒良
roma_family_61,科尼利斯,Cornelius,科尼利斯
roma_family_62,克拉苏,Crassus,克拉蘇
roma_family_63,恩狄乌斯,Endius,恩狄烏斯
roma_family_64,君士坦提,Constantius,君士坦提
roma_family_65,戈尔迪安,Gordian,戈爾迪安
roma_family_66,马尔西安,Marcian,馬爾西安
roma_family_67,涅波亚恩,Nepotian,涅波亞恩
roma_family_68,马克西米,Maximian,馬克西米
roma_family_69,保利努斯,Paulinus,保利努斯
roma_family_70,德基乌斯,Decius,德基烏斯
roma_family_71,加卢斯,Gallus,加盧斯
roma_family_72,沃卢西亚,Volusia,沃盧西亞
roma_family_73,哈德良,Hadrian,哈德良
roma_family_74,尤利安,Julian,尤利安
roma_family_75,莱昂提斯,Leontius,萊昂提斯
roma_family_76,米提乌斯,Mitius,米提烏斯
roma_family_77,玛尔定,Martin,瑪爾定
roma_family_78,法布修斯,Fabius,法布修斯
roma_family_79,马里努斯,Marinus,馬里努斯
roma_family_80,维达利安,Vitalian,維達利安
roma_family_81,海格乌斯,Hegius,海格烏斯
roma_family_82,恩诺狄斯,Ennodius,恩諾狄斯
roma_family_83,罗马努斯,Romanus,羅馬努斯
roma_family_84,罗慕路斯,Romulus,羅慕路斯
roma_family_85,马尔,Marr,馬爾
roma_family_86,伽列里,Galerius,伽列里
roma_family_87,卢菲努斯,Rufinus,盧菲努斯
roma_family_88,马尔切,Marce,馬爾切
roma_family_89,贝内迪克特,Benedict,貝內迪克特
roma_family_90,庞贝,Pompey,龐貝
roma_family_91,亚里米,Arimi,亞里米
roma_family_92,奥古斯都,Augustus,奧古斯都
roma_family_93,奥托,Otto,奧托
roma_family_94,腓特烈,Frederick,腓特烈
roma_family_95,罗穆路斯,Romulos,羅穆路斯
roma_family_96,图拉真,Trajan,圖拉真
roma_family_97,利奥,Leon,利奧
roma_family_98,科穆宁,Komnenos,科穆寧
roma_family_99,罗德里格斯,Rodriguez,羅德里格斯
roma_family_100,马丁内斯,Martinez,馬丁內斯
roma_family_101,加西亚,Garcia,加西亞
roma_family_102,洛佩斯,Lopez,洛佩斯
roma_family_103,埃尔南德斯,Hernandez,埃爾南德斯
roma_family_104,冈萨雷斯,Gonzalez,岡薩雷斯
roma_family_105,拉米雷斯,Ramirez,拉米雷斯
roma_family_106,弗洛雷斯,Flores,弗洛雷斯
roma_family_107,克鲁兹,Cruz,克魯茲
roma_family_108,莫拉莱斯,Morales,莫拉萊斯
roma_family_109,瓦尔德斯,Valdes,瓦爾德斯
roma_family_110,奥尔蒂斯,Ortiz,奧爾蒂斯
roma_family_111,席尔瓦,Silva,席爾瓦
roma_family_112,里维拉,Rivera,里維拉
roma_family_113,托雷斯,Torres,托雷斯
roma_family_114,卡斯特罗,Castro,卡斯特羅
roma_family_115,罗哈斯,Rojas,羅哈斯
roma_family_116,门多萨,Mendoza,門多薩
roma_family_117,维加,Vega,維加
roma_family_118,罗梅罗,Romero,羅梅羅
roma_family_119,莱昂,Leon,萊昂
roma_family_120,德尔加多,Delgado,德爾加多
roma_family_121,索托,Soto,索托
roma_family_122,梅迪纳,Medina,梅迪納
roma_family_123,帕切科,Pacheco,帕切科
roma_family_124,卡斯蒂略,Castillo,卡斯蒂略
roma_family_125,瓦兹克斯,Vazquez,瓦茲克斯
roma_family_126,阿吉拉尔,Aguilar,阿吉拉爾
roma_family_127,苏亚雷斯,Suarez,蘇亞雷斯
roma_family_128,伊格,Ige,伊格
roma_family_129,莱西亚斯,Lecias,萊西亞斯
roma_family_130,纳瓦罗,Navarro,納瓦羅
roma_family_131,米兰达,Miranda,米蘭達
roma_family_132,埃雷拉,Herrera,埃雷拉
roma_family_133,多明格斯,Dominguez,多明格斯
roma_family_134,桑切斯,Sanchez,桑切斯
roma_family_135,卡马乔,Camacho,卡馬喬
roma_family_136,卡诺,Cano,卡諾
roma_family_137,卡瓦哈尔,Carvajal,卡瓦哈爾
roma_family_138,塞万提斯,Cervantes,塞萬提斯
roma_family_139,科尔特斯,Cortes,科爾特斯
roma_family_140,查韦斯,Chavez,查韋斯
roma_family_141,迪亚兹,Diaz,迪亞茲
