key,cz,en,ch
western_religion_1,森林崇拜,Forest Worship,森林崇拜
western_religion_2,海洋崇拜,Ocean Worship,海洋崇拜
western_religion_3,沙漠崇拜,Desert Worship,沙漠崇拜
western_religion_4,绿洲崇拜,Oasis Worship,綠洲崇拜
western_religion_5,荒原崇拜,Wasteland Worship,荒原崇拜
western_religion_6,山脉崇拜,Mountain Worship,山脈崇拜
western_religion_7,沼泽崇拜,Swamp Worship,沼澤崇拜
western_religion_8,祖先崇拜,Ancestor Worship,祖先崇拜
western_religion_9,大河崇拜,Great River Worship,大河崇拜
western_religion_10,太阳崇拜,Sun Worship,太陽崇拜
western_religion_11,月亮崇拜,Moon Worship,月亮崇拜
western_religion_12,星辰崇拜,Star Worship,星辰崇拜
western_religion_13,星座崇拜,Constellation Worship,星座崇拜
western_religion_14,极光崇拜,Aurora Worship,極光崇拜
western_religion_15,冰雪崇拜,Ice Snow Worship,冰雪崇拜
western_religion_16,雷霆崇拜,Thunder Worship,雷霆崇拜
western_religion_17,风暴崇拜,Storm Worship,風暴崇拜
western_religion_18,自然崇拜,Nature Worship,自然崇拜
western_religion_19,神兽崇拜,Divine Beast Worship,神獸崇拜
western_religion_20,图腾崇拜,Totem Worship,圖騰崇拜
western_religion_21,智慧崇拜,Wisdom Worship,智慧崇拜
western_religion_22,知识崇拜,Knowledge Worship,知識崇拜
western_religion_23,先知崇拜,Prophet Worship,先知崇拜
western_religion_24,理性崇拜,Reason Worship,理性崇拜
western_religion_25,金属崇拜,Metal Worship,金屬崇拜
western_religion_26,器物崇拜,Artifact Worship,器物崇拜
western_religion_27,外星崇拜,Alien Worship,外星崇拜
western_religion_28,火焰崇拜,Flame Worship,火焰崇拜
western_religion_29,圣火崇拜,Sacred Fire Worship,聖火崇拜
western_religion_30,苦难崇拜,Suffering Worship,苦難崇拜
western_religion_31,神皇崇拜,Divine Emperor Worship,神皇崇拜
western_religion_32,圣灵崇拜,Holy Spirit Worship,聖靈崇拜
western_religion_33,天父崇拜,Heavenly Father Worship,天父崇拜
western_religion_34,地母崇拜,Earth Mother Worship,地母崇拜
western_religion_35,历史崇拜,History Worship,歷史崇拜
western_religion_36,光明崇拜,Light Worship,光明崇拜
western_religion_37,冥界崇拜,Underworld Worship,冥界崇拜
western_religion_38,死亡崇拜,Death Worship,死亡崇拜
western_religion_39,生命崇拜,Life Worship,生命崇拜
western_religion_40,灵魂崇拜,Soul Worship,靈魂崇拜
western_religion_41,圣山崇拜,Sacred Mountain Worship,聖山崇拜
western_religion_42,神木崇拜,Sacred Tree Worship,神木崇拜
western_religion_43,山川崇拜,Mountain River Worship,山川崇拜
western_religion_44,精魅崇拜,Spirit Worship,精魅崇拜
western_religion_45,心灵崇拜,Mind Worship,心靈崇拜
western_religion_46,魔法崇拜,Magic Worship,魔法崇拜
western_religion_47,巫术崇拜,Witchcraft Worship,巫術崇拜
western_religion_48,灵能崇拜,Psionic Worship,靈能崇拜
western_religion_49,黎明崇拜,Dawn Worship,黎明崇拜
western_religion_50,银河崇拜,Galaxy Worship,銀河崇拜
western_religion_51,天国崇拜,Heavenly Kingdom Worship,天國崇拜
western_religion_52,神界崇拜,Divine Realm Worship,神界崇拜
western_religion_53,英灵崇拜,Heroic Spirit Worship,英靈崇拜
western_religion_54,古神崇拜,Ancient God Worship,古神崇拜
western_religion_55,外神崇拜,Outer God Worship,外神崇拜
western_religion_56,旧日崇拜,Old Ones Worship,舊日崇拜
western_religion_57,天道崇拜,Heavenly Way Worship,天道崇拜
western_religion_58,神道崇拜,Divine Path Worship,神道崇拜
western_religion_59,佛陀崇拜,Buddha Worship,佛陀崇拜
western_religion_60,真主崇拜,Allah Worship,真主崇拜
western_religion_61,群星崇拜,Star Cluster Worship,群星崇拜
western_religion_62,艺术崇拜,Art Worship,藝術崇拜
western_religion_63,古代崇拜,Ancient Times Worship,古代崇拜
western_religion_64,废墟崇拜,Ruins Worship,廢墟崇拜
western_religion_65,海怪崇拜,Sea Monster Worship,海怪崇拜
western_religion_66,天空崇拜,Sky Worship,天空崇拜
