key,cz,en,ch
roma_female1_1,阿皮娅,Appia,阿皮婭
roma_female1_2,奥拉,Aula,奧拉
roma_female1_3,薛苏蜜拉,Xuesumira,薛蘇蜜拉
roma_female1_4,德西玛,Desima,德西瑪
roma_female1_5,法斯塔,Fasta,法斯塔
roma_female1_6,盖亚,Gaia,蓋亞
roma_female1_7,格奈娅,Genaia,格奈婭
roma_female1_8,霍斯塔,Hostia,霍斯塔
roma_female1_9,卢西娅,Lucia,盧西婭
roma_female1_10,迈奥,Maio,邁奧
roma_female1_11,马默卡,Mamerca,馬默卡
roma_female1_12,玫妮娅,Menia,玫妮婭
roma_female1_13,玛西娅,Marzia,瑪西婭
roma_female1_14,马克西玛,Maxima,馬克西瑪
roma_female1_15,梅蒂娅,Metia,梅蒂婭
roma_female1_16,弥诺儿,Minore,彌諾兒
roma_female1_17,诺娜,Nona,諾娜
roma_female1_18,努米利娅,Numilia,努米利婭
roma_female1_19,奥克塔维亚,Octavia,奧克塔維亞
roma_female1_20,保拉,Paula,保拉
roma_female1_21,宝斯图玛,Postuma,寶斯圖瑪
roma_female1_22,普莉玛,Prima,普莉瑪
roma_female1_23,普希拉,Pusilla,普希拉
roma_female1_24,帕芭莉娅,Papalia,帕芭莉婭
roma_female1_25,夸塔娅,Quarta,誇塔婭
roma_female1_26,昆塔,Quinta,昆塔
roma_female1_27,塞康达,Secunda,塞康達
roma_female1_28,塞普蒂玛,Septima,塞普蒂瑪
roma_female1_29,塞维娅,Severia,塞維婭
roma_female1_30,塞克斯塔,Sexta,塞克斯塔
roma_female1_31,斯普里娅,Spuria,斯普里婭
roma_female1_32,斯塔蒂娅,Statia,斯塔蒂婭
roma_female1_33,特提娅,Tertia,特提婭
roma_female1_34,提香,Titian,提香
roma_female1_35,蒂贝里娅,Tiberia,蒂貝里婭
roma_female1_36,图拉,Tura,圖拉
roma_female1_37,维比娅,Vibia,維比婭
roma_female1_38,沃卢萨,Volusa,沃盧薩
roma_female1_39,伏皮斯恰,Vopisci,伏皮斯恰
roma_female1_40,达弥娅涅,Damiane,達彌婭涅
roma_female1_41,尤利娅,Julia,尤利婭
roma_female1_42,梅利莎,Melissa,梅利莎
roma_female1_43,海伦娜,Helena,海倫娜
roma_female1_44,提娅,Tia,提婭
roma_female1_45,尤莉娅娜,Juliana,尤莉婭娜
roma_female1_46,索菲娅,Sophia,索菲婭
roma_female1_47,康斯坦丝,Constance,康斯坦絲
roma_female1_48,塞西安,Sessia,塞西安
roma_female1_49,比阿特斯,Beatrice,比阿特斯
roma_female1_50,安娜,Anna,安娜
roma_female1_51,莎拉,Sarah,莎拉
roma_female1_52,欧金尼娅,Eugenia,歐金尼婭
roma_female1_53,奥古斯塔,Augusta,奧古斯塔
roma_female1_54,贝拉,Bella,貝拉
roma_female1_55,卢西亚,Lucia,盧西亞
roma_female1_56,利维亚,Livia,利維亞
roma_female1_57,弗洛拉,Flora,弗洛拉
roma_female1_58,维多利亚,Victoria,維多利亞
roma_female1_59,奥罗拉,Aurora,奧羅拉
roma_female1_60,塞莱斯特,Celeste,塞萊斯特
roma_female1_61,戴安娜,Diana,戴安娜
roma_female1_62,艾米莉亚,Emilia,艾米莉亞
