key,cz,en,ch
roma_male1_1,阿格里帕,Agrippa,阿格里帕
roma_male1_2,阿匹乌斯,Appius,阿匹烏斯
roma_male1_3,奥卢斯,Aulus,奧盧斯
roma_male1_4,凯索,Caeso,凱索
roma_male1_5,德西默斯,Decimus,德西默斯
roma_male1_6,浮士德,Faustus,浮士德
roma_male1_7,盖尤斯,Gaius,蓋尤斯
roma_male1_8,格涅乌斯,Gnaeus,格涅烏斯
roma_male1_9,霍斯特斯,Hostus,霍斯特斯
roma_male1_10,卢修斯,Lucius,盧修斯
roma_male1_11,玛默库斯,Mamercus,瑪默庫斯
roma_male1_12,曼纽斯,Manius,曼紐斯
roma_male1_13,马库赛斯,Marceus,馬庫賽斯
roma_male1_14,麦提乌斯,Mettius,麥提烏斯
roma_male1_15,纳涅斯,Naeuus,納涅斯
roma_male1_16,纽弥尼斯,Numenius,紐彌尼斯
roma_male1_17,屋大维,Octavius,屋大維
roma_male1_18,奥皮德,Opider,奧皮德
roma_male1_19,保卢斯,Paullus,保盧斯
roma_male1_20,波斯图穆斯,Postumus,波斯圖穆斯
roma_male1_21,普罗库鲁斯,Proculus,普羅庫魯斯
roma_male1_22,普布利乌斯,Publius,普布利烏斯
roma_male1_23,昆塔斯,Quintus,昆塔斯
roma_male1_24,塞普蒂默斯,Septimus,塞普蒂默斯
roma_male1_25,瑟忒尔,Sertor,瑟忒爾
roma_male1_26,维乌斯,Vibius,維烏斯
roma_male1_27,塞克斯图斯,Sextus,塞克斯圖斯
roma_male1_28,斯普鲁乌斯,Spurius,斯普魯烏斯
roma_male1_29,斯塔提乌斯,Statius,斯塔提烏斯
roma_male1_30,提比略,Tiberius,提比略
roma_male1_31,提图塔斯,Titutus,提圖塔斯
roma_male1_32,图力斯,Tullius,圖力斯
roma_male1_33,维比乌斯,Vibius,維比烏斯
roma_male1_34,瓦雷西塞斯,Valesiscis,瓦雷西塞斯
roma_male1_35,皮斯库斯,Piscus,皮斯庫斯
roma_male1_36,朱利叶斯,Julius,朱利葉斯
roma_male1_37,奥古斯托,Augustus,奧古斯托
roma_male1_38,马克西姆斯,Maximus,馬克西姆斯
roma_male1_39,费利克斯,Felix,費利克斯
roma_male1_40,贾斯汀,Iustinus,賈斯汀
