key,cz,en,ch
Shanhai_city_1,昆仑,Kunlun,崑崙
Shanhai_city_2,钟山,Zhongshan,鍾山
Shanhai_city_3,泰器,Taiqi,泰器
Shanhai_city_4,槐江,Huaijiang,槐江
Shanhai_city_5,轩辕丘,Xuanyuanqiu,軒轅丘
Shanhai_city_6,沃地,Wodi,沃地
Shanhai_city_7,乐游,Leyou,樂遊
Shanhai_city_8,嬴母,Yingmu,嬴母
Shanhai_city_9,玉山,Yushan,玉山
Shanhai_city_10,长留,Changliu,長留
Shanhai_city_11,章莪,Zhang'e,章莪
Shanhai_city_12,阴山,Yinshan,陰山
Shanhai_city_13,符惕,Futi,符惕
Shanhai_city_14,騩地,Guidi,騩地
Shanhai_city_15,天山,Tianshan,天山
Shanhai_city_16,泑地,Youdi,泑地
Shanhai_city_17,翼望,Yiwang,翼望
Shanhai_city_18,尧光,Yaoguang,堯光
Shanhai_city_19,羽地,Yudi,羽地
Shanhai_city_20,瞿父,Qufu,瞿父
Shanhai_city_21,句余,Juyu,句余
Shanhai_city_22,浮玉,Fuyu,浮玉
Shanhai_city_23,成地,Chengdi,成地
Shanhai_city_24,会稽,Kuaiji,會稽
Shanhai_city_25,夷地,Yidi,夷地
Shanhai_city_26,仆勾,Pugou,仆勾
Shanhai_city_27,咸阴,Xianyin,咸陰
Shanhai_city_28,洵地,Xundi,洵地
Shanhai_city_29,虖勺,Hushao,虖勺
Shanhai_city_30,区吴,Quwu,區吳
Shanhai_city_31,鹿吴,Luwu,鹿吳
Shanhai_city_32,漆吴,Qiwu,漆吳
Shanhai_city_33,天虞,Tianyu,天虞
Shanhai_city_34,祷过,Daoguo,禱過
Shanhai_city_35,丹穴,Danxue,丹穴
Shanhai_city_36,发爽,Fashuang,發爽
Shanhai_city_37,旄地,Maodi,旄地
Shanhai_city_38,非山,Feishan,非山
Shanhai_city_39,阳夹,Yangjia,陽夾
Shanhai_city_40,灌湘,Guanxiang,灌湘
Shanhai_city_41,鸡山,Jishan,雞山
Shanhai_city_42,禺槀,Yugao,禺槀
Shanhai_city_43,南禺,Nanyu,南禺
Shanhai_city_44,招摇,Zhaoyao,招搖
Shanhai_city_45,堂庭,Tangting,堂庭
Shanhai_city_46,即翼,Jiyi,即翼
Shanhai_city_47,杻阳,Niuyang,杻陽
Shanhai_city_48,柢地,Didi,柢地
Shanhai_city_49,亶爰,Danyuan,亶爰
Shanhai_city_50,基地,Jidi,基地
Shanhai_city_51,青丘,Qingqiu,青丘
Shanhai_city_52,箕尾,Jiwei,箕尾
Shanhai_city_53,柜地,Judi,櫃地
Shanhai_city_54,区阳,Quyang,區陽
Shanhai_city_55,鹿台,Lutai,鹿臺
Shanhai_city_56,虎首,Hushou,虎首
Shanhai_city_57,勃亝,Boqi,勃亝
Shanhai_city_58,番条,Fantiao,番條
Shanhai_city_59,姑儿,Gu'er,姑兒
Shanhai_city_60,高前,Gaoqian,高前
Shanhai_city_61,周末,Zhoumo,周末
Shanhai_city_62,大騩,Dagui,大騩
Shanhai_city_63,雅地,Yadi,雅地
Shanhai_city_64,大支,Dazhi,大支
Shanhai_city_65,区荛,Qurao,區蕘
Shanhai_city_66,声匈,Shengxiong,聲匈
Shanhai_city_67,重地,Zhongdi,重地
Shanhai_city_68,牛首,Niushou,牛首
Shanhai_city_69,浮山,Fushan,浮山
Shanhai_city_70,羭次,Yuci,羭次
