key,cz,en,ch
Shanhai_clan_1,有熊,Youxiong,有熊
Shanhai_clan_2,神农,Shennong,神農
Shanhai_clan_3,高阳,Gaoyang,高陽
Shanhai_clan_4,高辛,Gaoxin,高辛
Shanhai_clan_5,陶唐,Taotang,陶唐
Shanhai_clan_6,有虞,Youyu,有虞
Shanhai_clan_7,轩辕,Xuanyuan,軒轅
Shanhai_clan_8,烈山,Lieshan,烈山
Shanhai_clan_9,金天,Jintian,金天
Shanhai_clan_10,共工,Gonggong,共工
Shanhai_clan_11,伏羲,Fuxi,伏羲
Shanhai_clan_12,女娲,Nvwa,女媧
Shanhai_clan_13,有巢,Youchao,有巢
Shanhai_clan_14,燧人,Suiren,燧人
Shanhai_clan_15,朱襄,Zhuxiang,朱襄
Shanhai_clan_16,葛天,Getian,葛天
Shanhai_clan_17,少典,Shaodian,少典
Shanhai_clan_18,有蟜,Youjiao,有蟜
Shanhai_clan_19,西陵,Xiling,西陵
Shanhai_clan_20,方雷,Fanglei,方雷
Shanhai_clan_21,彤鱼,Tongyu,彤魚
Shanhai_clan_22,鬼方,Guifang,鬼方
Shanhai_clan_23,防风,Fangfeng,防風
Shanhai_clan_24,豢龙,Huanlong,豢龍
Shanhai_clan_25,御龙,Yulong,禦龍
Shanhai_clan_26,豕韦,Shiwei,豕韋
Shanhai_clan_27,昆吾,Kunwu,昆吾
Shanhai_clan_28,涂山,Tushan,塗山
Shanhai_clan_29,有仍,Youreng,有仍
Shanhai_clan_30,有鬲,Youge,有鬲
Shanhai_clan_31,有穷,Youqiong,有窮
Shanhai_clan_32,伯明,Boming,伯明
Shanhai_clan_33,斟鄩,Zhenxun,斟鄩
Shanhai_clan_34,斟灌,Zhenguan,斟灌
Shanhai_clan_35,九黎,Jiuli,九黎
Shanhai_clan_36,东夷,Dongyi,東夷
Shanhai_clan_37,三苗,Sanmiao,三苗
Shanhai_clan_38,有扈,Youhu,有扈
Shanhai_clan_39,有缗,Youmin,有緡
Shanhai_clan_40,畎夷,Quanyi,畎夷
Shanhai_clan_41,荤粥,Xunyu,葷粥
Shanhai_clan_42,阴康,Yinkang,陰康
Shanhai_clan_43,大庭,Dating,大庭
Shanhai_clan_44,柏皇,Baihuang,柏皇
Shanhai_clan_45,中央,Zhongyang,中央
Shanhai_clan_46,栗陆,Lilu,栗陸
Shanhai_clan_47,骊连,Lilian,驪連
Shanhai_clan_48,赫胥,Hexu,赫胥
Shanhai_clan_49,尊卢,Zunlu,尊盧
Shanhai_clan_50,昊英,Haoying,昊英
Shanhai_clan_51,混沌,Hundun,混沌
Shanhai_clan_52,有邰,Youtai,有邰
Shanhai_clan_53,无怀,Wuhuai,無懷
Shanhai_clan_54,巫咸,Wuxian,巫咸
Shanhai_clan_55,巫彭,Wupeng,巫彭
Shanhai_clan_56,羲和,Xihe,羲和
Shanhai_clan_57,常羲,Changxi,常羲
Shanhai_clan_58,盘古,Pangu,盤古
Shanhai_clan_59,天皇,Tianhuang,天皇
Shanhai_clan_60,地皇,Dihuang,地皇
Shanhai_clan_61,人皇,Renhuang,人皇
Shanhai_clan_62,钜灵,Juling,鉅靈
Shanhai_clan_63,黄神,Huangshen,黃神
Shanhai_clan_64,鬼隗,Guikui,鬼隗
Shanhai_clan_65,空桑,Kongsang,空桑
Shanhai_clan_66,次民,Cimin,次民
Shanhai_clan_67,辰放,Chenfang,辰放
Shanhai_clan_68,蜀山,Shushan,蜀山
Shanhai_clan_69,庸成,Yongcheng,庸成
Shanhai_clan_70,中皇,Zhonghuang,中皇
Shanhai_clan_71,五龙,Wulong,五龍
Shanhai_clan_72,华胥,Huaxu,華胥
Shanhai_clan_73,仇夷,Qiuyi,仇夷
Shanhai_clan_74,句芒,Goumang,句芒
Shanhai_clan_75,重,Zhong,重
Shanhai_clan_76,老童,Laotong,老童
Shanhai_clan_77,青龙,Qinglong,青龍
Shanhai_clan_78,赤龙,Chilong,赤龍
Shanhai_clan_79,白龙,Bailong,白龍
Shanhai_clan_80,黑龙,Heilong,黑龍
Shanhai_clan_81,黄龙,Huanglong,黃龍
Shanhai_clan_82,飞龙,Feilong,飛龍
Shanhai_clan_83,潜龙,Qianlong,潛龍
Shanhai_clan_84,居龙,Julong,居龍
Shanhai_clan_85,降龙,Xianglong,降龍
Shanhai_clan_86,土龙,Tulong,土龍
Shanhai_clan_87,水龙,Shuilong,水龍
Shanhai_clan_88,大火,Dahuo,大火
Shanhai_clan_89,敦火,Dunhuo,敦火
Shanhai_clan_90,西火,Xihuo,西火
Shanhai_clan_91,北火,Beihuo,北火
Shanhai_clan_92,中火,Zhonghuo,中火
Shanhai_clan_93,祝融,Zhurong,祝融
Shanhai_clan_94,蚩尤,Chiyou,蚩尤
Shanhai_clan_95,有娇,Youjiao,有嬌
Shanhai_clan_96,青阳,Qingyang,青陽
Shanhai_clan_97,丹朱,Danzhu,丹朱
Shanhai_clan_98,有莘,Youshen,有莘
Shanhai_clan_99,有娀,Yousong,有娀
Shanhai_clan_100,亳人,Boren,亳人
Shanhai_clan_101,谯人,Qiaoren,譙人
Shanhai_clan_102,万俟,Moqi,萬俟
Shanhai_clan_103,司马,Sima,司馬
Shanhai_clan_104,上官,Shangguan,上官
Shanhai_clan_105,欧阳,Ouyang,歐陽
Shanhai_clan_106,夏侯,Xiahou,夏侯
Shanhai_clan_107,诸葛,Zhuge,諸葛
Shanhai_clan_108,闻人,Wenren,聞人
Shanhai_clan_109,东方,Dongfang,東方
Shanhai_clan_110,赫连,Helian,赫連
Shanhai_clan_111,皇甫,Huangfu,皇甫
Shanhai_clan_112,尉迟,Yuchi,尉遲
Shanhai_clan_113,公羊,Gongyang,公羊
Shanhai_clan_114,澹台,Tantai,澹臺
Shanhai_clan_115,公冶,Gongye,公冶
Shanhai_clan_116,宗政,Zongzheng,宗政
Shanhai_clan_117,濮阳,Puyang,濮陽
Shanhai_clan_118,淳于,Chunyu,淳于
Shanhai_clan_119,单于,Chanyu,單于
Shanhai_clan_120,太叔,Taishu,太叔
Shanhai_clan_121,申屠,Shentu,申屠
Shanhai_clan_122,公孙,Gongsun,公孫
Shanhai_clan_123,仲孙,Zhongsun,仲孫
Shanhai_clan_124,轩辕,Xuanyuan,軒轅
Shanhai_clan_125,令狐,Linghu,令狐
Shanhai_clan_126,钟离,Zhongli,鍾離
Shanhai_clan_127,宇文,Yuwen,宇文
Shanhai_clan_128,长孙,Zhangsun,長孫
Shanhai_clan_129,慕容,Murong,慕容
Shanhai_clan_130,鲜于,Xianyu,鮮于
Shanhai_clan_131,闾丘,Lüqiu,閭丘
Shanhai_clan_132,司徒,Situ,司徒
Shanhai_clan_133,司空,Sikong,司空
Shanhai_clan_134,亓官,Qiguan,亓官
Shanhai_clan_135,司寇,Sikou,司寇
Shanhai_clan_136,仉督,Zhangdu,仉督
Shanhai_clan_137,子车,Ziche,子車
Shanhai_clan_138,颛孙,Zhuansun,顓孫
Shanhai_clan_139,端木,Duanmu,端木
Shanhai_clan_140,巫马,Wuma,巫馬
Shanhai_clan_141,公西,Gongxi,公西
Shanhai_clan_142,漆雕,Qidiao,漆雕
Shanhai_clan_143,乐正,Yuezheng,樂正
Shanhai_clan_144,壤驷,Rangsi,壤駟
Shanhai_clan_145,公良,Gongliang,公良
Shanhai_clan_146,拓拔,Tuoba,拓拔
Shanhai_clan_147,夹谷,Jiagu,夾谷
Shanhai_clan_148,宰父,Zaifu,宰父
Shanhai_clan_149,谷粱,Guliang,谷粱
Shanhai_clan_150,段干,Duan'gan,段干
Shanhai_clan_151,百里,Baili,百里
Shanhai_clan_152,东郭,Dongguo,東郭
Shanhai_clan_153,南门,Nanmen,南門
Shanhai_clan_154,呼延,Huyan,呼延
Shanhai_clan_155,羊舌,Yangshe,羊舌
Shanhai_clan_156,微生,Weisheng,微生
Shanhai_clan_157,梁丘,Liangqiu,梁丘
Shanhai_clan_158,左丘,Zuoqiu,左丘
Shanhai_clan_159,东门,Dongmen,東門
Shanhai_clan_160,西门,Ximen,西門
Shanhai_clan_161,南宫,Nangong,南宮
Shanhai_clan_162,商,Shang,商
