key,cz,en,ch
Shanhai_family_1,有熊,Youxiong,有熊
Shanhai_family_2,神农,Shennong,神農
Shanhai_family_3,高阳,Gaoyang,高陽
Shanhai_family_4,高辛,Gaoxin,高辛
Shanhai_family_5,陶唐,Taotang,陶唐
Shanhai_family_6,有虞,Youyu,有虞
Shanhai_family_7,轩辕,Xuanyuan,軒轅
Shanhai_family_8,烈山,Lieshan,烈山
Shanhai_family_9,金天,Jintian,金天
Shanhai_family_10,共工,Gonggong,共工
Shanhai_family_11,伏羲,Fuxi,伏羲
Shanhai_family_12,女娲,Nvwa,女媧
Shanhai_family_13,有巢,Youchao,有巢
Shanhai_family_14,燧人,Suiren,燧人
Shanhai_family_15,朱襄,Zhuxiang,朱襄
Shanhai_family_16,葛天,Getian,葛天
Shanhai_family_17,少典,Shaodian,少典
Shanhai_family_18,有蟜,Youjiao,有蟜
Shanhai_family_19,西陵,Xiling,西陵
Shanhai_family_20,方雷,Fanglei,方雷
Shanhai_family_21,彤鱼,Tongyu,彤魚
Shanhai_family_22,鬼方,Guifang,鬼方
Shanhai_family_23,防风,Fangfeng,防風
Shanhai_family_24,豢龙,Huanlong,豢龍
Shanhai_family_25,御龙,Yulong,禦龍
Shanhai_family_26,豕韦,Shiwei,豕韋
Shanhai_family_27,昆吾,Kunwu,昆吾
Shanhai_family_28,涂山,Tushan,塗山
Shanhai_family_29,有仍,Youreng,有仍
Shanhai_family_30,有鬲,Youge,有鬲
Shanhai_family_31,有穷,Youqiong,有窮
Shanhai_family_32,伯明,Boming,伯明
Shanhai_family_33,斟鄩,Zhenxun,斟鄩
Shanhai_family_34,斟灌,Zhenguan,斟灌
Shanhai_family_35,九黎,Jiuli,九黎
Shanhai_family_36,东夷,Dongyi,東夷
Shanhai_family_37,三苗,Sanmiao,三苗
Shanhai_family_38,有扈,Youhu,有扈
Shanhai_family_39,有缗,Youmin,有緡
Shanhai_family_40,畎夷,Quanyi,畎夷
Shanhai_family_41,荤粥,Xunyu,葷粥
Shanhai_family_42,阴康,Yinkang,陰康
Shanhai_family_43,大庭,Dating,大庭
Shanhai_family_44,柏皇,Baihuang,柏皇
Shanhai_family_45,中央,Zhongyang,中央
Shanhai_family_46,栗陆,Lilu,栗陸
Shanhai_family_47,骊连,Lilian,驪連
Shanhai_family_48,赫胥,Hexu,赫胥
Shanhai_family_49,尊卢,Zunlu,尊盧
Shanhai_family_50,昊英,Haoying,昊英
Shanhai_family_51,混沌,Hundun,混沌
Shanhai_family_52,有邰,Youtai,有邰
Shanhai_family_53,无怀,Wuhuai,無懷
Shanhai_family_54,巫咸,Wuxian,巫咸
Shanhai_family_55,巫彭,Wupeng,巫彭
Shanhai_family_56,羲和,Xihe,羲和
Shanhai_family_57,常羲,Changxi,常羲
Shanhai_family_58,盘古,Pangu,盤古
Shanhai_family_59,天皇,Tianhuang,天皇
Shanhai_family_60,地皇,Dihuang,地皇
Shanhai_family_61,人皇,Renhuang,人皇
Shanhai_family_62,钜灵,Juling,鉅靈
Shanhai_family_63,黄神,Huangshen,黃神
Shanhai_family_64,鬼隗,Guikui,鬼隗
Shanhai_family_65,空桑,Kongsang,空桑
Shanhai_family_66,次民,Cimin,次民
Shanhai_family_67,辰放,Chenfang,辰放
Shanhai_family_68,蜀山,Shushan,蜀山
Shanhai_family_69,庸成,Yongcheng,庸成
Shanhai_family_70,中皇,Zhonghuang,中皇
Shanhai_family_71,五龙,Wulong,五龍
Shanhai_family_72,华胥,Huaxu,華胥
Shanhai_family_73,仇夷,Qiuyi,仇夷
Shanhai_family_74,句芒,Goumang,句芒
Shanhai_family_75,重,Zhong,重
Shanhai_family_76,老童,Laotong,老童
Shanhai_family_77,青龙,Qinglong,青龍
Shanhai_family_78,赤龙,Chilong,赤龍
Shanhai_family_79,白龙,Bailong,白龍
Shanhai_family_80,黑龙,Heilong,黑龍
Shanhai_family_81,黄龙,Huanglong,黃龍
Shanhai_family_82,飞龙,Feilong,飛龍
Shanhai_family_83,潜龙,Qianlong,潛龍
Shanhai_family_84,居龙,Julong,居龍
Shanhai_family_85,降龙,Xianglong,降龍
Shanhai_family_86,土龙,Tulong,土龍
Shanhai_family_87,水龙,Shuilong,水龍
Shanhai_family_88,大火,Dahuo,大火
Shanhai_family_89,敦火,Dunhuo,敦火
Shanhai_family_90,西火,Xihuo,西火
Shanhai_family_91,北火,Beihuo,北火
Shanhai_family_92,中火,Zhonghuo,中火
Shanhai_family_93,祝融,Zhurong,祝融
Shanhai_family_94,蚩尤,Chiyou,蚩尤
Shanhai_family_95,有娇,Youjiao,有嬌
Shanhai_family_96,青阳,Qingyang,青陽
Shanhai_family_97,丹朱,Danzhu,丹朱
Shanhai_family_98,有莘,Youshen,有莘
Shanhai_family_99,有娀,Yousong,有娀
Shanhai_family_100,亳人,Boren,亳人
Shanhai_family_101,谯人,Qiaoren,譙人
Shanhai_family_102,万俟,Moqi,萬俟
Shanhai_family_103,司马,Sima,司馬
Shanhai_family_104,上官,Shangguan,上官
Shanhai_family_105,欧阳,Ouyang,歐陽
Shanhai_family_106,夏侯,Xiahou,夏侯
Shanhai_family_107,诸葛,Zhuge,諸葛
Shanhai_family_108,闻人,Wenren,聞人
Shanhai_family_109,东方,Dongfang,東方
Shanhai_family_110,赫连,Helian,赫連
Shanhai_family_111,皇甫,Huangfu,皇甫
Shanhai_family_112,尉迟,Yuchi,尉遲
Shanhai_family_113,公羊,Gongyang,公羊
Shanhai_family_114,澹台,Tantai,澹臺
Shanhai_family_115,公冶,Gongye,公冶
Shanhai_family_116,宗政,Zongzheng,宗政
Shanhai_family_117,濮阳,Puyang,濮陽
Shanhai_family_118,淳于,Chunyu,淳于
Shanhai_family_119,单于,Chanyu,單于
Shanhai_family_120,太叔,Taishu,太叔
Shanhai_family_121,申屠,Shentu,申屠
Shanhai_family_122,公孙,Gongsun,公孫
Shanhai_family_123,仲孙,Zhongsun,仲孫
Shanhai_family_124,轩辕,Xuanyuan,軒轅
Shanhai_family_125,令狐,Linghu,令狐
Shanhai_family_126,钟离,Zhongli,鍾離
Shanhai_family_127,宇文,Yuwen,宇文
Shanhai_family_128,长孙,Zhangsun,長孫
Shanhai_family_129,慕容,Murong,慕容
Shanhai_family_130,鲜于,Xianyu,鮮于
Shanhai_family_131,闾丘,Lüqiu,閭丘
Shanhai_family_132,司徒,Situ,司徒
Shanhai_family_133,司空,Sikong,司空
Shanhai_family_134,亓官,Qiguan,亓官
Shanhai_family_135,司寇,Sikou,司寇
Shanhai_family_136,仉督,Zhangdu,仉督
