key,cz,en,ch
Slavonic_female1,安娜,Anna,安娜·  
Slavonic_female2,阿纳斯塔西娅,Anastasia,阿納斯塔西婭·  
Slavonic_female3,亚历山德拉,Alexandra,亞歷山德拉·  
Slavonic_female4,阿林娜,Alina,阿林娜·  
Slavonic_female5,安热莉卡,Anzhelika,安熱莉卡·  
Slavonic_female6,安东尼娜,Antonina,安東尼娜·  
Slavonic_female7,瓦连京娜,Valentina,瓦連京娜·  
Slavonic_female8,瓦西里萨,Vasilisa,瓦西里薩·  
Slavonic_female9,薇拉,Vera,薇拉·  
Slavonic_female10,维多利亚,Victoria,維多利亞·  
Slavonic_female11,加林娜,Galina,加林娜·  
Slavonic_female12,达里娅,Daria,達里婭·  
Slavonic_female13,叶夫根尼娅,Yevgenia,葉夫根尼婭·  
Slavonic_female14,叶卡捷琳娜,Yekaterina,葉卡捷琳娜·  
Slavonic_female15,叶莲娜,Yelena,葉蓮娜·  
Slavonic_female16,叶夫多基娅,Yevdokiya,葉夫多基婭·  
Slavonic_female17,热尼娅,Zhenia,熱尼婭·  
Slavonic_female18,卓娅,Zoya,卓婭·  
Slavonic_female19,伊琳娜,Irina,伊琳娜·  
Slavonic_female20,因娜,Inna,因娜·  
Slavonic_female21,约安娜,Ioanna,約安娜·  
Slavonic_female22,卡琳娜,Karina,卡琳娜·  
Slavonic_female23,克拉夫季娅,Klavdiya,克拉夫季婭·  
Slavonic_female24,克里斯季娜,Kristina,克里斯季娜·  
Slavonic_female25,拉里莎,Larisa,拉里莎·  
Slavonic_female26,柳德米拉,Lyudmila,柳德米拉·  
Slavonic_female27,柳博芙,Lyubov,柳博芙·  
Slavonic_female28,玛加丽塔,Margarita,瑪加麗塔·  
Slavonic_female29,玛丽亚,Maria,瑪麗亞·  
Slavonic_female30,玛丽娜,Marina,瑪麗娜·  
Slavonic_female31,娜杰日达,Nadezhda,娜傑日達·  
Slavonic_female32,娜塔利娅,Natalia,娜塔利婭·  
Slavonic_female33,尼娜,Nina,尼娜·  
Slavonic_female34,奥克萨娜,Oksana,奧克薩娜·  
Slavonic_female35,奥莉加,Olga,奧莉加·  
Slavonic_female36,波林娜,Polina,波林娜·  
Slavonic_female37,拉伊萨,Raisa,拉伊薩·  
Slavonic_female38,斯韦特兰娜,Svetlana,斯韋特蘭娜·  
Slavonic_female39,索菲娅,Sofia,索菲婭·  
Slavonic_female40,塔季扬娜,Tatyana,塔季揚娜·  
Slavonic_female41,塔玛拉,Tamara,塔瑪拉·  
Slavonic_female42,乌里扬娜,Ulyana,烏里揚娜·  
Slavonic_female43,法伊娜,Faina,法伊娜·  
Slavonic_female44,克里斯季娜,Kristine,克里斯季娜·  
Slavonic_female45,埃莉奥诺拉,Eleonora,埃莉奧諾拉·  
Slavonic_female46,尤利娅,Yulia,尤利婭·  
Slavonic_female47,雅娜,Yana,雅娜·  
Slavonic_female48,阿加菲娅,Agafya,阿加菲婭·  
